"YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Item","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Item.1","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Item.2","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Rownumber","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue.1","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue.2","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue.3","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Remarks",Unnamed: 9,Unnamed: 10,Unnamed: 11,YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable
(3) Expenditure Situation,(3) Expenditure Situation,(3) Expenditure Situation,24,2124,2337.53,1963,,,,,,
1,1 ,Administrative and Public Service Expenditure,25,,,,,,,,,
2,2 ,Other Expenditures,26,,,,,,,,,
"Three, Other Basic Situations","Three, Other Basic Situations","Three, Other Basic Situations",27,,,,,,,,,
(One),(One),"Total Reservoir Capacity (10,000 cubic meters)",28,9524,9524,9524,9524,,,,,
,,"Wherein: Dead storage capacity (10,000 cubic meters)",29,342,342,342,342,,,,,
,,"Beneficial Reservoir Capacity (10,000 cubic meters)",30,7946,7946,7946,7946,,,,,
,,"Flood regulation reservoir capacity (10,000 cubic meters)",31,1289,1289,1289,1289,,,,,
,,"Flood control reservoir capacity (10,000 cubic meters)",32,1289,1289,1289,1289,,,,,
(II),(II),"Annual water supply volume (10,000 cubic meters)",33,9549,9055.7,9681,,,,,,
,,"Among them: industrial water use (10,000 cubic meters)",34,33.3,19.35,13.86,,,,,,
,,Industrial Water Consumption Ratio (%),35,0.79%,0.47%,0.32%,0.53%,,,,,
,,"Domestic Water Use (10,000 cubic meters)",36,520,570,634,,,,,,
,,Proportion of domestic water use (%),37,12.40%,13.75%,14.55%,13.56%,,,,,
,,"Electricity generation water use (10,000 cubic meters)",38,5352,4911,5324,,,,,,
,,Power generation water usage ratio (%),39,44.34%,44.34%,44.34%,44.34%,,,,,
,,"Agricultural Water Use (10,000 cubic meters)",40,3643,3555,3709,,,,,,
,,Agricultural water use proportion (%),41,86.81%,85.79%,85.13%,85.91%,,,,,
(Three),(Three),"Annual drainage water volume (10,000 cubic meters)",42,,,,,,,,,
(4),(4),Length of water conveyance pipeline (kilometers),43,,,,,,,,,
(5),(5),"Annual power consumption (10,000 kWh)",44,,,,,,,,,
(6),(6),"Water Supply Power Consumption per Unit (10,000 kWh/10,000 cubic meters)",45,,,,,,,,,
(Seven),(Seven),Total number of enterprise employees (people),46,127,123,117,122,,,,,
,,Among them: the number of personnel approved for staffing,47,153,153,153,153,,,,,
,,In-service employees,48,127,123,117,122,,,,,
,,Retired and separated personnel,49,73,77,80,77,,,,,
(8),(8),Total salary of employees in enterprises (statistical report),50,,,,,,,,,
