SerialNumber,MaterialNameandSpecificationModel,Unit:Yuan-Unit,Unit:Yuan-20142ndQuarterComprehensiveInformationPrice
246,Welded steel pipe DN40,t,3997.0
247,Welded steel pipe DN50,t,3997.0
248,Welded steel pipe DN70,t,3997.0
249,Welded Steel Pipe DN80,t,3997.0
250,Welded Steel Pipe DN100,t,4097.0
251,Welded Steel Pipe DN125,t,4147.0
252,Welded steel pipe DN150,t,4147.0
253,Galvanized steel pipe DN15 (hot-dip galvanized pipe),t,5227.0
254,Galvanized steel pipe DN20 (hot-dip galvanized pipe),t,5177.0
255,Galvanized steel pipe DN25 (hot-dip galvanized pipe),t,5027.0
256,Galvanized steel pipe DN32 (hot-dip galvanized pipe),t,4977.0
257,Galvanized steel pipe DN40 (hot-dip galvanized pipe),t,5027.0
258,Galvanized steel pipe DN50 (hot-dip galvanized pipe),t,4827.0
259,Galvanized steel pipe DN70 (hot-dip galvanized pipe),t,5027.0
260,Galvanized steel pipe DN80 (hot-dip galvanized pipe),t,5027.0
261,Galvanized steel pipe DN100 (hot-dip galvanized pipe),t,5027.0
262,Galvanized steel pipe DN125 (hot-dip galvanized pipe),t,5027.0
263,Galvanized steel pipe DN150 (hot-dip galvanized pipe),t,5027.0
264,Hot-rolled seamless pipe DN22×2,t,5310.0
265,Hot-rolled seamless pipe DN25×2,t,5310.0
266,Hot-rolled seamless pipe DN38×2.25,t,5140.0
267,Hot-rolled seamless pipe DN42.5×3.5,t,4640.0
268,Hot-rolled seamless pipe DN57×3.5,t,4640.0
269,Hot-rolled seamless pipe DN89×4,t,4940.0
270,Hot-rolled seamless pipe DN108×4,t,4640.0
271,Hot-rolled seamless pipe DN219×6,t,4840.0
272,Hot-rolled seamless pipe DN273×7,t,5040.0
273,Hot-rolled seamless pipe DN325×8,t,5040.0
274,Random copolypropylene pipe (PP-R) (1.25MPa) De20×2.0 (Cold water),m,2.004
275,Random copolymer polypropylene pipe (PP-R) (1.25MPa) De25×2.3 (Cold water),m,2.926
276,Random copolypropylene pipe (PP-R) (1.25MPa) De32×2.9 (Cold water),m,4.66
277,Random copolymer polypropylene pipe (PP-R) (1.25MPa) De40×3.7 (Cold water),m,7.411
278,Random copolypropylene pipe (PP-R) (1.25MPa) De50×4.6 (Cold water),m,11.496
279,Random copolymer polypropylene pipe (PP-R) (1.25MPa) De63×5.8 (Cold water),m,18.193
280,Random copolypropylene pipe (PP-R) (1.25MPa) De75×6.8 (Cold water),m,25.376
281,Random copolymer polypropylene pipe (PP-R) (1.25MPa) De90×8.2 (Cold water),m,36.8
282,Random copolypropylene pipe (PP-R) (1.25MPa) De110×10.0 (Cold water),m,54.545
283,Random copolymer polypropylene pipe (PP-R) (1.6MPa) De25×2.3 (Cold water),m,2.275
284,Random copolypropylene pipe (PP-R) (1.6MPa) De25×2.8 (Cold water),m,3.445
285,Random copolymer polypropylene pipe (PP-R) (1.6MPa) De32×3.6 (Cold water),m,5.634
286,Random copolypropylene pipe (PP-R) (1.6MPa) De40×4.5 (Cold water),m,8.777
287,Random copolypropylene pipe (PP-R) (1.6MPa) De50×5.6 (Cold water),m,13.642
288,Random copolypropylene pipe (PP-R) (1.6MPa) De63×7.1 (Cold water),m,21.779
289,Random copolymer polypropylene pipe (PP-R) (1.6MPa) De75×8.4 (Cold water),m,30.588
290,Random copolypropylene pipe (PP-R) (1.6MPa) De90×10.1 (Cold water),m,44.154
291,Random copolymer polypropylene pipe (PP-R) (1.6MPa) De110×12.3 (Cold water),m,65.587
292,Random copolypropylene pipe (PP-R) (2.0MPa) De20×2.8 (hot water),m,2.655
293,Random copolypropylene pipe (PP-R) (2.0MPa) De25×3.5 (hot water),m,4.15
294,Random copolypropylene pipe (PP-R) (2.0MPa) De32×4.4 (hot water),m,6.675
295,Random copolypropylene pipe (PP-R) (2.0MPa) De40×5.5 (hot water),m,10.391
296,Random copolypropylene pipe (PP-R) (2.0MPa) De50×6.9 (hot water),m,16.231
297,Random copolypropylene pipe (PP-R) (2.0MPa) De63×8.6 (hot water),m,25.517
298,Random copolypropylene pipe (PP-R) (2.0MPa) De75×10.3 (hot water),m,36.342
299,Random copolymer polypropylene pipe (PP-R) (2.0MPa) De90×12.3 (hot water),m,52.107
300,Random copolypropylene pipe (PP-R) (2.0MPa) De110×15.1 (hot water),m,78.036
301,Random copolypropylene pipe (PP-R) (2.5MPa) De20×3.4 (hot water),m,3.11
302,Random copolypropylene pipe (PP-R) (2.5MPa) De25×4.2 (hot water),m,4.811
303,Random copolypropylene pipe (PP-R) (2.5MPa) De32×5.4 (hot water),m,7.866
304,Random copolypropylene pipe (PP-R) (2.5MPa) De40×6.7 (hot water),m,12.157
305,Random copolypropylene pipe (PP-R) (2.5MPa) De50×8.3 (hot water),m,18.875
306,Random copolypropylene pipe (PP-R) (2.5MPa) De63×10.5 (hot water),m,29.992
307,PP-R Steel Plastic Composite Pressure Pipe De32,m,32.497
308,PP-R Steel Plastic Composite Pressure Pipe De40,m,48.378
309,PP-R Steel Plastic Composite Pressure Pipe De50,m,73.264
310,PP-R Steel Plastic Composite Pressure Pipe De63,m,98.264
311,PP-R Steel Plastic Composite Pressure Pipe De75,m,125.543
312,PP-R Steel Plastic Composite Pressure Pipe De90,m,177.18
313,PP-R Steel Plastic Composite Pressure Pipe De110,m,250.0
314,PP-R Steel Plastic Composite Pressure Pipe De160,m,472.05
315,PP-R aluminum-plastic composite pipe De20,m,16.262
316,PP-R aluminum-plastic composite pipe De25,m,23.136
317,PP-R aluminum-plastic composite pipe De32,m,33.832
318,PP-R Aluminum-plastic Composite Pipe De40,m,48.421
319,PP-R aluminum-plastic composite pipe De50,m,70.04
320,PP-R Aluminum-plastic Composite Pipe De63,m,106.239
321,PP-R Aluminum-plastic Composite Pipe De75,m,161.967
322,PP-R Aluminum-plastic Composite Pipe De90,m,227.162
323,PP-R aluminum-plastic composite pipe De110,m,315.821
324,Ductile Iron Pipe DN100×3,m,91.971
325,Ductile Iron Pipe DN200×3,m,168.165
326,Ductile Iron Pipe DN300×3,m,279.986
327,Ductile Iron Pipe DN400×5,m,417.812
328,Ductile Iron Pipe DN500×5,m,579.909
329,Ductile Iron Pipe DN600×5,m,764.544
330,Ductile Iron Pipe DN700×6,m,973.45
331,Ductile Iron Pipe DN800×6,m,1208.361
332,Ductile Iron Pipe DN1000×6,m,1748.4
333,Polyethylene Pipe for Water Supply (PE100) DN90,m,23.466
334,Polyethylene Pipe for Water Supply (PE100) DN110,m,35.15
335,Polyethylene Pipe for Water Supply (PE100) DN125,m,45.362
336,Polyethylene Pipe for Water Supply (PE100) DN140,m,56.604
337,Polyethylene Pipe for Water Supply (PE100) DN160,m,74.166
338,Polyethylene Pipe for Water Supply (PE100) DN180,m,93.323
339,Polyethylene Pipe for Water Supply (PE100) DN200,m,115.635
340,Polyethylene Pipe for Water Supply (PE100) DN225,m,146.321
341,Polyethylene Pipe for Water Supply (PE100) DN250,m,179.114
342,Polyethylene Pipe for Water Supply (PE100) DN280,m,225.549
343,Polyethylene Pipe for Water Supply (PE100) DN315,m,284.424
344,Polyethylene Pipe for Water Supply (PE100) DN355,m,362.136
345,Polyethylene Pipe for Water Supply (PE100) DN400,m,459.229
346,Polyethylene Pipe for Water Supply (PE100) DN450,m,579.193
347,Polyethylene Pipe for Water Supply (PE100) DN500,m,723.3
348,Polyethylene Pipe for Water Supply (PE100) DN560,m,904.901
349,Polyethylene Pipe for Water Supply (PE100) DN630,m,1144.112
Plumbing and Heating,Plumbing and Heating,Plumbing and Heating,Plumbing and Heating
350,Steel-aluminum composite radiator 670×50×100,Sheet,18.033
351,Steel-aluminum composite radiator 650×70×80,Sheet,16.316
352,Steel-aluminum composite radiator 650×50×80,Sheet,16.316
353,Steel-aluminum composite radiator 640×68×30,Sheet,9.704
354,Steel-aluminum composite radiator 650×80×50,Sheet,12.881
355,Steel-aluminum composite radiator 650×78×38,Sheet,11.593
356,Steel-aluminum composite radiator 650×65×45,Sheet,9.017
Paint,Paint,Paint,Paint
357,C03-1 Alkyd Enamel 12×1,kg,13.452
358,C03-1 Alkyd Enamel 2.8×4,kg,14.635
359,C03-1 Alkyd Enamel 1×18,kg,15.281
360,C03-1 Alkyd Enamel 0.4×32,kg,17.218
Wires and Cables,Wires and Cables,Wires and Cables,Wires and Cables
361,Copper-core rubber insulated wire BX1.5,m,1.107
362,Copper-core rubber insulated wire BX2.5,m,1.762
363,Copper-core rubber insulated wire BX4,m,2.9
364,Copper-core rubber insulated wire BX6,m,4.287
365,Copper-core rubber insulated wire BX10,m,7.081
366,Copper-core rubber insulated wire BX16,m,10.799
367,Copper-core rubber insulated wire BX25,m,17.428
368,Copper-core rubber insulated wire BX35,m,22.693
369,Copper-core rubber insulated wire BX50,m,32.277
370,Aluminum-core rubber insulated wire BLX2.5,m,0.655
371,Aluminum-core rubber insulated wire BLX4,m,0.924
372,Aluminum-core rubber insulated wire BLX6,m,1.214
373,Aluminum-core rubber insulated wire BLX10,m,2.224
374,Aluminum-core rubber insulated wire BLX16,m,3.095
375,Aluminum-core rubber insulated wire BLX25,m,4.846
376,Aluminum-core rubber insulated wire BLX35,m,6.114
377,Aluminum-core rubber insulated wire BLX50,m,8.005
378,Aluminum-core rubber-insulated wire BLX70,m,11.067
379,Aluminum-core rubber insulated wire BLX95,m,14.677
380,Aluminum-core rubber insulated wire BLX120,m,17.45
381,Copper-core PVC insulated wire BV1.5,m,0.967
382,Copper-core PVC insulated wire BV2.5,m,1.547
383,Copper-core polyvinyl chloride insulated wire BV4,m,2.525
384,Copper-core PVC insulated wire BV6,m,3.728
385,Copper-core polyvinyl chloride insulated wire BV10,m,6.157
386,Copper-core PVC insulated wire BV16,m,9.391
387,Copper-core polyvinyl chloride insulated wire BV25,m,15.161
388,Copper-core polyvinyl chloride insulated wire BV35,m,19.728
389,Copper-core polyvinyl chloride insulated wire BV50,m,28.066
390,Copper-core polyvinyl chloride insulated wire BV70,m,39.122
391,Copper-core polyvinyl chloride insulated wire BV95,m,53.09
392,Aluminum-core plastic insulated wire BLV2.5,m,0.484
393,Aluminum-core plastic insulated wire BLV4,m,0.655
394,Aluminum-core plastic insulated wire BLV6,m,0.956
395,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-1.5,m,0.999
396,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-2.5,m,1.569
397,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-4,m,2.579
398,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-6,m,3.793
399,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-10,m,6.264
400,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-16,m,9.574
401,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-25,m,15.451
402,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-35,m,20.114
403,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-50,m,28.613
404,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-70,m,39.906
405,Flame-retardant copper core polyvinyl chloride insulated wire ZRBV-95,m,54.132
406,Fire-resistant copper core PVC insulated wire NH-BV-1.5,m,1.074
407,Fire-resistant copper core PVC insulated wire NH-BV-2.5,m,1.676
408,Fire-resistant copper core PVC insulated wire NH-BV-4,m,2.751
409,Fire-resistant copper core PVC insulated wire NH-BV-6,m,4.094
410,Fire-resistant copper core PVC insulated wire NH-BV-10,m,6.769
411,Fire-resistant copper core PVC insulated wire NH-BV-16,m,10.347
412,Fire-resistant copper core PVC insulated wire NH-BV-25,m,16.676
413,Fire-resistant copper core PVC insulated wire NH-BV-35,m,21.694
414,Fire-resistant copper core PVC insulated wire NH-BV-50,m,30.87
415,Fire-resistant copper core PVC insulated wire NH-BV-70,m,43.055
416,Fire-resistant copper core PVC insulated wire NH-BV-95,m,58.387
417,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-1.5,m,1.128
418,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-2.5,m,1.719
419,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-4,m,2.772
420,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-6,m,4.051
421,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-10,m,6.522
422,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-16,m,9.821
423,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-25,m,15.763
424,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-35,m,20.458
425,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-50,m,28.925
426,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-70,m,40.046
427,Halogen-free copper core polyvinyl chloride insulated wire WL-BV-95,m,54.347
