Unnamed: 0,Unnamed: 1,"If insurer is not listed, please contact Special Funds."
C,R314845,MERCY HOSPITAL
C,R314872,ST JEROME HOSPITAL
C,R315360,ST JAMES MERCY HOSPITAL
C,R315580,SISTERS OF CHARITY HOSPITAL
C,R315592,ST JOSEPH HOSPITAL
C,R318337,ST FRANCIS HOME OF WILLIAMSVILLE
C,R318692,ST CLAIRE MANOR
C,R323153,SETON HEALTH SYSTEM
C,R323156,SCHUYLER RIDGE REHAB CTR
C,R323619,DAUGHTERS OF CHARITY NATL HEALTH SYS
C,R323842,MOUNT ST MARY'S HOSPITAL
C,R324723,TOWN OF GOSHEN
C,R324727,TOWN OF MONROE
C,R324730,TOWN OF NEWBURGH
C,R324732,TOWN OF TUXEDO
C,R324733,TOWN OF WALLKILL
C,R324734,TOWN OF WARWICK
C,R325311,VILLAGE OF CHESTER
C,R325313,VILLAGE OF GOSHEN
C,R325314,VILLAGE OF HIGHLAND FALLS
C,R325316,VILLAGE OF MONROE
C,R325319,VILLAGE OF WALDEN
C,R325325,VILLAGE OF HARRIMAN
C,R401601,SAFETY KLEEN CORP
C,R441880,NEW ROCHELLE HOTEL ASSOCIATES LLC
C,R458184,J I HASS CO INC
C,R471951,FRIENDLYS ICE CREAM
C,R473854,BURGER KING CORP
C,R488426,SPX CORPORATION
C,R547767,CENTRAL ELEVATOR INC
C,R602164,FALSO HEATING & SHEET METAL CO INC
C,R608816,PAR PLUMBING CO INC
C,R613860,BORG - WARNER AUTOMOTIVE
C,R635332,CUBIC TOLL SYSTEMS
C,R644684,INTERNATIONAL MULTIFOODS
C,R647862,THE COCA-COLA BOTTLING CO OF NY INC
C,R649441,STEINBACH STORES INC
C,R654479,PARK TOWER REALTY CORP
C,R678933,C.N.A HOLDINGS CORP
C,R698560,OVERHEAD DOOR CORP
C,R726030,MT KISCO MEDICAL GROUP
C,R736961,RJR NABISCO INC
C,R754006,NEWSDAY
C,R758450,KOLMAR LABS
C,R767798,AVON PRODUCTS INC
C,R767806,THE PROCTOR & GAMBLE MFG CO
C,R767880,PFIZER INC
C,R891020,SGL CARBON LLC
D,R950194,XPO LOGISTICS
C,R968092,LASALLE AMBULANCE INC
C,R991821,LANCE INC
C,R992825,SCHEIDELMAN INC
C,R997691,FRITO LAY
E,W000004,UNINSURED EMPLOYERS FUND
B,W010003,TRAVELERS CASUALTY & SURETY CO
F,W010250,ACADIA INSURANCE CO
B,W010441,ACCREDITED SURETY
B,W010508,TRAVELERS CASUALTY & SURETY CO OF IL
B,W010631,TRAVELERS CASUALTY & SURETY OF AMERICA
B,W010698,TRAVELERS CASUALTY CO OF CONNECTICUT
E,W011001,ACE FIRE UNDERWRITERS INS CO
E,W012009,ACE PROPERTY & CASUALTY INS CO
A,W014005,GREAT AMERICAN ASSURANCE CO
E,W015002,COUNTRYWIDE INSURANCE COMPANY
F,W015754,AIU INSURANCE CO
F,W016380,ALEA NORTH AMERICA INSURANCE CO
E,W019004,ACE AMERICAN INS COMPANY
B,W019509,ST PAUL PROTECTIVE INSURANCE CO
B,W020002,ALLSTATE INSURANCE COMPANY
A,W020507,GREAT AMERICAN ALLIANCE INS CO
B,W020754,AMERICAN ALTERNATIVE INS CO
F,W021000,AMERICAN AUTOMOBILE INSURANCE CO
E,W022008,AMERICAN CASUALTY COMPANY OF READING PA
B,W024004,AMERICAN EMPLOYERS INS CO
A,W026009,AMERICAN AND FOREIGN INSURANCE CO
B,W027007,AMERICAN GUARANTEE & LIABILITY INS CO
C ,W028005,AMERICAN HARDWARE MUTUAL INSURANCE COMPANY
F,W029003,AMERICAN HOME ASSURANCE CO
F,W030001,AMERICAN INSURANCE CO
A,W031009,AMERICAN MANUFACTURERS MUTUAL INS CO
A,W032007,AMERICAN MOTORIST INSURANCE CO
A,W033005,AMERICAN MUTUAL INSURANCE CO OF BOSTON
A,W034003,AMERICAN MUTUAL LIABILITY INS CO
A,W035000,GREAT AMERICAN INSURANCE CO OF NY
A,W036008,VILLANOVA INSURANCE COMPANY
E,W036255,AMERICAN POLICYHOLDERS LIQ TRUST
A,W036578,AMERICAN STATES INSURANCE CO
B,W036636,AMERICAN ZURICH INSURANCE CO
F,W036669,AMGUARD INSURANCE CO
B,W037006,ARGONAUT INSURANCE COMPANY
B,W037253,ARGONAUT-MIDWEST INSURANCE CO
F,W037501,AMERISURE INS CO
F,W038004,ASSOCIATED INDEMNITY CORP
B,W039002,ASSURANCE CO OF AMERICA
A,W040000,ATLANTIC MUTUAL INSURANCE COMPANY
B,W040257,ATLANTIC SPECIALTY INS CO
A,W040505,PEERLESS INDEMNITY CO
B,W041503,AUTOMOBILE INS CO OF HARTFORD CONN
E,W043251,BANKERS STANDARD INSURANCE COMPANY
F,W045009,AIG PROPERTY CASUALTY CO
A,W047500,CATLIN INDEMNITY COMPANY
E,W049506,C I M INSURANCE CORPORATION
A,W051007,CENTENNIAL INSURANCE COMPANY
A,W052500,FIRST CENTRAL INSURANCE CO
B,W054001,CHARTER OAK FIRE INS CO
E,W054605,CHUBB INDEMNITY INS CO
E,W054639,CHURCH MUTUAL INSURANCE COMPANY
E,W054696,WESTCHESTER FIRE INS CO
B,W054753,CINCINNATI INSURANCE COMPANY
E,W056253,CITIZENS INSURANCE CO OF AMERICA
F,W056386,CLARENDON NATIONAL INSURANCE CO
F,W058002,COMMERCE AND INDUSTRY INS CO
A,W058507,COMMERCIAL COMPENSATION INS CO
E,W060008,LAMORAK INSURANCE COMPANY
E,W060750,CONNECTICUT GENERAL FIRE & CASLTY INS CO
A,W061006,CONNECTICUT INDEMNITY COMPANY
E,W063002,CONTINENTAL CASUALTY COMPANY
E,W064000,CONTINENTAL INSURANCE CO
A,W066005,COVENANT INSURANCE CO
A,W067250,CREDIT GENERAL INSURANCE CO
F,W067508,CRUM & FORSTER INDEMNITY CO
A,W068001,CUMIS INSURANCE SOCIETY INC
A,W069009,SENTRY SELECT INSURANCE COMPANY
F,W071005,SENECA INSURANCE COMPANY INC
E,W071757,ELECTRIC INSURANCE CO
B,W073001,EMPIRE INSURANCE COMPANY
E,W074009,EMPLOYERS FIRE INSURANCE COMPANY
A,W075006,EMPLOYERS MUTUAL CASUALTY CO
E,W076004,EMPLOYERS INS OF WAUSAU A MUTUAL CO
F,W076889,ERIE INSURANCE COMPANY
F,W076947,ERIE INSURANCE CO OF NEW YORK
A,W077002,EXCELSIOR INSURANCE CO
A,W078000,SELECTIVE INSURANCE CO OF NEW YORK
F,W078257,FAIRFIELD INSURANCE COMPANY
F,W078505,FAIRMONT INSURANCE COMPANY
F,W079008,FARM FAMILY CASUALTY INS CO
B,W079503,FARMINGTON CASUALTY COMPANY
E,W080006,FEDERAL INSURANCE COMPANY
E,W083000,FIDELITY AND CASUALTY CO OF NEW YORK
B,W084008,FIDELITY & DEPOSIT COMPANY OF MD
B,W084503,FIDELITY AND GUARANTY INSURANCE COMPANY
B,W085005,FIDELITY & GUARANTY INS UNDERWRITERS
F,W085500,FIRE DISTRICTS OF NY MUTUAL INS CO
A,W085757,FIRE & CASUALTY INS CO OF CONNECTICUT
F,W086003,FIREMANS FUND INSURANCE CO
F,W087258,FIREMENS INSURANCE CO OF WASHINGTON DC
A,W087381,ARCH INSURANCE COMPANY
A,W087449,FIRST LIBERTY INSURANCE CO
A,W089007,FLORISTS MUTUAL INSURANCE CO
B,W090757,HOMELAND INS COMPANY OF NY
E,W091003,BEDIVERE INSURANCE COMPANY
B,W091508,AUTOONE INSURANCE COMPANY
F,W091755,GENERAL CASUALTY CO OF WISCONSIN
F,W092001,ALLIANZ GLOBAL RISKS US INS CO
F,W093884,GENESIS INSURANCE CO
A,W096002,GLOBE INDEMNITY COMPANY
F,W098008,GRANITE STATE INSURANCE CO
E,W099006,GRAPHIC ARTS MUTUAL INS CO
A,W100002,GREAT AMERICAN INS CO
F,W100135,GREAT DIVIDE INSURANCE CO
E,W100507,GREAT NORTHERN INSURANCE CO
A,W100754,GREAT WEST CASUALTY COMPANY
E,W101000,GREATER NEW YORK MUTUAL INS CO
B,W102008,GULF INSURANCE CO
E,W103006,HANOVER INSURANCE CO
B,W104509,HARCO NATIONAL INSURANCE CO
F,W105001,HARTFORD ACCIDENT & INDEMNITY CO
F,W106009,HARTFORD CASUALTY INS CO
F,W106504,HARTFORD FIRE INSURANCE CO
F,W106751,HARTFORD INSURANCE CO OF THE MIDWEST
A,W106884,HEREFORD INS CO
A,W107007,HIGHLANDS INSURANCE CO
B,W108005,HOLYOKE MUTUAL INS CO IN SALEM
A,W109003,HOME INDEMNITY COMPANY
A,W110001,HOME INSURANCE COMPANY
F,W111504,HOUSTON GENERAL INS CO
F,W112254,ILLINOIS NATIONAL INSURANCE CO
E,W112502,INDEMNITY INSURANCE CO OF NORTH AMERICA
E,W114003,FREMONT INDUSTRIAL INDEMNITY CO
B,W114508,MARKEL INS CO
E,W115000,INSURANCE COMPANY OF GREATER NY
E,W116008,INSURANCE COMPANY OF NORTH AMERICA
F,W117006,INS CO OF THE STATE OF PA
E,W118004,INTERBORO MUTUAL INDEMNITY INS CO
A,W118251,XL SPECIALTY INSURANCE COMPANY
A,W118756,OLD REPUBLIC GENERAL INS CORP
B,W119507,SPECIALTY SURPLUS INSURANCE CO
A,W122824,LM INSURANCE CORPORATION
F,W123251,LIBERTY INSURANCE CORP
A,W123509,LIBERTY MUTUAL FIRE INS CO
C,W124002,LIBERTY MUTUAL INSURANCE CO
A,W130009,LUMBERMENS MUTUAL CASUALTY CO
A,W130256,LUMBERMENS UNDERWRITING ALLIANCE
F,W132500,MAIN STREET AMERICA ASSURANCE CO
A,W133508,MANUFACTURERS ALLIANCE INS CO
B,W134001,MARYLAND CASUALTY CO
E,W134506,MASSACHUSETTS BAY INSURANCE CO
F,W135008,MERCHANTS MUTUAL INSURANCE CO
A,W136006,MICHIGAN MILLERS MUTUAL INS CO
F,W137004,AMERISURE MUTUAL INSURANCE COMPANY
F,W139638,MIDWEST EMPLOYERS CASUALTY CO
E,W147003,NATIONAL FIRE INSURANCE CO OF HARTFORD
F,W147755,NATIONAL INDEMNITY COMPANY
F,W148001,NGM INSURANCE COMPANY
A,W148506,LEGION INSURANCE COMPANY
A,W148639,NATIONAL INTERSTATE INSURANCE CO
F,W148753,NATIONAL LIABILITY AND FIRE INS CO
F,W149009,NATIONAL SURETY CORPORATION
F,W150007,NATL UNION FIRE INS CO OF PITT PA
F,W152003,NATIONWIDE MUTUAL INSURANCE CO
A,W153001,NETHERLANDS INSURANCE COMPANY
F,W154009,NEW HAMPSHIRE INSURANCE CO
F,W155006,AMERICAN EUROPEAN INSURANCE COMPANY
A,W156004,NEW JERSEY MANFACTURERS INS CO
F,W156509,HARLEYSVILLE INS CO OF NY
A,W156756,LMI INSURANCE COMPANY
F,W158000,HARTFORD UNDERWRITERS INS CO
A,W159008,NEWARK INSURANCE COMPANY
F,W160659,NORGUARD INSURANCE CO
A,W160675,NORTH AMERICAN SPECIALTY INS CO
B,W160816,DISCOVER PROPERTY & CASUALTY INS CO
F,W161004,NORTH RIVER INS CO
B,W162002,NORTHERN ASSURANCE CO OF AMERICA
B,W163000,NORTHERN INSURANCE CO OF NY
A,W164008,NORTHWESTERN NATIONAL INS CO
E,W164255,NOVA CASUALTY COMPANY
A,W165005,OHIO CASUALTY INSURANCE CO
A,W166003,OLD REPUBLIC INSURANCE COMPANY
F,W166250,ORISKA INSURANCE CO
B,W166508,AUTOONE SELECT INSURANCE COMPANY
E,W167001,PACIFIC EMPLOYERS INSURANCE CO
E,W168009,PACIFIC INDEMNITY COMPANY
E,W168256,PARAMOUNT INSURANCE COMPANY
A,W168504,PATRIOT GENERAL INSURANCE CO
A,W170005,PEERLESS INSURANCE COMPANY
B,W172001,PENNSYLVANIA INSURANCE COMPANY
A,W173009,PENNSYLVANIA MANUFACTURERS ASSN INS CO
A,W173504,PENNSYLVANIA MFG INDEMNITY CO
B,W175004,PENN NATIONAL MUTUAL CASUALTY INS CO
A,W175509,PETROLEUM CASUALTY CO
A,W176507,PHICO INSURANCE COMPANY
B,W177000,PHOENIX INSURANCE CO
A,W178008,RELIANCE NATIONAL INDEMNITY COMPANY
B,W179006,POTOMAC INSURANCE CO
B,W179063,POTOMAC INSURANCE CO OF ILLINOIS
A,W179196,PREFERRED PROFESSIONAL INS CO
F,W179501,TIG INS CO OF NY
F,W179758,PRINCETON INSURANCE COMPANY
B,W181002,PROTECTIVE INSURANCE CO
F,W182000,PROVIDENCE WASHINGTON INS COMPANY
A,W183693,EVEREST NATIONAL INS COMPANY
E,W184006,PUBLIC SERVICE INSURANCE CO
A,W186258,REALM NATIONAL INSURANCE CO
A,W187009,RELIANCE INSURANCE COMPANY
A,W187504,RELIANCE INS COMPANY OF NEW YORK
A,W187637,RELIANCE NATIONAL INSURANCE COMPANY
B,W187751,REPUBLIC FRANKLIN INSURANCE CO
A,W187884,REPWEST INSURANCE COMPANY
E,W188502,ROCHDALE INS CO
A,W190003,ROYAL INSURANCE COMPANY OF AMERICA
A,W191001,ARROWOOD INDEMNITY COMPANY
A,W193007,SAFEGUARD INSURANCE COMPANY
B,W193502,SAFETY NATIONAL CASUALTY CORP
B,W194005,ST PAUL FIRE & MARINE INS CO
B,W195002,ST PAUL MERCURY INSURANCE CO
E,W196000,SEABOARD FIRE & MARINE INS CO
A,W197008,SECURITY INSURANCE CO OF HARTFORD
A,W198253,SELECTIVE INS CO OF AMERICA
A,W198329,SELECTIVE INSURANCE COMPANY OF SC
A,W198386,SELECTIVE WAY INSURANCE CO
A,W200000,SENTRY INSURANCE A MUTUAL CO
B,W200167,SIRIUS AMERICA INSURANCE CO
B,W202006,STANDARD FIRE INS CO
A,W202501,STAR INSURANCE COMPANY
F,W203004,STATE FARM FIRE AND CASUALTY CO
C,W204002,STATE INSURANCE FUND
D,W204002,STATE INSURANCE FUND
B,W204135,STATE NATIONAL INSURANCE COMPANY INC
E,W204259,STRATHMORE INSURANCE CO
B,W204507,MITSUI SUMITOMO INS CO OF AMERICA
B,W206254,TOKIO MARINE AMERICA INS CO
E,W206759,TECHNOLOGY INSURANCE CO INC
B,W207005,INFINITY ASSURANCE INS.CO.FKA TICO INSURANCE CO
B,W207500,TOKIO MARINE & NICHIDO FIRE INS CO LTD
F,W207757,TOWER INSURANCE CO OF NY
F,W208003,TIG INSURANCE COMPANY
E,W209001,TRANSCONTINENTAL INSURANCE CO
E,W211007,TRANSPORTATION INSURANCE COMPANY
B,W212005,TRAVELERS INDEMNITY COMPANY
B,W212252,TRAVELERS INDEMNITY CO OF AMERICA
B,W212500,TRAVELERS INDEMNITY CO OF CONNECTICUT
B,W212757,TRAVELERS PROPERTY CASUALTY CO OF AMER
B,W213003,METLIFE INSURANCE COMPANY OF CT
A,W214001,TRUCK INSURANCE EXCHANGE
F,W215008,TWIN CITY FIRE INSURANCE CO
A,W215503,ULLICO CASUALTY COMPANY
F,W216501,UNIGARD INSURANCE CO
F,W217004,UNIGARD JAMESTOWN MUTUAL INS CO
F,W218002,SEATON INSURANCE CO
A,W218507,UNITED COMMUNITY INSURANCE CO
A,W219000,UNITED PACIFIC INSURANCE CO
A,W219505,UNITED PACIFIC INS CO OF NY
B,W220008,UNITED STATES FIDELITY & GUARANTY CO
F,W221006,UNITED STATES FIRE INS CO 994
F,W221253,UNITED STATES LIABILITY INS CO
B,W221501,UNIVERSAL UNDERWRITERS INS CO
A,W221758,UTICA NATIONAL ASSURANCE CO
C,W222004,UTICA MUTUAL INSURANCE CO
A,W222509,UTICA NATIONAL INS CO OF TEXAS
B,W223002,ALLIANCE NATIONAL INSURANCE COMPANY
E,W224000,VALLEY FORGE INSURANCE COMPANY
A,W224505,VAN LINER INSURANCE COMPANY
E,W225007,VIGILANT INSURANCE COMPANY
A,W225254,VIRGINIA SURETY COMPANY INC
D,W225445,WAUSAU BUSINESS INSURANCE COMPANY
A,W225486,WAUSAU GENERAL INSURANCE CO
D,W225502,WAUSAU UNDERWRITERS INSURANCE CO
A,W227060,WESTPORT INSURANCE CORP
F,W227102,MOUNTAIN VALLEY INDEMNITY COMPANY
F,W227193,HARLEYSVILLE WORCESTER INS CO
A,W227508,SOMPO JAPAN INS CO OF AMERICA
B,W228001,ZURICH AMERICAN INSURANCE CO
A,W303002,ADT COMPANY INC
A,W303507,APA TRANSPORT CORPORATION
A,W303754,ABEX CORPORATION
A,W303879,ADIRONDACK STEEL CASTING CO INC
A,W304133,AIRBORNE EXPRESS INC
A,W305007,AMOCO OIL COMPANY
A,W307250,ALBANY INTERNATIONAL CORPORATION
A,W307508,AL-TECH SPECIALTY STEEL CORPORATION
A,W311757,AIL SYSTEMS INC
A,W314009,ALCOA INC
A,W315501,AURUBIS BUFFALO INC
A,W317507,AMERICAN CYANAMID COMPANY
B,W318000,AMERICAN EXPRESS COMPANY
A,W319008,AMERICAN EXPRESS BANK LTD
A,W321509,ROLL INTERNATIONAL CORPORATION
A,W322507,AMERICAN SALES COMPANY
A,W323000,TRANE INC
A,W325005,AT&T CORP
A,W328504,AMPCO-PITTSBURGH CORP
A,W329882,ABF FREIGHT SYSTEMS INC (DEL)
A,W331755,ARMOR KONE ELEVATOR INC
A,W332001,ARMSTRONG WORLD INDUSTRIES INC
A,W332506,ARNOT OGDEN MEDICAL CENTER
A,W333132,ASCENSION HEALTH
A,W333199,ASPIRE OF WESTERN NEW YORK
A,W333256,ASSOCIATED BUILDERS & CONTRACTOR TRUST
A,W334007,ASSOCIATED TRANSPORT INC
A,W334759,AUTOZONE INC
A,W335251,AUTOMOBILE DEALERS WC SELF-INS TRUST
A,W335756,BJ'S WHOLESALE CLUB INC
A,W336382,BALL CORPORATION
A,W338503,ABA TRANSPORTATION HOLDING COMPANY INC
A,W342752,BEER WHOLESALERS COMP TRUST OF NY
A,W343008,BETHLEHEM STEEL CORPORATION
A,W343503,BETHLEHEM STEEL CORP 1988
A,W344253,BIG V SUPERMARKETS INC
A,W347504,OFFICEMAX INCORPORATED
A,W347751,BOMBARDIER INC
A,W348007,BORDEN INC
A,W351506,BRADLEES INC
A,W354252,BROOKDALE HOSPITAL MED CTR
A,W356943,BROWNING FERRIS INDUSTRIES OF NY INC
A,W361638,BUSH INDUSTRIES INC
A,W361687,BUSINESS COUNCIL WC MFG GP SI TRUST
B,W361737,CPC INTERNATIONAL
A,W361828,CALDOR CORP
A,W364251,CAREER HORIZONS INC
A,W364509,CAROLINA FREIGHT CARRIERS CORP
A,W364517,CARGILL INC
A,W364608,PLAINVIEW HOSPITAL
A,W365134,CHAMPION INTERNATIONAL CORP
A,W365258,CHAMPLAIN VALLEY PHYS HOSP MED CTR
A,W365324,CHARMER INDUSTRIES INC
A,W367007,CHICAGO PNEUMATIC TOOL COMPANY
A,W367130,CHICAGO PNEUMATIC TOOL CO (1990)
A,W367254,CHILDREN AND WOMEN'S HEALTH INC
A,W368385,AT-A-GLANCE INC
A,W368757,CARTHAGE SPECIALTY PAPERBOARD INC
A,W370753,TRUSTEES OF COLUMBIA UNIVERSITY
A,W371504,COMMUNITY RES INS SAVING PLAN SI TRUST
A,W372007,COMSTOCK GREENWOOD INC
A,W372254,CONAGRA FOODS INC
A,W372387,CON AGRA MAPLE LEAF MILLING INC
A,W372502,CONDEC CORPORATION
B,W373005,CONSOLIDATED EDISON COMPANY OF NY INC
A,W374003,CONSOL FREIGHTWAYS CORP OF DELAWARE
A,W375265,CONTRACTORS SELF-INS TRUST FUND
A,W375331,CONTRACTORS WORKERS COMP TRUST
A,W375398,COOPER INDUSTRIES INC
A,W375937,COOPER US INC (2005)
A,W375943,COOP ASSOC OF FOOD ENT WC TRUST
A,W376008,CORNELL UNIVERSITY
A,W378004,CORNING INCORPORATED
A,W378251,CORNING HOSPITAL
A,W378442,COSTCO WHOLESALE CORP
A,W378632,CRAWFORD FURNITURE MFG CORP
A,W379002,CROUSE HINDS COMPANY
A,W379259,CROUSE HEALTH HOSPITAL INC
A,W379440,JAMES RIVER CORP OF NEVADA
A,W379507,COLT INDUSTRIES OPERATING CORP
A,W379697,CRUCIBLE MATERIALS CORP 1989
A,W379887,CUMMINS INC
A,W380257,BIRDS EYE FOODS INC
A,W380323,CURTIS NIAGARA LLC
A,W380380,CURTIS SCREW COMPANY INC
A,W381255,DPWN HOLDINGS (USA) INC
A,W382253,TARGET CORPORATION
A,W384630,DELPHI CORPORATION
A,W384754,DENNYS INC
A,W384820,DEPAUL GROUP INC
A,W388003,R E DIETZ COMPANY
A,W389506,WHITE ROSE INC
A,W389753,DOLGENCORP OF NY INC
A,W390504,DRESSER INDUSTRIES INC
A,W391007,E I DUPONT DENEMOURS AND CO
B,W395008,EASTMAN KODAK COMPANY
A,W397756,ELEC-CON TRUST
A,W398002,ELECTRICAL EMPLOYERS SELF INS SFTY PLAN
B,W398259,WASHINGTON MILLS ELECTRO MINERAL CORP
B,W398325,ELDERWOOD SENIOR CARE SI TRUST
B,W398531,EMERSON POWER TRANSMISSION CORP
B,W398770,EMPIRE STATE AGRICULTURAL COMP TRUST
B,W398788,EMPIRE STATE HOSPITALITY WC TRUST
B,W399505,EMPIRE STATE TRANSPORTATION WC TRUST
B,W400006,ENDICOTT JOHNSON CORP
B,W400501,TEAM TRANSPORTATION WORKERS COMP TRUST
B,W410880,ESTRA SELF INSURANCE TRUST
B,W412001,EXXON CORPORATION NJ
B,W413075,FCA US LLC
B,W413132,FHE SERVICES INC
B,W413785,FEDERAL EXPRESS CORPORATION
B,W413843,MACYS INC
B,W413868,SHOP VAC CORPORATION
B,W413876,FEUER LEATHER CORP
B,W415509,MILLARD FILLMORE HOSPITALS (1991)
B,W417323,FINGER LAKES REGIONAL HEALTH SYSTEM INC
B,W417380,LIFETIME HEALTHCARE INC
B,W417505,FIRST NATIONAL SUPERMARKETS  
B,W417752,FIRST NATIONAL SUPERMARKETS (1989)
B,W417885,FLEET BOSTON FINANCIAL CORPORATION
B,W419006,FOOD FAIR INC
B,W420509,MCKESSON CORPORATION
D,W421002,FORD MOTOR COMPANY
B,W421754,"BON SECOURS HEALTH SYSTEM, INC"
B,W422380,FULTON BOILER WORKS INC
B,W424006,GAF CORPORATION
B,W424634,GANNETT CO INC
B,W424758,GARLOCK SEALING TECHNOLOGIES INC
B,W430003,GENERAL MILLS INC
B,W431001,GENERAL MOTORS CORPORATION
B,W431753,GENERAL SIGNAL CORPORATION
B,W433502,THE GENESEE HOSPITAL
B,W433759,GENEVA REGIONAL HEALTH SYS INC
B,W434005,GEORGIA PACIFIC CORPORATION
B,W437008,GLEASON WORKS
B,W437750,GOLUB CORPORATION
B,W438501,GOULD PUMPS INC
B,W438758,GOULD PUMPS INC DEL
B,W439756,CPP - SYRACUSE INC
B,W440507,GREAT ATLANTIC & PACIFIC TEA CO INC
B,W440754,ROCHESTER GENERAL HEALTH SYSTEM
B,W446256,CBS CORPORATION
B,W446389,HNI CORPORATION
B,W446447,H J WILSONS CO INC
B,W448252,DELHAIZE AMERICA LLC
B,W448633,HARDEN FURNITURE
B,W449003,HARRIS STRUCTUAL STEEL CO
B,W450134,HEALTH QUEST SYSTEMS INC
B,W450753,HEALTHCARE UNDERWRITERS MUTUAL INS TRUST
B,W450886,HEALTHCARE OF NY WC TRUST (HONY)
B,W450944,HEALTHSTAR NETWORK INC
B,W452007,HERCULES INCORPORATED
B,W452502,HICKEY-FREEMAN CO INC
B,W453252,HIGHLAND HOSPITAL OF ROCHESTER
B,W453757,HOLLINGSWORTH AND VOSE CO
B,W454888,HILLSIDE FAMILY OF AGENCIES
B,W455000,HILTON WORLDWIDE INC
B,W458509,SIX CONTINENTS HOTELS INC
B,W461008,HONEYWELL INC
B,W462576,HOSPITAL FOR JOINT DISEASE ORTH INST
B,W466759,SAMARITAN MEDICAL CENTER
B,W468508,HUDSON HEALTH CARE WORKERS COMP GROUP
B,W470504,J B HUNT TRANSPORT INC
B,W472880,INDEPENDENT GROCERS WC SELF INS TRUST
B,W473003,INGERSOLL RAND COMPANY
B,W473508,INTERNATIONAL BUSINESS MACHINE CORP
B,W475503,INTERNATIONAL IMAGING MATERIALS
B,W476006,INTERNATIONAL PAPER COMPANY
B,W480503,DYNO NOBEL INC
A,W487003,JONES & LAUGHLIN STEEL
B,W487508,ST JOSEPHS HOSPITAL HEALTH CNTR
B,W488639,KENNECOTT CORP
B,W488829,KEY CORP
B,W488860,KEYSPAN CORPORATION
B,W489009,KIMBERLY CLARK CORPORATION
B,W489256,KING KULLEN GROCERY CO INC
B,W491500,KRASDALE FOODS INC
B,W492003,K MART CORPORATION
B,W492508,L & JG STICKLEY
B,W492755,LANDIS PLASTIC INC
