Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Health Care Sciences—Career Project-based Learning,14994,"Health Care Sciences—Career Project-based Learning courses provide students with an introduction to careers in the health care sciences field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
"Public, Protective, and Government Service—School-based Enterprise",15993,"Public, Protective, and Government Service—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to public, protective, and government service within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
"Public, Protective, and Government Service—Career Project-based Learning",15994,"Public, Protective, and Government Service—Career Project-based Learning courses provide students with an introduction to careers in the public, protective, and government service field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Hospitality and Tourism—School-based Enterprise,16993,"Hospitality and Tourism—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to hospitality and tourism within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Hospitality and Tourism—Career Project-based Learning,16994,"Hospitality and Tourism—Career Project-based Learning courses provide students with an introduction to careers in the hospitality and tourism field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Architecture and Construction—School-based Enterprise,17993,"Architecture and Construction—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to architecture and construction within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Architecture and Construction—Career Project-based Learning,17994,"Architecture and Construction—Career Project-based Learning courses provide students with an introduction to careers in the architecture and construction field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
"Agriculture, Food, and Natural Resources—School-based Enterprise",18993,"Agriculture, Food, and Natural Resources—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to agriculture, food, and natural resources within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
"Agriculture, Food, and Natural Resources—Career Project-based Learning",18994,"Agriculture, Food, and Natural Resources—Career Project-based Learning courses provide students with an introduction to careers in the agriculture, food, and natural resources field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Human Services—School-based Enterprise,19993,"Human Services—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to human services within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Human Services—Career Project-based Learning,19994,"Human Services—Career Project-based Learning courses provide students with an introduction to careers in the human services field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
"Transportation, Distribution, and Logistics—School-based Enterprise",20993,"Transportation, Distribution, and Logistics—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to transportation, distribution, and logistics within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
"Transportation, Distribution, and Logistics—Career Project-based Learning",20994,"Transportation, Distribution, and Logistics—Career Project-based Learning courses provide students with an introduction to careers in the transportation, distribution, and logistics field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Engineering and Technology—School-based Enterprise,21993,"Engineering and Technology—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to engineering and technology within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Engineering and Technology—Career Project-based Learning,21994,"Engineering and Technology—Career Project-based Learning courses provide students with an introduction to careers in the engineering and technology field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Seminar,25001,"Seminar courses vary widely, but typically offer a small peer group the opportunity to investigate areas of interest. Course objectives may include improvement of research and investigatory skills, presentation skills, interpersonal skills, group process skills, and problem-solving and critical-thinking skills. Seminars aimed at juniors and seniors often include a college and career exploration and planning component.",v12 Recode
IB Extended Essay,25002,"Obligatory for every International Baccalaureate degree candidate, IB Extended Essay aim to help students develop an independent, self-directed piece of research, culminating in a 4,000 word paper. These courses provide students with practical preparation for later research and help build their analysis, synthesis, and evaluation skills.",v12 Recode
AP Seminar,25003,"Designed by the College Board to parallel college-level courses in critical thinking and communications, AP Seminar courses provide students with the opportunity to explore complex real world issues through cross-curricular lenses. Course topics vary and may include local, civic, or global issues and interdisciplinary subject areas. Courses typically emphasize research, communication, and critical-thinking skills to explore the issues addressed. Students may also examine source materials such as articles and other texts; speeches and personal accounts; and relevant artistic and literary works.",v12 Recode
AP Research,25004,"Designed by the College Board to parallel college-level courses in independent research, AP Research courses provide students with the opportunity to conduct an in-depth, mentored research project. Course topics include research methods, ethical research practices, and accessing, analyzing, and synthesizing information to address a research question. Courses culminate with an academic thesis paper and an oral defense of the research design, approach, and findings.",v12 Recode
Data Literacy,25051,"Data Literacy courses focus on developing students’ ability to read, interpret, and analyze data. These courses teach students how to assess the reliability and validity of data, as well as to understand data to draw conclusions and explain the results, such as through summary statistics or data visualization.",v12 Recode
Data Science,25052,"Data Science courses prepare students to think critically about data and develop the tools, techniques, and principles for reasoning about the world with data. These courses teach students to use scientific methods, data sampling and probability, algorithms, and systems to analyze structured and unstructured data. Students will use modern data analysis tools, including computer programming languages. Course topics may include big data, data cleaning, data modeling, data mining, artificial intelligence, correlation and causation, and bias and uncertainty.",v12 Recode
Data Science Applications,25053,"Data Science Applications courses emphasize the practical uses of data science concepts and the transformation of data to knowledge. Students will explore real-world datasets and answer questions using hands-on analysis, project-based learning, and programming software.",v12 Recode
Integrative Learning—School-based Enterprise,25993,"Integrative Learning—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to integrative learning within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v12 New Course
Integrative Learning—Career Project-based Learning,25994,"Integrative Learning—Career Project-based Learning courses provide students with an introduction to careers related to integrative learning. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v12 New Course
Integrative Learning—Aide,25995,"Integrative Learning—Aide courses offer students the opportunity to assist instructors in preparing, organizing, or delivering course curricula. Students may provide tutorial or instructional assistance to other students.",v12 New Course
Integrative Learning—Independent Study,25997,"Integrative Learning—Independent Study courses, often conducted with instructors as mentors, enable students to explore topics of interest within integrative learning. Independent Study courses may provide students with an opportunity to expand their expertise in a particular specialization, to explore a topic in greater detail, or to develop more advanced skills.",v12 New Course
Integrative Learning—Workplace Experience,25998,"Integrative Learning—Workplace Experience courses provide students with work experience in a field related to integrative learning. Goals are typically set cooperatively by the student, teacher, and employer (although students are not necessarily paid). These courses may include classroom activities as well, involving further study of the field or discussion regarding experiences that students encounter in the workplace.",v12 New Course
Integrative Learning—Other,25999,Other Integrative Learning courses.,v12 New Course
