Code,Title,Description,Required for ESFA Funding Calculation,Valid From,Valid To
349,Apprenticeship Grant for Employers (AGE) - Provider Payment Trigger from 1 April 2016 to 31 July 2017,"This code is used to identify learners recruited to apprenticeships through the Apprenticeship Grant for Employers 16 to 24 (AGE) from 1 April 2016 to 31 July 2017 and will act as the trigger for payment to providers claiming the grant on behalf of eligible employers. 

This code should also be used for learners / employers who fall within a devolved area. 

The grant applies only to apprenticeship Frameworks and not to the new apprenticeship standards.",,2016-04-01,2017-07-31
350,Non-apprenticeship workplace learning originally funded under the employer responsive funding model,"This code is used to identify learning aims that are not part of an apprenticeship programme and were previously funded under Funding Model 45. This code should be used for aims that meet all of the following criteria: 
 - Learning start date before 1 August 2013
 - AND Funding model = 35
 - AND NOT part of an apprenticeship programme (ProgType is not 2,3,10,20,21,22 or 23)
 - AND EITHER LearnDelFAMType = WPL (in the 2015 to 2016 ILR) OR Learning delivery monitoring code = LDM125",Y,,2013-07-31
351,Former Employer Ownership Pilot Provision,This code is used to identify learning aims previously delivered through the Employer Ownership Pilot and which is eligible for mainstream funding to be recorded on the ILR. This code will be used to exclude these records from analysis to prevent double-counting.,,2015-04-01,2017-07-31
352,HESA-generated ILR file,"This code is used to identify records generated by HESA. 
This code is used only by HESA and is auto generated whilst creating an ILR record from a HESA return.",,2016-08-01,
353,Non-apprenticeship Sporting Excellence Award,This will permit providers to identify those learners and associated qualifications with alternative completion conditions (ACC) and permit them to be funded on a bespoke basis whilst ensuring they remain outside MI/SFR and other considerations that would make them formally “apprentices” whilst still undertaking the qualification within that framework.,,2017-08-01,
354,Non-apprenticeship Theatre and live events,Apprenticeship “Theatre and live events” which relates to a variety of possible apprenticeship routes described in the Act of Parliament,,2017-08-01,
355,Non-apprenticeship Sea Fishing,Apprenticeship “Sea Fishing” which relates to a variety of possible apprenticeship routes described in the Act of Parliament,,2017-08-01,
356,Apprenticeship being delivered to own employees,"This code is used to identify apprenticeship programmes on Funding model 36 that are being delivered by an employer to their own employees, and so do not require co-investment payments to be recorded on the ILR.",Y,2017-05-01,
357,Procured Adult Education Budget (AEB),"This code should be used for all learning aims on the standalone procured AEB contracts that were awarded in July 2017 and started in November 2017. This code is required to distinguish procured AEB from the allocated AEB in the 2017/18 contract extensions that started in August 2017. The code is used by the funding calculation and mis-coding will affect payments.
The contracts are for up to three years but are reviewed annually.
AEB combines all ESFA Adult participation and support funding that is not European Social Fund, advanced learner loans or apprenticeships.",Y,2017-11-01,2020-07-31
358,Extended Allocated Non-Levy Apprenticeships,"This LDM code is to identify starts on the May 2017 to December 2017 allocated non-levy apprenticeships delivery, where the contracts are extended to March 2018 for new starts. Only existing non-levy providers who were unsuccessful in the procurement exercise can use this code and enrol new starts up to March 2018.  The ESFA will monitor the use of the code, if validation rules cannot be applied, and ineligible starts will not be funded.  This code must not be used on procured non-levy contracts.  The code must be used across all collections/academic years until the apprentice has completed.",Y,2018-01-01,2018-03-31
359,Career Learning Pilot,This code should be used to identify learners who are part of the career learning pilot.,Y,2018-08-01,2020-07-31
360,Flexible Learning Fund,This code should be used to identify those providers who are part of a successful bid for the Fund and will be delivering eligible provision to AEB or Loans learners using flexible approaches and/or packages of learning.  ,Y,2018-08-01,2019-07-31
361,Waiver to record payment records for apprenticeships,This code should be used to identify providers who have authorisation to waive recording payment records for Apprenticeships.,Y,2017-05-01,
362,Apprentice care leavers,This code should be used to identify apprentices who do not wish their employer to be informed that they are a care leaver.,Y,2018-08-01,
363,Learners in receipt of low wages,"This code is used to fully fund eligible co-funded learners who earn less than £15,736.50 annual gross salary. This is based on the Social Mobility Commission’s low pay threshold of £8.07 (hourly rate in 2016) and on the assumption of a 37.5 hour contract with paid statutory holiday entitlement.",,2018-08-01,2019-07-31
364 to 400,Unassigned codes for new initiatives,,,,
, = updated since last published,,,,
