Month,Theme,Date,Description,Learning Calendar (link should download zip file), COURSE IDs,NEW COURSE TITLES,COURSE LEVELS,Course Duration
March,Interational Women's Day ,March 8th,A day to celebrate the acheivements of women and advocate for gender equality #Inspireinclusion ,Women's History Month,3838067.0,The Four Phases of Women's Careers,General,1:01:36
,,,,,3815080.0,Building a New Leadership Ladder: Support Women on the Rise (Book Bite),General,0:10:56
,,,,Cultivating Equity In and Out of the Workplace,4375195.0,Menopause in the Workplace: A Guide to Supporting Your Colleagues,General,0:41:23
,,,,,,,,
,,,,,,,,
,Harmony Week,March 17-23,A week to celebrate Australian's milticulturalism and promote harmony and respect for all Australians,,3896086.0,Nano Tips for Managing Across Cultures with Tatiana Kolovou,Intermediate,0:08:30
,,,,,4493256.0,Developing Cross-Cultural Intelligence,Intermediate,0:52:40
,,,,,4310098.0,DEI and the Culture of Belonging at Work,Intermediate,0:53:50
,,,,,3833001.0,A Playbook to Achieve Equity Anywhere,General,1:32:36
,,,,,3806096.0,"Developing Emotional Intelligence to Further Diversity, Equity, and Inclusion",General,0:57:37
,International Happiness Day,March 20th,A day to celebrate happiness and wellbeing,Cultivating Joy,3915015.0,Goal Setting for Happiness and Success,General,0:43:57
,,,,,3847079.0,Wellbeing as a Habit: Tips and Best Practices,General,1:15:02
,,,,,5961111.0,Breaking the Anxiety Habit,General,0:47:54
,,,,,3931104.0,Relieve Body Tension: Exercises You Can Do at Your Desk,General,1:03:42
,,,,,3809115.0,Managing Stress,General,0:22:41
,Neurodiversity Celebration Week,March 17-23,A week to celebrate all kinds of neurodiversity,Cultivating Inclusion in the Workplace,4591152.0,Hiring and Supporting Neurodiversity in the Workplace,Intermediate,2:02:44
,,,,,4378385.0,Nano Tips for Working with Neurodivergent Employees with Allie Middleton,General,0:09:50
,Earth Hour,March 22nd,"Earth Hour is a worldwide movement organized by the World Wildlife Fund. The event is held annually, encouraging individuals, communities, and businesses to turn off non-essential electric lights, for one hour from 8:30 to 9:30 p.m., usually on the last Saturday of March, as a symbol of commitment to the planet.",Sustainability in the Workplace,3840036.0,Lean Principles for Environmental Sustainability,Intermediate,0:37:48
,,,,,3890096.0,How Infrastructure Works: The Systems Shaping Our World,General,0:09:21
,,,,,5948078.0,"Sustainable Project Management: Strategies to Boost Social, Economic, and Environmental Impact",General,1:29:36
,,,,,4508419.0,Sustainability Strategies,Intermediate,0:46:55
,,,,,3912220.0,How to Start an ESG Program,Intermediate,0:43:58
,,,,,3890322.0,Climate Justice and Sustainable Business Practices,General,0:29:39
April ,World Autism Awareness Day,April 2nd,A day to raise awareness of autism ,,2502702.0,Autism in the Workplace,Intermediate,1:18:53
,Earth Day,April 22nd,A day to raise awareness of environmental issues and promote environmental protection,Sustainability in the Workplace,3840036.0,Lean Principles for Environmental Sustainability,Intermediate,0:37:48
,,,,,3809066.0,Leveraging Business Analysis in ESG,Intermediate,0:38:17
,,,,,5948078.0,"Sustainable Project Management: Strategies to Boost Social, Economic, and Environmental Impact",General,1:29:36
,,,,,5907061.0,ESG and Buildings,General,0:42:22
,World Health Day,April 7th,A day to celebrate global health and wellbeing,Health and Wellness,3931104.0,Relieve Body Tension: Exercises You Can Do at Your Desk,General,1:03:42
,,,,,3847079.0,Wellbeing as a Habit: Tips and Best Practices,General,1:15:02
,,,,,3932044.0,What Athletes Can Teach Us About Mental Health,General,0:34:02
,,,,,5926385.0,Tips to Build a Positive Mindset,General,0:16:59
,World Day Safety & Health at Work,April 28th,"Good work safety in the workplace practices, including remote workers, workers in the field. Internet safety, workplace safety.",,3807089.0,Occupational Safety and Health: Fire and Emergency Preparedness,Beginner,0:55:06
,,,,,,,,
May,Privacy Awareness Week,May 1-7,Privacy Awareness Week (PAW) is an annual event to raise awareness of privacy issues and the importance of protecting personal information.,,4465327.0,Cybersecurity Awareness: Protect Your Privacy,Beginner,1:26:03
,,,,,3891158.0,"Applied Cybersecurity Ethics: Privacy, AI, and Emerging Threats",Intermediate,0:54:39
,,,,,3895036.0,Understanding and Prioritizing Data Privacy,Beginner,1:17:11
,,,,,3813073.0,Biometrics: Security and Privacy Considerations,Beginner,0:41:25
,May the 4th Be With You,May 4th,"Fun - Star Wars day is upon us and LinkedIn Learning is here to help you channel your inner Luke Skylearner.  Tips and tricks to help you defeat the day! Being brave, productivity tips, leadership, dealing with the uncertain. ",Learning Habits,3898057.0,How to Start Everyday with Productivity,General,0:25:45
,,,,,3806117.0,Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,General,0:09:11
,,,,,5956083.0,Building an Adaptability Mindset in the Age of AI,General,0:26:03
,,,,,3806196.0,Adaptive Leadership for Today's Challenges,Advanced,1:35:19
,,,,,3861122.0,Protect Your Well-being Through Change and Uncertainty,General,0:32:54
,World Day  ,May 21st,World Day for Cultural Diversity for Dialogue and Development,Cultivating Inclusion in the Workplace,4513163.0,"Accountability for Leaders: Navigating Diversity, Equity, and Inclusion",Advanced,0:47:19
,,,,,3806096.0,"Developing Emotional Intelligence to Further Diversity, Equity, and Inclusion",General,0:57:37
,,,,,5926291.0,Tips for More Inclusive Language,General,0:10:56
,,,,,4310098.0,DEI and the Culture of Belonging at Work,Intermediate,0:53:50
,,,,,4561466.0,"Aligning DEI, Culture, and Business Goals",Intermediate,1:11:57
,Reconciliation Week,May 27th - June 3rd,"National Reconciliation Week (NRW) is a time for all Australians to learn about our shared histories, cultures, and achievements, and to explore how each of us can contribute to achieving reconciliation in Australia.",,4310098.0,DEI and the Culture of Belonging at Work,Intermediate,0:53:50
,,,,,3896086.0,Nano Tips for Managing Across Cultures with Tatiana Kolovou,Intermediate,0:08:30
,,,,,4493256.0,Developing Cross-Cultural Intelligence,Intermediate,0:52:40
,,,,,4510365.0,Supporting Indigenous Rights,Intermediate,00:33:51
June,Global Pride Month,June,A month to celebrate the LGBTQ+ community and promote LGBTQ+ rights,Cultivating Inclusion in the Workplace,3873024.0,Creating Equity for LGBTQ+,Intermediate,0:46:41
,,,,,3806109.0,Sustainable LGBTQ+ Allyship,Intermediate,0:53:23
,,,,,,,,
,,,,,,,,
,International Yoga Day,June 21st,A day to promote the practice of yoga. ,,2803042.0,Chair Work: Yoga Fitness and Stretching at Your Desk,Beginner,0:33:11
July,NAIDOC Week,July 6th - 13th,A week to celebrate Aboriginal ad Torres Straight Islander peoples and their cultures,Cultivating Inclusion in the Workplace,4310098.0,DEI and the Culture of Belonging at Work,Intermediate,0:53:50
,,,,,4493256.0,Developing Cross-Cultural Intelligence,Intermediate,0:52:40
August,Wear it Purple Day,August 29th,"A global movement to support LGBTQIA+ youth and to create a more inclusive world for all. It is a day to stand up against bullyinh and discrimitation, and to celebrate diversity and resilience of LGBTQIA+ youth ",Cultivating Inclusion in the Workplace,4310098.0,DEI and the Culture of Belonging at Work,Intermediate,00:53:50
,,,,,3833001.0,A Playbook to Achieve Equity Anywhere,General,01:32:36
,,,,,3808112.0,Fostering Belonging without Burnout,Beginner,00:53:09
,,,,,3873024.0,Creating Equity for LGBTQ+,Intermediate,00:46:41
,International Day of the World’s Indigenous Peoples,August 9th,The International Day of the World's Indigenous Peoples is commemorated each year on 9 August in recognition of the first meeting of the United Nations Working Group on Indigenous Populations in 1982.,Cultivating Inclusion in the Workplace,4510365.0,Supporting Indigenous Rights,Intermediate,00:33:51
,,,,,,,,
,,,,,,,,
September,R U OK? Day,September 11th,A day to encourage people to reach out to others who may be struggling. Content around mental health in the workplace of generally. Wellness content,Mindful Moments,4409054.0,The Nine Key Attitudes of Mindfulness,General,00:41:30
,,,,,4595013.0,Mindful Communication for Less Conflict and Stronger Relationships,General,00:43:02
,,,,,4401974.0,Using Mindfulness to Help with Goal Setting,General,00:40:28
,STEPtember ,September,"A Cerebral Palsy Alliance fundraising challenge to walk or run 10,000 steps every day in September to support people living with cerebral palsy",,3812084.0,NanoTips for Using Mindfulness Strategies to Build Resilience with Gemma Leigh Roberts,General,00:11:45
,,,,,4401973.0,Combating Burnout with Mindfulness,General,01:00:08
,,,,,4358565.0,Mindful Approaches to Defeat Distraction and Build Greater Mental Resilience,Beginner,00:17:59
October,World Mental Health Day,October 10th,The overall objective of World Mental Health Day is to raise awareness of mental health issues around the world and to mobilize efforts in support of mental health.,Health and Wellness,3861122.0,Protect Your Well-being Through Change and Uncertainty,General,00:32:54
,,,,,3938376.0,The Power of Having Fun,General,00:47:55
,,,,,3937343.0,Train Your Brain to Lead with Trust,General,00:42:04
,,,,,3808193.0,Building Resilience,General,00:43:09
,,,,Create a work-life balance that works for you,3937343.0,Train Your Brain to Lead with Trust,General,00:42:04
,,,,,4467204.0,Sustainable Development and Well-Being,General,00:37:15
,Diwali,October 20th,"Diwali 2024 is on Thursday, October 31, celebrating the Hindu holiday - Festival of Lights.",,3082768.0,Cross-Cultural Communication Nano Tips with Jessica Chen,"Beginner,Intermediate",00:16:07
,,,,,3896086.0,Nano Tips for Managing Across Cultures with Tatiana Kolovou,Intermediate,00:08:30
,,,,,4315213.0,Public Speaking for Non-Native English Speakers,General,01:53:51
November,Movember,November,"A month long campaign to raise awareness for men's health issues, such as prostate cancer, testicular cancer and mental health",,3932044.0,What Athletes Can Teach Us About Mental Health,General,00:34:02
,,,,,4460328.0,Navigating Grief and Loss through Creativity,General,00:45:34
,,,,,5958179.0,How the Workplace Can Help Us Heal and Grow,General,00:30:05
,,,,,4365405.0,Talking About Mental Health as a Leader,Intermediate,00:43:05
December,International Day of Persons with Disabilities,December 3rd,A day to promote the rights and wellbeing of persons with dsabilities ,,2875338.0,Supporting Workers with Disabilities,Beginner,00:57:13
,,,,,4309090.0,Disability Readiness for Leaders and Managers,Intermediate,00:33:42
,,,,,3210260.0,Inclusion and Equity for Workers with Disabilities,Intermediate,00:38:59
,Christmas Day,December 25th,"Personal finance tips, time management, learning to play an instrument ",,3097476.0,Personal Finance Concepts for Everyday Decision-Making,General,00:41:28
,,,,,2490004.0,Personal Finance Nano Tips with Brittney Castro,Beginner,00:08:16
,,,,,440668.0,Time Management Tips,Beginner,07:51:24
,,,,,3332074.0,Personal Finance Concepts Everyone Should Know,General,00:35:04
,,,,,4300305.0,Time Management for Greater Meaning and Happiness,General,00:42:41
,,,,,2875042.0,Time Management for Busy People,Beginner,00:50:52
,New Year's Eve,December 31st,Get the new year off to a positive start by learning goal-setting techniques and fostering connections with others.,,3915015.0,Goal Setting for Happiness and Success,General,00:43:57
,,,,,4572142.0,How to Stay Goal-Focused,General,00:41:32
