Unnamed: 0,Program Title,Government,Govt Name,Law,Administrator,Purpose,Mechanism,Other Aspects,Source
11,Water/Wastewater Grant,Federal,-,"Consolidated Farm and Rural Development Act, Section 306","USDA, Rural Development Housing and Community Facilities Program","Fund clean and reliable drinking water systems, sanitary sewage disposal, sanitary solid waste disposal, and storm water drainage",Loan(sometimes combined with Grant) for up to 40 years at fixed interest rate depending on need and median household income,,http://www.rd.usda.gov/programs-services/water-waste-disposal-loan-grant-program
12,Supportive Housing for the Elderly,Federal,-,"Housing Act of 1959, Section 202; amended by NAHA 1990, Section 801",HUD,"Provide funding for construction, rehabilitation, and operation of housing for elderly, very low-income households",Capital Advance Loan (no-interest loan) for up to 40 years; Project Rental Assistance Contracts; tenants pay basic rent or 30% of adjusted income,Not specifically for rural areas,http://ruralhome.org/storage/documents/hud_202.pdf
13,Supportive Housing Program for Persons with Disabilities,Federal,-,"National Affordable Housing Act of 1990, Section 811",HUD,"Provide funding for construction or rehabilitation to developers of housing for disabled, very low-income households",Capital Advance Loan (no-interest loan) for up to 40 years; tenants pay basic rent or 30% of adjusted income,Not specifically for rural areas,http://ruralhome.org/sct-information/mn-hac-research/mn-rrg/103-supportive-housing-for-persons-with-disabilities-section-811
14,Rural Capacity Building for Community Development and Affordable Housing Grants,Federal,-,"HUD Demonstration Act of 1993, Section 4",HUD,"Provide training/education, financial and technical assistance to housing  development organizations, corporations, and local governments for low- and moderate-income households",Grant,,https://www.hudexchange.info/programs/rural-capacity-building/
15,Housing Choice Vouchers,Federal,-,"Housing Act of 1937, Section 8",HUD,"Finance decent, safe, and sanitary housing for very low-income, elderly, and disabled",Subsidy to limit tenants' payments to 30% of their income; voucher pays the difference between the limit and a local payment standard,Not specifically for rural areas,http://portal.hud.gov/hudportal/HUD?src=/topics/housing_choice_voucher_program_section_8
16,Housing Trust Fund,Federal,-,"Housing and Economic Recovery Act of 2008, Section 1131",HUD,Fund the production or preservation of affordable housing for extremely low- and very low-income and homeless families,"Grant to states used for a variety of forms of assistance where at least 80% is used for rental housing, up to 10% for homeownership, and up to 10% for administrative costs",Not specifically for rural areas,https://www.hudexchange.info/programs/htf/
17,Mortgage Interest Tax Deduction,Federal,-,,IRS,,Tax Deduction,,
18,Low-Income Housing Tax Credit,Federal,-,"Tax Reform Act of 1986, Section 42",IRS/HUD,"Promote acquisition, rehabilitation, and construction of low-income rental housing",Tax Creditor up to 10 years,Not specifically for rural areas,https://www.huduser.gov/portal/datasets/lihtc.html
19,New Markets Tax Credit Program,Federal,-,"Community Renewal Tax Relief Act of 2000, renewed  most recently by Protecting American from Tax Hiked Act of 2015","US Department of Treasury, Community Development Financial Institutions Fund",Incentivize community development and economic growth in distressed communities,Tax Credit for 39% of original investment amount over 7 years on federal income tax,Not specifically for rural areas; Non-permanent program that must be renewed periodically,https://www.cdfifund.gov/programs-training/Programs/new-markets-tax-credit/Pages/default.aspx
20,Mortgage Insurance for Rental and Cooperative Housing,Federal,-,"National Housing Act of 1934, Section 221d","HUD, Federal Housing Administration","Facilitate construction or rehabilitation of multifamily or cooperative housing for moderate-income families, elderly, and disabled","Loan for up to 40 years guaranteed by the government for between 83.3% and 90% of property value, depending on degree of low-income assistance","Not specifically for rural areas; for market rate, affordable, and subsidized housing",http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/progdesc/rentcoophsg221d3n4; http://www.lancasterpollard.com/uploads/documents/trm/221-d-4-TermSheet1.pdf
21,Mortgage Insurance for Purchase or Refinancing of Existing Multifamily Rental Housing,Federal,-,"National Housing Act of 1934, Section 223f","HUD, Federal Housing Administration",Facilitate purchase or refinance of multifamily rental housing,"Loan for up to 35 years guaranteed by the government for between 83.3% and 90% of property value, depending on degree of low-income assistance","Not specifically for rural areas; for market rate, affordable, and subsidized housing",http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/progdesc/purchrefi223f; http://www.lancasterpollard.com/uploads/documents/trm/223-f-TermSheet1.pdf
22,Rural Owner-Occupied Loans,State,Alaska,-,Alaska Housing Finance Corporation,Finance purchase or renovation of owner-occupied housing in rural small communities,"Loan at Rural Program interest rate for first $250,000 and at blended interest rate of additional 1% thereafter","Other options that are not rural-specific: Affordable Housing Enhanced Loan, Energy Efficiency Interest Rate Reduction, Low-Income Interest Rate Reduction, State Veterans Preference; Also rental assistance programs for low-income, elderly, veterans, and displaced families",https://www.ahfc.us/buy/loan-programs/rural-programs/; https://www.ahfc.us/publichousing/rental-programs/
23,Arkansas Housing Trust Fund,State,Arkansas,-,Arkansas Development Finance Authority,"Alleviate deficiencies in the supply of safe, affordable, accessible housing for very low-income families",Loan or Grant to assist in new construction/ rehabilitation/rental assistance/land acquisition/ predevelopment costs/infrastructure/transitional housing/down payment assistance/housing and foreclosure counseling/technical assistance,"Not specifically for rural areas, but specifically mentioned in mission",http://adfa.arkansas.gov/arkansas-housing-trust-fund; http://housingtrustfundproject.org/arkansas-general-assembly-allocates-500k-to-housing-trust-fund-while-advocates-build-permanent-source-campaign/
24,Housing Counseling,State,Colorado,-,Colorado Housing and Finance Authority,,Counseling about rental and utility assistance/reverse mortgage/mortgage default/ delinquency/credit and debt counseling,"Not specifically for rural areas, but specifically mentioned in locations",https://www.chfainfo.com/news/04142015-housinggrants
25,Development Consulting,State,Connecticut,-,Connecticut Housing Finance Authority,Develop affordable housing in rural and suburban areas,No specific mechanism mentioned,Funded by CHFA but administered by Housing Connections,http://www.chfa.org/Press%20Room/Press%20Releases/pressreleaseviewer.aspx?id=51; http://ct-housing.org/what-we-do/housings-connections/
26,Idaho Community Review Team,State,Idaho,-,Idaho Housing and Finance Association,Improve overall community development; housing one of the methods mentioned,No specific mechanism mentioned,,https://www.idahohousing.com/about/housing-information-referral/
27,Workforce Housing Loan Program,State,Iowa,-,Iowa Finance Authority,Finance affordable city or county rental housing in locations with a housing shortage,"Loan for up to 50% of the total project development budget up to $1 million or $50,000 per unit for up to 20 years","Not specifically for rural areas; preference for cities with fewer than 50,000 residents",http://www.iowafinanceauthority.gov/WHLP
28,Workforce Housing Tax Incentive Program,State,Iowa,-,Iowa Economic Development Authority,"Promote construction or rehabilitation of housing in greyfield (former commercial), brownfield (former industrial), or greenfield (workforce housing needs) sites","Tax Refund for sales, service, and use taxes paid to the state during construction; Investment Tax Credit of up to 10% of new investment, up to $150,000 for each home/unit",Not specifically for rural areas,http://www.iowaeconomicdevelopment.com/Community/WHTC
29,Rural Housing Incentive District,State,Kansas,-,Kansas Department of Commerce,Assist development of rural housing through financing public improvements,Tax Funding from 100% of the incremental increase in real property taxes for up to 15 years,"For cities with 40,000 or fewer residents in a county with a population ≤ 60,000 or counties with 40,000 or fewer residents",http://kansascommerce.com/KansasHousing; http://dodgecityhousing.com/for-buyers/incentive-programs/rural-housing-incentive-districts-rhid/
30,Moderate Income Housing Loans and Grants,State,Kansas,-,Kansas Housing Resource Corporation,Develop new infrastructure and housing in rural areas for moderate-income families that do not qualify for federal housing assistance,Loan or Grant to communities ,"For communities with 60,000 or fewer residents",http://kansascommerce.com/KansasHousing; http://www.kshousingcorp.org/moderate-income-housing.aspx
31,Minnesota Urban and Rural Homesteading Program,State,Minnesota,-,Minnesota Housing Finance Agency,Stop and prevent blight through financing the acquisition and rehabilitation of dilapidated single family housing,Loan from seller with no interest,"""Homes are sold to at-risk borrowers, who agree to follow a 'good neighbor' policy, via an interest-free contract for deed.""; DEFUNCT",http://www.mnhousing.gov/wcs/Satellite?c=Page&cid=1358906174952&pagename=External%2FPage%2FEXTStandardLayout
32,Local Option Municipal Economic Development Act,State,Nebraska,-,Nebraska Department of Economic Development,Promote economic development in incorporated places,"Direct or indirect financial assistance raised from local taxes (via Loans, Grants, Guarantees, and Bonds) to qualified businesses","Cities with more than 10,000 residents (except Omaha and Lincoln) can use these funds for housing",http://www.neded.org/community/community-info/community-improvement/local-option-municipal-economic-development-act-lb840
33,"""Home at Last"" Down Payment Assistance Grants",State,Nevada,-,Nevada Rural Housing Authority,-,Grant for between 2% and 5% of loan amount to cover down payment and/or closing costs paired with a loan that has a fixed interest rate for up to 30 years,"For communities with 150,000 or fewer residents",http://nvrural.org/homebuyer-services/DPA
34,"""Home at Last"" Mortgage Credit Certificates",State,Nevada,-,Nevada Rural Housing Authority,-,Tax credit for up to 20% of annual interest paid on loan on federal taxes,"For communities with 150,000 or fewer residents; First time homebuyers",http://nvrural.org/home-last/mcc-program
35,Rural Specialists,State,New Mexico,-,New Mexico Mortgage Finance Authority,Ensure rural homebuyers have access to information and assistance,Counseling about financing programs and the home buying process,One relator and one lender per rural region,http://www.housingnm.org/homebuyers/rural-housing
36,Rural Preservation Program,State,New York,-,Homes and Community Renewal,"Provide housing assistance through property rehabilitation, counseling, mediation, legal assistance, employment programs, and community development",Financial Support to non-profit community-based housing corporations,A sister program exists that does similar work in urban neighborhoods,http://www.nyshcr.org/programs/rpp/
37,Rural Area Revitalization Projects,State,New York,-,Homes and Community Renewal,"Provide communities with financial and technical assistance for the improvement of housing, commercial areas, and community facilities",No specific mechanism mentioned,,http://www.nyshcr.org/programs/rarp/
38,Rural Rental Assistance Program,State,New York,-,Homes and Community Renewal,Provide affordable multifamily rental housing for low-income elderly and families through a financial support to housing companies,Subsidy to limit tenants' payments to 30% of their income; for section 515 properties for up to 25 years,"Rural - population less than 10,000, or less than 25,000 in areas with a lack of mortgage credit; In conjunction with federal programs",http://www.nyshcr.org/programs/rrap/
39,Rural Opportunity Mortgage,State,North Carolina,-,North Carolina Housing Finance Agency,"Enable very low- and low-income, rural homebuyers to purchase a home",Mortgage Loan for 30 years at 0% interest for a first mortgage and 1% interest for a second mortgage ,Combination of federal HOME program funds and USDA Section 502 direct loans; USDA definition of rural and low-income; DEFUNCT (no longer mentioned on website),http://www.nchfa.com/news/rural-opportunity-mortgage-enables-more-north-carolinians-buy-first-home
40,Rural Housing Development Loan,State,North Dakota,-,"North Dakota Housing Finance Agency, Planning and Housing Development Division","Finance predevelopment soft costs, land acquisition, site development, and other costs to produce housing",Loan to communities or non-profits for up to 75% of total cost with low interest rates for up to 3 years,For rural communities,https://www.ndhfa.org/development/RuralHousingDevelopment.html
41,Rural Housing Rehabilitation Loan,State,North Dakota,-,"North Dakota Housing Finance Agency, Planning and Housing Development Division","Finance rehabilitation of single- or multi-family properties to decent, safe, and sanitary condition for residents at or below median income","Revolving Loan for up to 75% of total costs up to $25,000 for single- and $100,000 for multi-family over up to 20 and 25 years, respectively",For rural communities,https://www.ndhfa.org/Rehab/RuralHousingRehabLoan.html
42,Housing Market Survey Grant,State,North Dakota,-,"North Dakota Housing Finance Agency, Planning and Housing Development Division",Provide funding for analysis of current and future community housing needs,"Grant for 50% of market survey, up to $5,000",For rural communities,http://www.ndhfa.org/Development/HousingMarketSurvey.html
43,Construction Loan Guarantee,State,North Dakota,-,"North Dakota Housing Finance Agency, Planning and Housing Development Division",Enable the construction or rehabilitation of affordable single-family housing,"Loan guaranteed by the state government for the less of 50% of net loss or $93,500 for 18 months after closing",For rural communities at least 10 miles from urban communities,https://www.ndhfa.org/Development/ConstructionLoanGuarantee.html
44,Rural Rehabilitation Loan Program,State,Oregon,-,Oregon Housing and Community Services,Develop and preserve farmworker housing,"Loan for 35% of project costs up to $100,000 for up to 10 years with a 1% interest rate for non-profits and a 3% interest rate for for-profits",,https://www.oregon.gov/ohcs/Pages/multifamily-housing-loan-oregon-rural-rehabilitation.aspx
45,Pre-Development Revolving Loan Fund,Non-profit,Washington,,Office of Rural and Farmworker Housing,Finance the move from conceptual stages to actual plans for community development,Loan for early development costs at low interest rates,,http://www.orfh.org/community-lending.html
