SOP/WI No.,"SOP/ WI Title                                                                                                                     THIS TRAINING MATRIX IS TO BE USED AS AN ESSENTIAL GUIDE, ALTHOUGH WE STRONGLY RECOMMEND THAT YOU READ ANY SOPs RELEVANT TO YOUR PARTICULAR STUDY OR ROLE",Chief Investigators -CTIMPS (Trust or University),Chief Investigators -Non-CTIMPS (Trust or University),Principal investigators & Co-investigators (Trust or University),Clinical Research Practitioner/Nurse/Officer (Trust or University),NIHR Exeter CRF RILD Practitioner/Nurse/Officer (Trust or University),NIHR Exeter CRF DVRC Practitioner/Nurse/Officer (Trust or University),Trials Administrators Bands 2-6 (Trust or University),R&D Pharmacists & Pharmacy Technicians,NIHR Exeter CRF Technical Team,Project Coordinators for research studies (Trust or University),R&D Senior Management (clinical),R&D Senior Management (non-clinical),Quality Assurance Coordinator (Trust or University),R&D Facilitators Bands 4-6,R&D Finance Officers ,Research I.T. Analysts/Data Managers  (Trust or University),Secretaries & Administrators working in research (Trust or University)
S39,Venepuncture in Infants and children V3 21/09/2022,,,,x,x,x,,,,,x,,,,,,
WI39,Venepuncture in Infants and children V3 21/09/2022,,,,x,x,x,,,,,,,,,,,
WI44,Administration of Vaccinations V3 07/03/2024,,,,x,x,x,,,,,,,,,,,
S45,Transportation of Temperature-Sensitive Medicinal Products for Clinical Trials V3 24/08/2021,,,,x,x,x,,x,,,x,,,,,,
S60,Electronic Transfer of Prescriptions to Trials Pharmacy V3 27/07/2022,x,,x,x,x,x,x,x,,,x,,,,,,
S66,Managing Medical Emergencies and Incidents for Research Teams Based Outside the Main Hospital Template V3 11/12/2023,x,x,x,x,x,x,,,,,x,,,,,,
WI22,Clinical Trials Participants & Pregnancy V1 27/07/2022,x,x,x,x,x,x,,,,x,x,,,,,,
Quality Assurance,,,,,,,,,,,,,,,,,,
S67,Corrective and Preventive Action (CAPA) V1 27/07/2022,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
S68,Research & Development Change Control V1 27/07/2022,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Close Down & Archiving,,,,,,,,,,,,,,,,,,
S03,Archiving V5 11/01/2023,x,x,x,x,x,x,x,x,x,x,,x,x,,,,
WI03,Archiving V5 11/01/2023,,,,,,,x,x,,x,,,x,,,,
R&D Specific,,,,,,,,,,,,,,,,,,
WI01,How to Enter a Safety Report onto Q-Pulse V3 28/09/2022,,,,,,,,,,,,x,x,,,,
S19,Monitoring V7 21/09/2022,x,x,x,x,x,x,x,x,,x,x,x,x,,,,
S29,Letters of Access and The Research Passport V4 23/02/2021,x,x,x,x,x,x,,,x,x,x,x,,x,,,
S63,Process for Expediting Urgent Public Health Research and the Management of R&D Activities Including Staffing Arrangements During a Pandemic V4 30/11/2023 ,,,,x,x,x,x,,,x,x,x,,x,,,
WI48,Process for starting/restarting RD&E-sponsored and hosted non-pandemic studies during pandemics V1 15/10/2020,x,x,x,x,x,x,x,,,x,x,x,,x,,,
"NIHR Exeter CRF SOPs, Work Instructions and Quality Manual",,,,,,,,,,,,,,,,,,
Clinical,,,,,,,,,,,,,,,,,,
NIHRexeClinical004,Capillaroscopy,,,,,,x,,,,,,,,,,,
NIHRexeClinical005,The measurement and analysis of skin maximum hyperaemia,,,,,,x,,,,,,,,,,,
NIHRexeClinical006,The measurement and analysis of skin peak reactive hyperaemia,,,,,,x,,,,,,,,,,,
NIHRexeClinical007,Overnight Urine Collection,,,,,,x,,,,,,,,,,,
NIHRexeClinical008,Microscan Side-stream dark field imaging ,,,,,,x,,,,,,,,,,,
NIHRexeClinical009,"Carotid artery ultrasound scanning for intima-media thickness, plaque registration and carotid artery distention assessments (Generic)",,,,,,x,,,,,,,,,,,
NIHRexeClinical013,Glycocheck,,,,,,x,,,,,,,,,,,
NIHRexeClinical014,Monitoring and Testing of the Emergency and Nurse Call Bell System,,,,,x,x,,,,,,,,,,,
NIHRexeClinical015,Iontophoresis using Moor Laser Doppler Perfusion Imager (LDPI),,,,,,x,,,,,,,,,,,
NIHRexeClinical016,Flicker induced vasodilation,,,,,,x,,,,,,,,,,,
NIHRexeClincial017,Static retinal photographs on Imedos DVA ,,,,,,x,,,,,,,,,,,
NIHRexeClincial018,Bilateral blood pressure measurements,,,,,,x,,,,,,,,,,,
NIHRexeClincial019,Sudoscan,,,,,,x,,,,,,,,,,,
NIHRexeClincial020,Ankle Brachial pressure Index-ABPI,,,,,,x,,,,,,,,,,,
NIHRexeClincial021,Performing Microaneurysm Turnover Analysis,,,,,,x,,,,,,,,,,,
NIHRexeClincial022,Corneal confocal microscopy for the assessment of corneal nerve density parameters,,,,,,x,,,,,,,,,,,
NIHRexe Clinical023,Obtaining blood samples from a peripheral venous catheter (cannula),,,,,x,x,,,,,,,,,,,
NIHRexeClinical024,Macular thickness using Spectralis Optical Coherence tomography ,,,,,,x,,,,,,,,,,,
NIHRexeClinical025,Visual acuity by log MAR,,,,,,x,,,,,,,,,,,
Study Specific,,,,,,,,,,,,,,,,,,
NIHRexe282GEN,"Carotid artery ultrasound scanning for intima-media thickness, plaque registration and carotid artery distention assessments (Generic)",,,,,,,,,,,,,,,,,
NIHRexe283BEAT-DKD,Renal Ultrasound Scanning for BEAT-DKD,,,,,,,,,,,,,,,,,
NIHRexe284BEAT-DKD,For the use of SphygmoCor in the assessment of pulse wave velocity and pulse wave analysis for the BEAT-DKD study,,,,,,,,,,,,,,,,,
NIHRexe002DROPLeT ,DROPLeT Study – Remote Procedures - All Visits,,,,,,,,,,,,,,,,,
NIHRexe001EXE-T1D    ,Remote Recruitment and Home Sampling,,,,,,,,,,,,,,,,,
NIHRexe275EXE-T1D,EXE-T1D (CRF 228): Study Visits and Sampling Procedures,,,,,,,,,,,,,,,,,
NIHRexeEXTEND001,Blood Spinning and separation,,,,,,,,,,,,,,,,,
NIHRexe/217/Extend,"Participant Processing in the Exeter 10,000 ADMIN ",,,,,,,,,,,,,,,,,
NIHRexe/0002/Extend,"Participant Appointment (Clinical) in the Exeter 10,000 Project",,,,,,,,,,,,,,,,,
NIHRexe273STARTRIGHT ,Startright Visit 2,,,,,,,,,,,,,,,,,
NIHRexe291STARTRIGHT,"StartRight Study - Visit 4 – Participant Visit, Data & Sample Collection & Sample Processing At Recruiting Site’",,,,,,,,,,,,,,,,,
NIHRexe TB003 GBCRB,Genetic Beta Cell Research Bank,,,,,,,,,,,,,,,,,
HTA,,,,,,,,,,,,,,,,,,
 NIHRexeHTA002, NIHRexeHTA002 Blood Sample Handling and Separation of Serum and Plasma,x,x,x,,,,,,x,,,,,,,,
Laboratory,,,,,,,,,,,,,,,,,,
NIHRexeLaboratory001 ,Centrifuge operation,,,,,,,,,x,,,,,,,,
NIHRexeLaboratory002 ,General pipetting; selection and use,,,,,,,,,x,,,,,,,,
NIHRexeLaboratory003,Sample retrieval from storage & transfer,,,,,,,,,x,,,,,,,,
NIHRexeLaboratory004,"Peripheral Blood Mononuclear Cells (PBMCs): Sample processing, isolation and storage.",,,,,,,,,x,,,,,,,,
NIHRexeLaboratory005,Handling liquid nitrogen,,,,,,,,,x,,,,,,,,
NIHRexeLaboratory006,Laboratory Supplies Preparation,,,,,,,,,x,,,,,,,,
NIHRexeLaboratory007,Freezer Alarm Management,,,,,,,,,x,,,,,,,,
NIHRexeLaboratory008,Study sample label set design.,,,,,,,,,x,,,,,,,,
Tissue Bank,,,,,,,,,,,,,,,,,,
NIHRexeTB001,RD&E Tissue Bank Records,,,,,x,x,,,,,,,,,,,
NIHRexeTB002,Transfer of Human Tissue,,,,,x,x,,,,,,,,,,,
Work Instructions,,,,,,,,,,,,,,,,,,
NIHRexeAdminWI002,Recording verbal and written consent for Excose,,,,,,,,,,,,,,,,,
NIHRexeAdminWI003,Management of RDE Tissue Bank– Adding New Cohorts ,,,,,,,,,,,,,,,,,
NIHRexeAdminWI004,CRF Manager Work Instruction,,,,,,,,,,,,,,,,,
NIHRexeTissueBankWI001,Management of RDE Tissue Bank– Application and Approval process,,,,,,,,,,,,,,,,,
,Quality Manual,,,,,,,,,,,,,,,,,
,Quality Manual,,,,,x,x,,,x,,x,x,x,,,,
