R&D Training Matrix ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Informed consent including Adults Lacking Capacity elearning,Once,NIHR learn https://learn.nihr.ac.uk,EDGE,R,R,R,R,R,R,R,,,,,,,,,,,,,,
,Informed consent with Children elearning,Once,NIHR learn https://learn.nihr.ac.uk,EDGE,R,R,R,R,R,R,R,,,,,,,,,,,,,,
,Remote consent e-learning,Once,,EDGE,R,R,R,R,R,R,R,,,,,,,,,,,,,,
,Informed consent with  Different Communities e-learning,Once,,EDGE,R,R,R,R,R,R,R,,,,,,,,,,,,,,
,Paediatric informed consent f2f,Once & if refresher needed,rduh.rdpracticeeducator@nhs.net,EDGE,R,R,R,R,R,R,R,,,,,,,,,,,,,,
,EDGE Training Clinical/Admin,Once,kevin.thorpe@nhs.net/ swilson30@nhs.net,EDGE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,,,,,,
,EDGE training Professional services,Once,traceyhole@nhs.net,EDGE,,,,,,,,,,,,,,,R,M,M,M,M,M,M
,AcoRD online Module,Once,NIHR learn https://learn.nihr.ac.uk,EDGE,,,,,,,,,,,,,,,R,R,R,R,R,R,R
,"HRA e-learning (Clinical trials of an IMP, Ionising Radiation, Research Databases, Research Design and Metadologies, Research Tissue Banks and Human Tissue Act)",Once,NIHR learn https://learn.nihr.ac.uk,EDGE,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
,Dementia Rater Toolkit & Resources,Once,NIHR learn https://learn.nihr.ac.uk,EDGE,,R,R,R,R,R,R,,,,,,,,,,,,,,
,Communication about Randomised Controlled Trials,Once ,rduh.rdpracticeeducator@nhs.net,EDGE,R,D,D,D,D,D,D,,,,,,,,,,,,,,
Trust non-mandatory training,1 day managers Mental Health Training,Once,Learn +,Learn +,,,,,,,D,,,,R,D,D,D,,,,,,D,D
,Mental health awareness course 1/2 day (Eastern services),Once,Learn +,Learn +,D,D,D,D,D,D,,D,D,D,D,D,D,,R,R,R,R,R,,
,Managing Incivility: becoming a responsible bystander and other strategies,Once,Learn +,Learn +,,R,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,R,R,R
,Supporting Health & Wellbeing (Attendance) at work policy training,Once,Learn +,Learn +,,R,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,R,R,R
,Health & Wellbeing Conversations training for Managers,Once,Learn +,Learn +,,R,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,M,M,M
,Educator Training Resources- Supervision,2-3 Yearly,Learn +,Learn +,,,M,,M,,R,,,,,,,,,,,,,,
,Educator Training Resources- assesor,2-3 yearly,Learn +,Learn +,,,R,,R,,R,,,,,,,,,,,,,,
,Roster Manager- Entering actual Changes and payroll,Once,Learn +,Learn +,,,,,R,R,M,,,,,R,R,M,,,,R,R,R,R
,Roster Manager Absence only (Eastern services),Once,Learn +,Learn +,,,,,R,R,M,,,,,R,R,,,,,R,R,R,R
,EPIC Training,Once,Learn +,Learn +,M,M,M,M,M,M,M,M,M,M,M,M,M,R,,,R,R,R,R,R
,Learn + training (LEARNERS PDF GUIDES AND VIDEOS),Once,Learn +,Learn +,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
,Unit 4,Once,Learn +,Learn +,,,,,,,R,R,M,,M,M,,R,,R,R,R,R,R,M
,New manager Induction,Once,Learn +,Learn +,,,R,R,R,R,R,,,,R,R,R,R,,R,R,R,R,R,R
,Recruitment and Selection,3 yearly,Learn +,Learn +,,,R,R,M,M,M,,,,R,M,M,M,,,R,R,M,M,M
,Management and Leadership essentials,Once,Learn +,Learn +,,R,R,R,M,M,M,,,,M,M,M,M,,R,R,R,M,M,M
,My Appraisal,Once,Learn +,Learn +,,R,R,R,M,M,M,,,,M,M,M,M,,R,R,R,M,M,M
,Courageous Conversations,Once,Learn +,Learn +,,R,R,R,M,M,M,,,,M,M,M,M,,R,R,R,M,M,M
Trust Policies,Lone Working Policy (East & North),As needed,HUB ,EDGE,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
,Supporting Health and Wellbeing (attendance) at Work Policy & Toolkit (Trust),As needed,HUB,EDGE,,,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,R,R,M
,Flexible Working Policy (Trust),As needed,HUB,EDGE,,,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,M,M,M
,Annual leave Policy (East & North),As needed,HUB,EDGE,,,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,M,M,M
,Non-Cytotoxic Intrathecal IMP Policy (R&D),As needed,HUB,EDGE,,,R,,R,,R,,,,,,,,,,,,,,
,Probationary period policy & Toolkit ,As needed,HUB,EDGE,,,R,R,R,R,R,,R,R,R,R,R,R,,R,R,R,R,R,R
,Leavers and Exit Interviews Policy  (East & North),As needed,HUB,EDGE,,,R,R,R,R,R,,R,,R,R,R,R,,R,R,R,M,M,M
R&D competencies,Dry Ice (alongside online training),Once,Shared Drive,EDGE,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,
,Consent,Once,Shared Drive,EDGE,R,M,M,M,M,M,R,,,,,,,,,,,,,,
,Immunisation (alongside online training),Once,Shared Drive,EDGE,,,R,,R,,R,,,,,,,,,,,,,,
,Admin training record,Once,Shared Drive,EDGE,,,,,,,,M,M,M,M,M,M,M,,,,,,,
Other training role dependant,Care Certificate (or exemption),Once ,HUB/Learn +,EDGE,M,M,,R,,R,,,,,,,,,,,,,,,
,Care Certificate Assesor Training,Once,Learn +,EDGE,,,R,R,R,R,R,,,,,,,,,,,,,,
,Edward Jenner/Mary Seacole,Once,https://www.leadershipacademy.nhs.uk/programmes,EDGE,,,R,R,R,R,R,,,,R,R,R,R,,,,R,R,R,R
,Intravenous Therapy,Once (then refresher),Learn +,Learn +,,,R,,R,,R,,,,,,,,,,,,,,
,Venapuncture,Once (then refresher),Learn +,Learn +,M,M,M,M,M,R,R,,,,,,,,,,,,,,
,Cannulation,Once (then refresher),Learn +,Learn +,R,R,R,R,R,R,R,,,,,,,,,,,,,,
,Essential IT skills (Eastern Services),Once,https://royaldevonstaff.nhs.uk/imt-applications-training-form,Learn +,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
,Microsoft Office Training,Once,Welcome - Digital Learning Solutions (dls.nhs.uk),EDGE,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
,Dry Ice training online training,2 yearly,Dangerous Goods Training - Insights (mayocliniclabs.com),EDGE,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,
,C-SSRs (The Columbia Protocol),Once,https://cssrs.columbia.edu/training/training-options/,EDGE,,R,R,R,R,R,R,,,,,,,,,,,,,,
,Immunisation online training,Once,https://www.e-lfh.org.uk/programmes/immunisation/,EDGE,,,R,,R,,R,,,,,,,,,,,,,,
