Attachment:,Attachment:.1,Attachment:.2,Attachment:.3,Attachment:.4,Attachment:.5
41,Hot-rolled ribbed steel bar HRB500E Φ14,t,5441.0,5471.0,5431.0
42,Hot-rolled ribbed steel bar HRB500E Φ16,t,5191.0,5221.0,5181.0
43,Hot-rolled ribbed steel bar HRB500E Φ18,t,5191.0,5221.0,5181.0
44,Hot-rolled ribbed steel bar HRB500E Φ20,t,5191.0,5221.0,5181.0
45,Hot-rolled ribbed steel bar HRB500E Φ22,t,5191.0,5221.0,5181.0
46,Hot-rolled ribbed steel bar HRB500E Φ25,t,5191.0,5221.0,5181.0
47,Hot-rolled ribbed steel bar HRB500E Φ28,t,5471.0,5501.0,5461.0
48,Hot-rolled ribbed steel bar HRB500E Φ30,t,5471.0,5501.0,5461.0
49,Hot-rolled ribbed steel bar HRB500E Φ32,t,5471.0,5501.0,5461.0
50,Hot-rolled ribbed steel bar HRB500E Φ36 and above,t,5571.0,5601.0,5561.0
51,Ribbed steel bar wire rod HPB335 Φ8,t,4939.0,4969.0,4929.0
52,Ribbed steel wire rod HPB335 Φ10-14,t,4840.0,4870.0,4830.0
53,Ribbed steel bar wire rod HPB400 Φ8,t,5140.0,5170.0,5130.0
54,Ribbed steel wire rod HPB400 Φ10-14,t,5040.0,5070.0,5030.0
55,Ribbed steel bar wire rod HPB500 Φ8,t,5390.0,5420.0,5380.0
56,Ribbed steel wire rod HPB500 Φ10-14,t,5290.4,5320.0,5280.0
57,Cold-drawn low carbon steel wire Φ5 and below,t,4774.0,4810.0,4768.0
58,Cold-rolled ribbed steel bar Φ5,t,4784.0,4820.0,4778.0
59,Cold-rolled ribbed steel bar Φ6,t,4784.0,4820.0,4778.0
60,Cold-rolled ribbed steel bar Φ7,t,4784.0,4820.0,4778.0
61,Cold-rolled ribbed steel bar Φ8,t,4784.0,4820.0,4778.0
62,Cold-rolled ribbed steel bar Φ9,t,4784.0,4820.0,4778.0
63,Cold-rolled ribbed steel bar Φ10,t,4784.0,4820.0,4778.0
64,Hot-rolled flat steel Q235 12×4,t,4754.0,4790.0,4748.0
65,Hot-rolled flat steel Q235 14×3,t,4754.0,4790.0,4748.0
66,Hot-rolled flat steel Q235 14×4,t,4754.0,4790.0,4748.0
67,Hot-rolled flat steel Q235 14×5,t,4754.0,4790.0,4748.0
68,Hot-rolled flat steel Q235 14×6,t,4754.0,4790.0,4748.0
69,Hot-rolled flat steel Q235 16×4,t,4754.0,4790.0,4748.0
70,Hot-rolled flat steel Q235 20×3,t,4754.0,4790.0,4748.0
71,Hot-rolled flat steel Q235 20×4,t,4754.0,4790.0,4748.0
72,Hot-rolled flat steel Q235 24×4,t,4754.0,4790.0,4748.0
73,Hot-rolled flat steel Q235 25×3,t,4754.0,4790.0,4748.0
74,Hot-rolled flat steel Q235 25×4,t,4754.0,4790.0,4748.0
75,Hot-rolled flat steel Q235 25×5,t,4754.0,4790.0,4748.0
76,Hot-rolled flat steel Q235 25×6,t,4754.0,4790.0,4748.0
77,Hot-rolled flat steel Q235 30×3,t,4754.0,4790.0,4748.0
78,Hot-rolled flat steel Q235 30×4,t,4754.0,4790.0,4748.0
79,Hot-rolled flat steel Q235 30×5,t,4754.0,4790.0,4748.0
80,Hot-rolled flat steel Q235 30×6,t,4754.0,4790.0,4748.0
81,Hot-rolled flat steel Q235 32×4,t,4754.0,4790.0,4748.0
82,Hot-rolled flat steel Q235 35×4,t,4754.0,4790.0,4748.0
83,Hot-rolled flat steel Q235 36×6,t,4754.0,4790.0,4748.0
84,Hot-rolled flat steel Q235 40×4,t,4754.0,4790.0,4748.0
85,Hot-rolled flat steel Q235 40×5,t,4754.0,4790.0,4748.0
86,Hot-rolled flat steel Q235 40×6,t,4754.0,4790.0,4748.0
87,Hot-rolled flat steel Q235 45×4,t,4754.0,4790.0,4748.0
88,Hot-rolled flat steel Q235 50×4,t,4754.0,4790.0,4748.0
89,Hot-rolled flat steel Q235 50×5,t,4754.0,4790.0,4748.0
90,Hot-rolled flat steel Q235 50×6,t,4754.0,4790.0,4748.0
91,Hot-rolled flat steel Q235 60×6,t,4754.0,4790.0,4748.0
92,Hot-rolled flat steel Q235 65×5,t,4754.0,4790.0,4748.0
93,Hot-rolled flat steel Q235 70×4,t,4654.0,4690.0,4648.0
94,Hot-rolled flat steel Q235 100×10,t,4654.0,4690.0,4648.0
95,Hot-rolled channel steel Q235 5,t,4734.0,4770.0,4728.0
96,Hot-rolled channel steel Q235 8,t,4734.0,4770.0,4728.0
97,Hot-rolled channel steel Q235 10,t,4734.0,4770.0,4728.0
98,Hot-rolled channel steel Q235 12.6,t,4734.0,4770.0,4728.0
99,Hot-rolled channel steel Q235 16a,t,4734.0,4770.0,4728.0
100,Hot-rolled channel steel Q235 20,t,4734.0,4770.0,4728.0
101,Hot-rolled channel steel Q235 28a,t,4734.0,4770.0,4728.0
102,Hot-rolled ordinary steel plate Q235 δ1 (cold rolled sheet),t,5134.0,5170.0,5128.0
103,Hot-rolled ordinary steel plate Q235 δ1.5 (cold rolled sheet),t,5134.0,5170.0,5128.0
104,Hot-rolled ordinary steel plate Q235 δ2,t,4734.0,4770.0,4728.0
105,Hot-rolled ordinary steel plate Q235 δ3,t,4734.0,4770.0,4728.0
106,Hot-rolled ordinary steel plate Q235 δ4,t,4734.0,4770.0,4728.0
107,Hot-rolled ordinary steel plate Q235 δ5,t,4734.0,4770.0,4728.0
108,Hot-rolled ordinary steel plate Q235 δ6,t,4734.0,4770.0,4728.0
109,Hot-rolled ordinary steel plate Q235 δ8,t,4554.0,4590.0,4548.0
110,Hot-rolled ordinary steel plate Q235 δ10,t,4414.0,4450.0,4408.0
111,Hot-rolled ordinary steel plate Q235 δ12,t,4374.0,4410.0,4368.0
112,Hot-rolled ordinary steel plate Q235 δ14,t,4324.0,4360.0,4318.0
113,Hot-rolled ordinary steel plate Q235 δ16,t,4384.0,4420.0,4378.0
114,Hot-rolled ordinary steel plate Q235 δ18,t,4384.0,4420.0,4378.0
115,Hot-rolled ordinary steel plate Q235 δ20,t,4384.0,4420.0,4378.0
116,Hot-rolled ordinary steel plate Q235 δ24,t,4384.0,4420.0,4378.0
117,Hot-rolled ordinary steel plate Q235 δ25,t,4384.0,4420.0,4378.0
118,Hot-rolled ordinary steel plate Q235 δ28,t,4484.0,4520.0,4478.0
119,Hot-rolled ordinary steel plate Q235 δ30,t,4484.0,4520.0,4478.0
120,Hot-rolled ordinary steel plate Q235 δ35,t,4484.0,4520.0,4478.0
121,Hot-rolled ordinary steel plate Q235 δ40,t,4484.0,4520.0,4478.0
122,Hot-rolled ordinary steel plate Q235 δ42,t,4484.0,4520.0,4478.0
123,Hot-rolled ordinary steel plate Q235 δ45,t,4484.0,4520.0,4478.0
124,Hot-rolled ordinary steel plate Q235 δ50,t,4484.0,4520.0,4478.0
125,Hot-rolled ordinary steel plate Q235 δ60,t,4484.0,4520.0,4478.0
126,Hot-rolled I-beam I20a,t,4884.0,4920.0,4878.0
127,Hot-rolled I-beam I25a,t,4884.0,4920.0,4878.0
128,Hot-rolled I-beam I28a,t,4884.0,4920.0,4878.0
129,Unequal Angle Steel Q235 63×40×4,t,4684.0,4720.0,4678.0
130,Unequal Angle Steel Q235 75×50×6,t,4684.0,4720.0,4678.0
131,Unequal Angle Steel Q235 80×50×6,t,4734.0,4770.0,4728.0
132,Unequal Angle Steel Q235 90×56×6,t,4734.0,4770.0,4728.0
133,Unequal Angle Steel Q235 100×60×10,t,4784.0,4820.0,4778.0
134,Unequal Angle Steel Q235 100×63×6,t,4784.0,4820.0,4778.0
135,Unequal Angle Steel Q235 100×63×8,t,4784.0,4820.0,4778.0
136,Unequal Angle Steel Q235 100×63×10 Hot Rolled,t,4784.0,4820.0,4778.0
137,Unequal Angle Steel Q235 100×75×10,t,4784.0,4820.0,4778.0
138,Unequal Angle Steel Q235 100×80×6,t,4784.0,4820.0,4778.0
139,Unequal Angle Steel Q235 100×80×7,t,4784.0,4820.0,4778.0
140,Unequal Angle Steel Q235 110×70×6,t,4764.0,4800.0,4758.0
141,Unequal Angle Steel Q235 110×70×8,t,4764.0,4800.0,4758.0
142,Unequal Angle Steel Q235 125×80×7 Hot Rolled,t,4834.0,4870.0,4828.0
143,Unequal Angle Steel Q235 125×80×8,t,4834.0,4870.0,4828.0
144,Unequal Angle Steel Q235 125×80×10,t,4834.0,4870.0,4828.0
145,Unequal Angle Steel Q235 140×90×10,t,4884.0,4920.0,4878.0
146,Unequal Angle Steel Q235 140×90×12 Hot Rolled,t,4884.0,4920.0,4878.0
147,Unequal Angle Steel Q235 160×100×10 Hot Rolled,t,4834.0,4870.0,4828.0
148,Unequal Angle Steel Q235 160×100×12 Hot Rolled,t,4834.0,4870.0,4828.0
149,Unequal Angle Steel Q235 180×110×10 Hot Rolled,t,4784.0,4820.0,4778.0
150,Unequal Angle Steel Q235 180×110×12 Hot Rolled,t,4784.0,4820.0,4778.0
151,Unequal Angle Steel Q235 200×125×12 Hot Rolled,t,4884.0,4920.0,4878.0
152,Equal Angle Steel Q235 20×3,t,4724.0,4760.0,4718.0
153,Equal Angle Steel Hot Rolled Q235 25×3,t,4724.0,4760.0,4718.0
154,Equal Angle Steel Hot Rolled Q235 25×4,t,4724.0,4760.0,4718.0
155,Equal Angle Steel Q235 30×3,t,4724.0,4760.0,4718.0
156,Equal Angle Steel Hot Rolled Q235 30×4,t,4724.0,4760.0,4718.0
157,Equal Angle Steel Q235 32×4,t,4724.0,4760.0,4718.0
158,Equal Angle Steel Q235 32×6,t,4724.0,4760.0,4718.0
159,Equal Angle Steel Q235 35×4,t,4724.0,4760.0,4718.0
160,Equal Angle Steel Q235 36×4,t,4724.0,4760.0,4718.0
161,Equal Angle Steel Q235 40×3,t,4724.0,4760.0,4718.0
162,Equal Angle Steel Q235 40×4,t,4724.0,4760.0,4718.0
163,Equal Angle Steel Q235 40×5,t,4724.0,4760.0,4718.0
164,Equal Angle Steel Q235 45×4,t,4664.0,4700.0,4658.0
165,Equal Angle Steel Q235 45×5,t,4664.0,4700.0,4658.0
166,Equal Angle Steel Hot Rolled Q235 45×6,t,4664.0,4700.0,4658.0
167,Equal Angle Steel Q235 50×4,t,4714.0,4750.0,4708.0
168,Equal Angle Steel Hot Rolled Q235 50×5,t,4714.0,4750.0,4708.0
169,Equal Angle Steel Hot Rolled Q235 50×6,t,4714.0,4750.0,4708.0
170,Equal Angle Steel Q235 56×5,t,4734.0,4770.0,4728.0
171,Equal Angle Steel Q235 56×6,t,4734.0,4770.0,4728.0
172,Equal Angle Steel Hot Rolled Q235 56×8,t,4734.0,4770.0,4728.0
173,Equal Angle Steel Hot Rolled Q235 63×5,t,4714.0,4750.0,4708.0
174,Equal Angle Steel Q235 63×6,t,4714.0,4750.0,4708.0
175,Equal Angle Steel Q235 70×5,t,4734.0,4770.0,4728.0
176,Equal Angle Steel Q235 70×6,t,4734.0,4770.0,4728.0
177,Equal Angle Steel Q235 75×5,t,4734.0,4770.0,4728.0
178,Equal Angle Steel Q235 75×6,t,4734.0,4770.0,4728.0
179,Equal Angle Steel Q235 75×8,t,4734.0,4770.0,4728.0
180,Equal Angle Steel Q235 80×5,t,4684.0,4720.0,4678.0
181,Equal Angle Steel Hot Rolled Q235 80×6,t,4684.0,4720.0,4678.0
182,Equal Angle Steel Q235 80×7,t,4684.0,4720.0,4678.0
183,Equal Angle Steel Q235 90×6,t,4684.0,4720.0,4678.0
184,Equal Angle Steel Q235 90×8,t,4684.0,4720.0,4678.0
185,Equal Angle Steel Q235 90×10,t,4684.0,4720.0,4678.0
186,Equal Angle Steel Q235 100×7,t,4684.0,4720.0,4678.0
187,Equal Angle Steel Q235 100×10,t,4684.0,4720.0,4678.0
188,Equal Angle Steel Q235 100×16,t,4684.0,4720.0,4678.0
189,Equal Angle Steel Q235 110×8,t,4684.0,4720.0,4678.0
190,Equal Angle Steel Q235 125×14,t,4684.0,4720.0,4678.0
191,Equal Angle Steel Q235 140×12,t,4684.0,4720.0,4678.0
192,Equal Angle Steel Q235 200×16,t,4684.0,4720.0,4678.0
193,Equal Angle Steel Q235 200×20,t,4684.0,4720.0,4678.0
194,Galvanized iron sheet 0.25mm,t,5384.0,5420.0,5378.0
195,Galvanized iron sheet 0.3mm,t,5384.0,5420.0,5378.0
196,Galvanized iron sheet 0.4mm,t,5384.0,5420.0,5378.0
197,Galvanized iron sheet 0.5mm,t,5384.0,5420.0,5378.0
198,Galvanized iron sheet 0.6mm,t,5034.0,5070.0,5028.0
199,Galvanized iron sheet 0.7mm,t,5034.0,5070.0,5028.0
200,Galvanized iron sheet 0.8mm,t,5034.0,5070.0,5028.0
201,Galvanized iron sheet 0.9mm,t,5034.0,5070.0,5028.0
202,Galvanized iron sheet 1.0mm,t,5034.0,5070.0,5028.0
203,Galvanized Iron Wire 8#,t,5384.0,5420.0,5378.0
204,Galvanized Iron Wire 10#,t,5434.0,5470.0,5428.0
205,Galvanized Iron Wire 12#,t,5434.0,5470.0,5428.0
206,Galvanized Iron Wire 14#,t,5484.0,5520.0,5478.0
207,Galvanized Iron Wire 16#,t,5884.0,5920.0,5878.0
208,Galvanized Iron Wire 18#,t,5934.0,5970.0,5928.0
209,Galvanized Iron Wire 20#,t,5884.0,5920.0,5878.0
210,Galvanized Iron Wire 22#,t,5914.0,5950.0,5908.0
211,Welded Steel Pipe DN15,t,5164.0,5200.0,5158.0
212,Welded Steel Pipe DN20,t,5084.0,5120.0,5078.0
213,Welded Steel Pipe DN25,t,4934.0,4970.0,4928.0
214,Welded Steel Pipe DN32,t,4934.0,4970.0,4928.0
215,Welded Steel Pipe DN40,t,4764.0,4800.0,4758.0
216,Welded Steel Pipe DN50,t,4934.0,4970.0,4928.0
217,Welded Steel Pipe DN70,t,4914.0,4950.0,4908.0
218,Welded Steel Pipe DN80,t,4914.0,4950.0,4908.0
219,Welded Steel Pipe DN100,t,4884.0,4920.0,4878.0
220,Welded Steel Pipe DN125,t,4984.0,5020.0,4978.0
221,Welded Steel Pipe DN150,t,4984.0,5020.0,4978.0
222,Galvanized steel pipe DN15 (hot-dip galvanized pipe),t,5734.0,5770.0,5728.0
223,Galvanized steel pipe DN20 (hot-dip galvanized pipe),t,5734.0,5770.0,5728.0
224,Galvanized steel pipe DN25 (hot-dip galvanized pipe),t,5484.0,5520.0,5478.0
225,Galvanized steel pipe DN32 (hot-dip galvanized pipe),t,5484.0,5520.0,5478.0
226,Galvanized steel pipe DN40 (hot-dip galvanized pipe),t,5484.0,5520.0,5478.0
227,Galvanized steel pipe DN50 (hot-dip galvanized pipe),t,5484.0,5520.0,5478.0
228,Galvanized steel pipe DN70 (hot-dip galvanized pipe),t,5484.0,5520.0,5478.0
229,Galvanized steel pipe DN80 (hot-dip galvanized pipe),t,5434.0,5470.0,5428.0
230,Galvanized steel pipe DN100 (hot-dip galvanized pipe),t,5284.0,5320.0,5278.0
231,Galvanized steel pipe DN125 (hot-dip galvanized pipe),t,5334.0,5370.0,5328.0
232,Galvanized steel pipe DN150 (hot-dip galvanized pipe),t,5334.0,5370.0,5328.0
233,Hot-rolled seamless pipe DN12×2,t,6284.0,6320.0,6278.0
234,Hot-rolled seamless pipe DN14×2,t,6284.0,6320.0,6278.0
235,Hot-rolled seamless pipe DN48×5,t,5334.0,5370.0,5328.0
236,Hot-rolled seamless pipe DN89×4,t,5184.0,5220.0,5178.0
237,Hot-rolled seamless pipe DN159×5,t,5334.0,5370.0,5328.0
238,Hot-rolled seamless pipe DN219×8,t,5484.0,5520.0,5478.0
239,Hot-rolled seamless pipe DN377×10,t,5684.0,5720.0,5678.0
240,First-grade sheet material (baked),m3,1610.0,1610.0,1610.0
241,Second-grade panel (baked),m3,1520.0,1520.0,1520.0
242,First-grade square timber (baked),m3,1610.0,1610.0,1610.0
243,Second-grade square timber (roasted),m3,1520.0,1520.0,1520.0
244,White cement,t,850.0,850.0,850.0
245,Ordinary Portland Cement (R) Composite 32.5,t,320.0,330.0,330.0
246,Ordinary Portland Cement (R) 42.5,t,390.0,420.0,420.0
247,Ordinary Portland Cement (R) 52.5,t,800.0,800.0,800.0
248,"EPS External Wall Insulation Board, Dry Bulk Density ≥20kg/m3",m3,330.0,330.0,320.0
249,"EPS External Wall Insulation Board, Dry Bulk Density ≥22kg/m3",m3,360.0,360.0,360.0
250,Pure ceramsite hollow blocks,m3,230.0,230.0,230.0
251,Autoclaved Aerated Concrete Block,m3,360.0,360.0,360.0
252,Perforated brick,per thousand pieces,420.0,430.0,420.0
253,Common clay brick,per thousand pieces,310.0,310.0,310.0
254,Rubble Stone,m3,30.0,50.0,50.0
255,Coarse rubble stone,m3,30.0,50.0,50.0
256,Sand,m3,40.0,45.0,40.0
257,Fine sand,m3,40.0,45.0,40.0
258,Medium (Coarse) Sand,m3,40.0,45.0,40.0
259,Medium (fine) sand,m3,45.0,50.0,45.0
260,Clean medium sand,m3,40.0,45.0,40.0
261,Natural medium (coarse) sand,m3,40.0,45.0,40.0
262,Coarse sand,m3,40.0,45.0,40.0
263,grain sand,m3,40.0,45.0,40.0
264,gravel,m3,40.0,45.0,40.0
265,gravel,m3,15.0,15.0,15.0
266,Gravel 10,m3,15.0,15.0,15.0
267,Gravel 10mm and below,m3,15.0,15.0,15.0
268,Gravel 20,m3,15.0,15.0,15.0
269,Gravel 20mm and below,m3,15.0,15.0,15.0
270,Gravel 40,m3,15.0,15.0,15.0
271,Gravel 40mm and below,m3,15.0,15.0,15.0
272,Crushed stone 5mm,m3,15.0,15.0,15.0
273,Crushed stone 10mm,m3,15.0,15.0,15.0
274,Crushed stone 15mm,m3,15.0,15.0,15.0
275,Crushed stone 20mm,m3,15.0,15.0,15.0
276,Crushed stone 25mm,m3,15.0,15.0,15.0
277,Crushed stone 30mm,m3,15.0,15.0,15.0
278,Crushed stone 40mm,m3,15.0,15.0,15.0
279,Crushed stone 50mm,m3,15.0,15.0,15.0
280,Crushed stone 60mm,m3,15.0,15.0,15.0
281,Crushed stone 70mm,m3,15.0,15.0,15.0
282,60 Series Single Frame Double Glass PVC Casement Window (Excluding Installation Cost) (Note 1),m2,245.0,240.0,245.0
283,65 Series Single Frame Double Glass PVC Casement Window (Excluding Installation Cost) (Note 1),m2,280.0,285.0,280.0
284,65 Series Single Frame Triple Glass PVC Casement Window (Excluding Installation Cost) (Note 1),m2,320.0,345.0,345.0
285,70 Series Single Frame Triple Glass PVC Casement Window (Excluding Installation Cost) (Note 1),m2,370.0,370.0,370.0
286,65 Series Single Frame Double Glass PVC Steel Sliding Door (excluding installation cost) (Note 1),m2,345.0,345.0,345.0
287,65 Series Single Frame Double Glass Thermal Break Aluminum Alloy Hinged Window (Excluding Installation Cost) (Note 2),m2,550.0,550.0,550.0
288,65 Series Single Frame Triple Glass Thermal Break Aluminum Alloy Hinged Window (Excluding Installation Cost) (Note 2),m2,600.0,600.0,600.0
289,65 Series Single Frame Double Glass Thermal Break Aluminum Alloy Hinged Door (Excluding Installation Cost) (Note 2),m2,980.0,980.0,980.0
290,Copper Core Rubber Insulated Wire BX1.5,m,1.051,1.061,1.046
291,Copper Core Rubber Insulated Wire BX2.5,m,1.678,1.695,1.67
292,Copper Core Rubber Insulated Wire BX4,m,2.76,2.787,2.747
293,Copper Core Rubber Insulated Wire BX6,m,4.078,4.118,4.058
294,Copper-core rubber insulated wire BX10,m,6.728,6.794,6.695
295,Copper Core Rubber Insulated Wire BX16,m,10.257,10.358,10.207
296,Copper Core Rubber Insulated Wire BX25,m,16.546,16.708,16.465
297,Copper Core Rubber Insulated Wire BX35,m,21.549,21.76,21.444
298,Copper Core Rubber Insulated Wire BX50,m,30.661,30.962,30.511
299,Aluminum-core rubber insulated wire BLX2.5,m,0.627,0.633,0.624
300,Aluminum-core rubber insulated wire BLX4,m,0.878,0.887,0.874
301,Aluminum-core rubber insulated wire BLX6,m,1.161,1.172,1.155
302,Aluminum-core rubber insulated wire BLX10,m,2.117,2.138,2.107
303,Aluminum-core rubber insulated wire BLX16,m,2.949,2.977,2.934
304,Aluminum-core rubber insulated wire BLX25,m,4.611,4.656,4.588
305,Aluminum-core rubber insulated wire BLX35,m,5.819,5.876,5.79
306,Aluminum-core rubber insulated wire BLX50,m,7.607,7.681,7.569
307,Aluminum-core rubber insulated wire BLX70,m,10.508,10.611,10.456
308,Aluminum-core rubber insulated wire BLX95,m,13.943,14.079,13.874
309,Aluminum-core rubber insulated wire BLX120,m,16.562,16.724,16.481
310,Copper-core plastic insulated wire BV1.5,m,0.925,0.934,0.921
311,Copper-core plastic insulated wire BV2.5,m,1.459,1.473,1.451
312,Copper-core plastic insulated wire BV4,m,2.4,2.423,2.388
313,Copper-core plastic insulated wire BV6,m,3.544,3.579,3.527
314,Copper-core plastic insulated wire BV10,m,5.85,5.907,5.821
315,Copper-core plastic insulated wire BV16,m,8.924,9.011,8.88
316,Copper-core plastic insulated wire BV25,m,14.397,14.539,14.327
317,Copper-core plastic insulated wire BV35,m,18.742,18.926,18.65
318,Copper-core plastic insulated wire BV50,m,26.662,26.923,26.531
319,Copper-core plastic insulated wire BV70,m,37.17,37.534,36.988
320,Copper-core plastic insulated wire BV95,m,50.438,50.933,50.191
321,Aluminum-core plastic insulated wire BLV2.5,m,0.455,0.459,0.453
322,Aluminum-core plastic insulated wire BLV4,m,0.627,0.633,0.624
323,Aluminum-core plastic insulated wire BLV6,m,0.91,0.919,0.905
324,Flame Retardant Plastic Copper Core Wire ZRBV-1.5,m,0.941,0.95,0.936
325,Flame-retardant plastic copper core wire ZRBV-2.5,m,1.474,1.489,1.467
326,Flame-retardant plastic copper core wire ZRBV-4,m,2.447,2.471,2.435
327,Flame-retardant plastic copper core wire ZRBV-6,m,3.607,3.643,3.59
328,Flame-retardant plastic copper core wire ZRBV-10,m,5.96,6.018,5.931
329,Flame-retardant plastic copper core wire ZRBV-16,m,9.096,9.186,9.052
330,Flame Retardant Plastic Copper Core Wire ZRBV-25,m,14.68,14.824,14.608
331,Flame Retardant Plastic Copper Core Wire ZRBV-35,m,19.118,19.306,19.024
332,Flame-retardant plastic copper core wire ZRBV-50,m,27.195,27.462,27.062
333,Flame-retardant plastic copper core wire ZRBV-70,m,37.907,38.279,37.721
334,Flame-retardant plastic copper core wire ZRBV-95,m,51.442,51.946,51.19
335,Fire-resistant plastic copper core wire NH-BV-1.5,m,1.019,1.029,1.014
336,Fire-resistant plastic copper core wire NH-BV-2.5,m,1.6,1.615,1.592
337,Fire-resistant plastic copper core wire NH-BV-4,m,2.635,2.661,2.622
338,Fire-resistant plastic copper core wire NH-BV-6,m,3.89,3.928,3.87
339,Fire-resistant plastic copper core wire NH-BV-10,m,6.43,6.493,6.399
340,Fire-resistant plastic copper core wire NH-BV-16,m,9.818,9.914,9.77
341,Fire-resistant plastic copper core wire NH-BV-25,m,15.84,15.996,15.763
342,Fire-resistant plastic copper core wire NH-BV-35,m,20.608,20.81,20.507
343,Fire-resistant plastic copper core wire NH-BV-50,m,29.328,29.616,29.184
344,Fire-resistant plastic copper core wire NH-BV-70,m,40.887,41.288,40.687
345,Fire-resistant plastic copper core wire NH-BV-95,m,55.473,56.016,55.201
346,Halogen-free plastic copper core wire WL-BV-1.5,m,1.066,1.077,1.061
347,Halogen-free plastic copper core wire WL-BV-2.5,m,1.631,1.647,1.623
348,Halogen-free plastic copper core wire WL-BV-4,m,2.651,2.677,2.638
349,Halogen-free plastic copper core wire WL-BV-6,m,3.842,3.88,3.824
350,Halogen-free plastic copper core wire WL-BV-10,m,6.195,6.256,6.165
351,Halogen-free plastic copper core wire WL-BV-16,m,9.332,9.423,9.286
