序号,通用名,规格,基本单位,生产厂商,产地,批号,行小计:库存数量,行小计:库存金额,180－360天:库存数量,180－360天:库存金额,0－30天:库存数量,0－30天:库存金额,30－60天:库存数量,30－60天:库存金额,90－180天:库存数量,90－180天:库存金额,360天以上:库存数量,360天以上:库存金额,60－90天:库存数量,60－90天:库存金额
255,炒白扁豆,精选,千克,山西元和堂中药有限公司,河南,171201,46,1656,46,1656,,,,,,,,,,
256,炒白芍,精选,千克,山西元和堂中药有限公司,安徽,180101,58,3248,58,3248,,,,,,,,,,
261,炒僵蚕,选,千克,山西元和堂中药有限公司,四川,170901,1,272,1,272,,,,,,,,,,
270,炒紫苏子,选,千克,山西元和堂中药有限公司,河北,171002,12,288,12,288,,,,,,,,,,
274,赤芍,精选,千克,山西元和堂中药有限公司,内蒙,180101,65,7800,65,7800,,,,,,,,,,
275,赤小豆,选,千克,山西元和堂中药有限公司,湖南,171101,106,2289.6,106,2289.6,,,,,,,,,,
277,川牛膝,选,千克,山西元和堂中药有限公司,四川,171101,98,4233.6,98,4233.6,,,,,,,,,,
295,党参,选,千克,山西元和堂中药有限公司,山西,171101,4,672,4,672,,,,,,,,,,
297,地龙,精选,千克,山西元和堂中药有限公司,广东,171201,95,34960,95,34960,,,,,,,,,,
318,茯苓,精选,千克,山西元和堂中药有限公司,安徽,170801,97,5199.2,97,5199.2,,,,,,,,,,
319,茯苓,精选,千克,山西元和堂中药有限公司,安徽,171201,83,4448.8,83,4448.8,,,,,,,,,,
327,钩藤,选,千克,山西元和堂中药有限公司,湖南,170801,65,10872,9,1296,56,9576,,,,,,,,
330,枸杞子,精选,千克,山西元和堂中药有限公司,宁夏,170901,40,3840,40,3840,,,,,,,,,,
354,姜半夏,统,千克,山西元和堂中药有限公司,贵州,170701,216,45792,216,45792,,,,,,,,,,
368,酒萸肉,统,千克,山西元和堂中药有限公司,浙江,170702,32,2227.2,32,2227.2,,,,,,,,,,
369,酒萸肉,统,千克,山西元和堂中药有限公司,浙江,170701,11,765.6,11,765.6,,,,,,,,,,
391,蜜紫菀,选,千克,山西元和堂中药有限公司,河北,180103,3,144,3,144,,,,,,,,,,
392,蜜紫菀,选,千克,山西元和堂中药有限公司,河北,180102,5,240,5,240,,,,,,,,,,
393,牡丹皮,精选,千克,山西元和堂中药有限公司,安徽,171101,1,70.4,1,70.4,,,,,,,,,,
416,忍冬藤,选,千克,山西元和堂中药有限公司,山东,171101,94,752,94,752,,,,,,,,,,
417,乳香,选,千克,山西元和堂中药有限公司,海南,180101,3,331.2,3,331.2,,,,,,,,,,
461,西洋参,选片,千克,山西元和堂中药有限公司,吉林,180102,23,44160,23,44160,,,,,,,,,,
470,益母草,选,千克,山西元和堂中药有限公司,山西,180101,0.25,2.4,0.25,2.4,,,,,,,,,,
481,皂角刺,精选,千克,山西元和堂中药有限公司,湖南,171202,81,15876,81,15876,,,,,,,,,,
489,制何首乌,选,千克,山西元和堂中药有限公司,四川,171201,563,27544,59,2596,504,24948,,,,,,,,
492,炙黄芪,精选,千克,山西元和堂中药有限公司,内蒙,180101,65,6240,65,6240,,,,,,,,,,
494,炙淫羊藿,统,千克,山西元和堂中药有限公司,甘肃,201703002,30,6360,30,6360,,,,,,,,,,
505,白芍,选,千克,山西元和堂中药有限公司,安徽,201704002,729,34992,729,34992,,,,,,,,,,
