Project Name,Payment Type,Payment Description,"Amount (10,000)",Company Name (Consistent with the Document),Document Progress,Whether Paid,Remarks
Yunhe Jinshang,Other,"May Life No. Talent 80,000",8.0,"Zhengzhou Feiren Cultural Media Co., Ltd.",Pending Payment,No,
Yunhe Jinshang,Other,March-May Xiaohongshu Influencer Fees,3.0,"Henan Chuchu Cultural Media Co., Ltd.",Pending Payment,No,
Yunhe Jinshang,Agency commission,2024 May Taichen Agency Commission,20.0,"Taisun Holding (Shenzhen) Group Co., Ltd. Zhengzhou Branch",Pending Payment,No,
Yunhe Jinshang,Other,Advertising Company Service Fee (Arrears),39.0,Chengdu Qimu,Pending Payment,No,
Yuntu,Institutional Commission,Beike Commission Settlement,15.0,"Henan Beike Information Technology Co., Ltd.",Pending Payment,No,
Yuntu,Other,Old brings new settlement fee,11.0,"Shanghai Fuliang Education Technology Co., Ltd.",Pending Payment,No,
Yuntu,Down Payment Interest Subsidy,Down Payment Interest Subsidy Cost,12.0,"Beijing Tiantu Chizheng Information Technology Co., Ltd.",Pending Payment,No,
Yuntu,Other,Parking Space Management Fee Gift Expense (April),2.4,"Shanghai Fuliang Education Technology Co., Ltd.",Pending Payment,No,
Yuntu,Other,Parking space management fee gift expenses (February-March),3.9,"Shanghai Fuliang Education Technology Co., Ltd.",Pending Payment,No,
Yuntu,Other,2024 Advertising Company 1-3 Month Fee,18.0,"Shenzhen Zhu Yu Wang Advertising Co., Ltd.",Pending Payment,No,
Yuntu,Other,Yang Fuhua's refund for excess down payment,8.8,Yang Fuhua,Pending Payment,No,
Zhoukou Longtang,High Evaluation FX,"High evaluation policy FX pending payment 220,000 (arrears)",152.4,"Beijing Tiantu Chizheng Information Technology Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Agency commission,2024 Yipinhang Agency Commission,31.3,"Henan Yipinhang Real Estate Marketing Planning Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 May Institution Referral Commission (Advance Payment),29.0,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 April Institution Referral Commission (Advance Payment),29.0,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 April-May Institution Referral Commission (Prepaid),29.0,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 February Institution Referral Commission,31.6,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 May Institution Referral Commission (Advance Payment),29.0,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 June Institution Referral Commission (Prepaid),29.0,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Institutional Commission,2024 June Institution Referral Commission (Prepaid),29.0,"Zhoukou Fangbeibeikeji Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Other,"2023 October-December, 2024 January-March advertising company expenses",36.0,"Shenzhen Zhu Yu Wang Advertising Co., Ltd.",Pending Payment,No,
Metropolitan Phase 5,Other,Car Dealer Office January Advertising Company Expenses,2.5,"Shenzhen Zhu Yu Wang Advertising Co., Ltd.",Pending Payment,No,
Zhoukou Longtang,Other,2021-2022 Agency Parking Space Sales Delivery Deposit,3.84,"Zhengzhou Rishengchang Real Estate Agency Co., Ltd.",Pending Payment,No,
Charm City,Agency commission,2024 Q1-Q4 Parking Space Sales Agency Commission,12.5,"Zhengzhou Rishengchang Real Estate Agency Co., Ltd.",Pending Payment,No,
Vanke Xiwang,Agency commission,2024 March-April Parking Space Sales Agency Commission,5.2,"Zhengzhou Rishengchang Real Estate Agency Co., Ltd.",Pending Payment,No,
Vanke Zitai,Agency commission,2024 Q1-Q4 Parking Space Sales Agency Commission,23.84,"Zhengzhou Rishengchang Real Estate Agency Co., Ltd.",Pending Payment,No,
Metropolitan Phases 4/5,Agency commission,2024 January Parking Space Sales Agency Commission,4.04,"Zhengzhou Rishengchang Real Estate Agency Co., Ltd.",Pending Payment,No,
Vanke Zitai,Other,Dayshengchang Team Property Consultant Awards for November 2023,2.0,Gutang,Pending Payment,No,
Zhoukou Longtang,Self-channel commission,"V-Zhoukou Longtang-2024 May-Pulin Channel Commission-Agent Commission-Zhengzhou Pulin Real Estate Brokerage Co., Ltd. Second Branch-12607",1.26,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Shanhedao,Self-channel commission,"V-Shan River- April 2024- Pulin Channel Commission- Agency Commission- Zhengzhou Pulin Real Estate Brokerage Co., Ltd. Second Branch- 13215",1.32,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
City Skyline,Self-channel commission,"V-City Skyline- May 2024-Pulin Channel Commission-Agent Commission-Second Branch of Zhengzhou Pulin Real Estate Brokerage Co., Ltd.-97672",9.77,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Star Map,Self-channel commission,"V-StarMap-2024 May-Pulin Channel Commission-Agent Commission-Vzhou Pulin Real Estate Brokerage Co., Ltd. Second Branch-777",0.08,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Future Times,Self-channel commission,"V-Future Time-2024 May-Pulian Channel Commission-Agent Commission-Zhengzhou Pulian Property Agency Co., Ltd. Second Branch-87786",8.78,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Cuiwan Zhongcheng,Self-channel commission,"V-Cuiwan-2024 May-Pulin Channel Commission-Agent Commission-Zhengzhou Pulin Property Agency Co., Ltd. Second Branch-43179",4.32,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Yunhe Jinshang,Self-channel commission,"V-Yunhe Jinshang-2024 May-Pulin Channel Commission-Agent Commission-Zhengzhou Pulin Real Estate Brokerage Co., Ltd. Second Branch-118830",11.88,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
City Skyline,Self-channel commission,"V-City Skyline-2024 April-Pulian Channel Commission-Agent Commission-Zhengzhou Pulian Real Estate Brokerage Co., Ltd. Second Branch-61804",6.18,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Star Map,Self-channel commission,"V-StarMap-2024 April-PP Neighbor Channel Commission-Agent Commission-Zhengzhou PP Neighbor Real Estate Brokerage Co., Ltd. Second Branch-5106",0.51,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Yuntu,Self-channel commission,"V-Cloud Map- April 2024- Pulin Channel Commission- Agency Commission- Pulin Property Brokerage Co., Ltd. Second Branch in Zhengzhou- 4976",0.5,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Future Times,Self-channel commission,"V-Future Time-2024 April-Pulian Channel Commission-Agent Commission-Zhengzhou Pulian Property Brokerage Co., Ltd. Second Branch-17437",1.74,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Gucui Yinxiu,Self-channel commission,"V-GuCui-2024 April-Pulin Channel Commission-Agent Commission-Zhengzhou Pulin Real Estate Brokerage Co., Ltd. Second Branch-18448",1.84,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,
Yunhe Jinshang,Self-channel labor cost,"V-Yunhe Jinshang-3rd Quarter of 24-Channel Commission (Commission)-Second Branch of Zhengzhou Pulin Real Estate Agency Co., Ltd.-450,000 Yuan",45.0,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,Urgent [Personnel Salary]
Future Times,Self-channel labor cost,"V-Future Time-3rd Quarter of 2024- (Work) Channel Commission (Commission)-Second Branch of Zhengzhou Pulin Real Estate Agency Co., Ltd.-400,000 Yuan",40.0,"Zhengzhou Pulin Real Estate Agency Co., Ltd. Second Branch",Pending Payment,No,Urgent [Personnel Salary]
City Skyline,Institutional Commission,"V-City Skyline-2024 May-Institutional Referral Fee-Distribution Commission Fee-Henan Beike Information Technology Co., Ltd.-442036",44.2,"Henan Beike Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Institutional Commission,"V-City Skyline-2024 April-Institutional Referral Fee-Distribution Commission Fee-Zhengzhou Gengying Information Technology Co., Ltd.-95243",9.5,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Institutional Commission,"V-City Skyline- May 2024- Institution Referral Fee- Distribution Commission Fee- Zhengzhou Gengying Information Technology Co., Ltd.- 420747",42.1,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Institutional Commission,"V-City Skyline-2024 May-Institutional Referral Fee-Distribution Commission Fee-Zhengzhou Gengying Information Technology Co., Ltd.-402209",40.0,"Zhengzhou Gengying Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Down Payment Interest Subsidy,"都会天际项目2024年4月销售签约整合推广框架服务合作协议（5月份）  
Wouldian Skyline Project 2024 April Sales Contract Integrated Promotion Framework Service Cooperation Agreement (May)",22.0,"Beijing Tiantu Chizheng Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Down Payment Interest Subsidy,"都会天际项目2024年4月销售签约整合推广框架服务合作协议（6月份）  
Wouldian Skyline Project 2024 April Sales Signing Integrated Promotion Framework Service Cooperation Agreement (June)",4.9,"Beijing Tiantu Chizheng Information Technology Co., Ltd.",Pending Payment,No,
City Skyline,Agency commission,Metropolitan Project Taichen Team 2023 Subscription 2024 January-February Commission Recovery,1.4,"Taisun Holding (Shenzhen) Group Co., Ltd. Zhengzhou Branch",Pending Payment,No,
City Skyline,Agency commission,Commission from the Taichen team's May payment at City Skyline,16.0,"Taisun Holding (Shenzhen) Group Co., Ltd. Zhengzhou Branch",Pending Payment,No,
City Skyline,Agency commission,"Contract Payment Application - K - Skyline Project - Sales Agency Fee and Commission - Self-sale Commission - Huazhong Weijia Zhengzhou Vanke Andafang (Zhuhai Hengqin) Real Estate Agency Co., Ltd. Zhengzhou Branch - May 2024 Sales Agency Commission Settlement - Payment Amount 316,797.72 RMB - 6% Sales Commission",31.6,"Huazhong Weijia (Zhuhai Hengqin) Real Estate Agency Co., Ltd. Zhengzhou Branch",Pending Payment,No,
Total,Total,Total,,,,,
