Product ID,Commodity Name,Current Period Sales Volume,Actual Sales
450841.0,Jialigu (C),10,276
346145.0,Huang Xianggua (C),20,276
125789.0,Broccoli,34,271
412052.0,Premium Pig Stomach,4,268
82039.0,Pork Offal,14,265
638261.0,Premium King Oyster Mushroom (C),15,265
70675.0,White Glutinous Rice (JD),39,255
87241.0,Snail Stir-Fry,14650,256
772038.0,Dried Baby Cuttlefish (C),1,253
146301.0,Green Pumpkin,63,246
302918.0,Lychee (C),8,239
679839.0,Big Taonong Mango (C),9,238
213361.0,Shrimp (C),3,234
15534.0,Chicken Feet,12,229
241270.0,Grass Carp (C),17,229
451226.0,Strawberry (C),6,226
122876.0,Scented Pillow Cake,38,224
641792.0,Seasoned Chicken Drumsticks (C),4,224
639087.0,Small steamed buns (C),17,221
758560.0,Premium Five-layer Pork (C),6,218
399336.0,Peanut Kernels (C),10,213
127304.0,Chicken Legs,10,212
373872.0,Premium Five-layer Pork,6,211
900896.0,Xiangjiazi Water Duck (C),10,209
125756.0,Winter Melon,136,204
900907.0,Xiangjia Xiansi Black Chicken (C),6,202
648148.0,Single Crystal Rock Sugar (C),15,202
757718.0,Premium Corn (C),20,197
695515.0,Nori 100g (C),34,197
908458.0,Old Nanguo Grain Eggs 15 pieces,13,193
639082.0,Steamed Pork Buns (C),11,190
679814.0,King Qi Melon rrl(C),33,187
679819.0,Little Cherry Tomato (C),13,187
513701.0,Pineapple Meat (C),3,186
361366.0,Yuanbao Cake (Renrenle),4,182
125763.0,Potato,34,181
440333.0,Lobster Meat (C),2,181
772044.0,Frozen Shrimp (C),5,181
375341.0,Premium quality upper meat,7,181
429259.0,Black Cuttlefish (C),1,176
904569.0,Milestone Xiangxi Cured Pork,3,175
351765.0,Honey Pear (C),18,174
772023.0,Small Eel (C),2,172
412049.0,Premium Dragon Bone,6,167
757713.0,Premium Enoki Mushrooms (C),12,166
911784.0,Guangyikang Five-layer Pork (C),4,165
772005.0,Yellow Duckweed (C),5,162
821755.0,Bird King Loose Preserved Eggs,116,162
324122.0,Silver carp (C),8,162
360222.0,Love White Bread,27,159
648181.0,Brown Sugar (C),12,158
803478.0,Wonton (C),5,158
704795.0,Xinjiang Meat Dates (C),5,158
641795.0,Bone and Meat Connected (Raw Vegetables),4,156
348308.0,Soybeans (C),20,155
199353.0,Premium Garlic Clove,9,152
517550.0,8-inch birthday cake,2,152
900905.0,Xiangjia Fresh Green-legged Chicken (C),5,151
346112.0,Honey Pear (C),19,151
772536.0,Premium Chestnut Red Chestnut (C),21,150
131264.0,Kelp (C),6,151
731877.0,Black Pepper Roast Chicken (C),17,150
636260.0,Cod (C),3,148
691320.0,Yiyuan Eight Treasures Powder (C),1,148
632401.0,Tian Shan Green Tea Powder (C),0,147
639272.0,Xiaohua Pian (C),8,147
86822.0,Walnut Cookie,11,144
621300.0,Crystal Shrimp Ribs (C),2,144
354429.0,Black Beans (C),6,142
648156.0,Tofu Skin (C),5,140
696060.0,Rib Ribs (C),2,138
213365.0,Toad (C),13,138
632388.0,Roasted Pumpkin Seeds (C),1,136
689195.0,Ice Cream kg (C),7,136
803477.0,Dumplings (C),4,134
89092.0,Pork Ribs,4,134
346096.0,Red Snake Apple (C),3,132
40782.0,Red Bean Toast,22,130
679846.0,Early Spring Red Jade (C),13,129
757714.0,Premium Green Chili (C),13,129
260440.0,Bulk Cake,6,129
648956.0,Premium young ginger,9,126
658830.0,Scallion Pancake Roll 1 (C),139,125
324171.0,Dried Squid (C),2,125
82040.0,Chicken Drums,5,124
70499.0,Lotus root,24,123
648199.0,Flour (C),21,123
633206.0,Oil Stick (C),81,122
289227.0,Green Snake Fruit (C),3,121
632399.0,Mature Pueraria Lobata Root (C),1,120
900908.0,Xiangjia Xian Yellow Oil Soil Chicken (C),4,118
447700.0,Coconut Milk Bun,28,118
246496.0,Scallion and Meat Crisp Roll,0,118
440691.0,Shendan Good Soil Eggs 15 Pieces,5,110
648218.0,Premium Mushroom (C),1,112
829327.0,Sesame Flower Roll (C),0,112
768793.0,Duck Feet in Soy Sauce (C),0,111
700440.0,Buckwheat Steamed Bun (C),4,111
706756.0,Glutinous Rice Flour (C),12,111
878341.0,Honey Bean Toast,17,111
731834.0,Pig stomach (C),2,110
743554.0,Shandan 10 Eggs Starter Broody Eggs,10,109
417889.0,Red Date Cake,0,109
632382.0,Roasted Walnuts (C),1,109
658834.0,Cabbage Jelly No.1 (C),31,108
499043.0,Mangosteen (C),2,108
648236.0,Corn Grits (C),13,106
272695.0,Bun for Hamburger,22,106
726448.0,Imported Lemons (C),30,105
884247.0,Yancun Premium Five-layered Pork (C),2,105
682067.0,Whole Toast,16,104
904226.0,Xiangjia Chicken Kidney (C),3,102
645659.0,Nutritional Powder (C),4,102
816844.0,Cumin Beef Threads (C),1,102
638249.0,Premium Snow Peas (C),4,101
622614.0,Roast Duck (C),0,101
878770.0,White Tofu (C),50,100
830315.0,Yixiangzhuang Gift Box Set Gift Box,4,99
125730.0,Water spinach,9,99
130483.0,"四季豆 translates to ""green beans"" in English.",14,99
749286.0,Natural Seedless Honey Date 480g (C),2,96
878767.0,PZ Xianggan (C),98,98
66708.0,"Rib排 (Note: ""肋排"" directly translates to ""rib排"" or ""ribs"" in English. If referring to a specific product or context, additional clarification might be needed.)",3,98
210990.0,Half Duck,8,97
412046.0,Premium Plum Meat,3,97
632384.0,Tian Shan Tuber Starch (C),1,97
273312.0,Harley Cake,7,96
878757.0,Firewood Dried (C),4,96
757719.0,Premium Cucumber (C),10,95
768223.0,Premium Lean Meat (C),2,95
878741.0,Silver洲 Rice Noodles (C),17,95
82087.0,Pork Liver,5,92
641793.0,Seasoned Chicken Wing Roots (C),3,92
884238.0,Yancun Home Pork Lean Meat (C),2,91
773332.0,Half Duck (C),4,90
757711.0,Premium Garlic (C),5,90
448600.0,Emperor Banana (C),5,89
348287.0,Eight Treasures Porridge (C),10,90
784715.0,Sunny Delight Cereal Eggs 20 Pieces,3,90
648227.0,Silver Ear Fungus (C),1,88
632394.0,Sesame Powder (C),1,88
451284.0,Coconut (C),11,88
731882.0,Fried Chicken Nuggets (C),0,88
412045.0,High-quality lean meat,3,87
379395.0,Fine ground meat,3,87
787463.0,Sour Jujube Seed (C),3,86
446969.0,Yellow Cattle Meat (C),1,85
658825.0,Freshly Made Roasted Cookie (C),34,85
431841.0,Hanao Apple (C),4,85
731670.0,Beef Tripe (C),1,83
294934.0,Crumble Cake,0,84
431864.0,Huangjin Pear (C),5,84
920312.0,Premium Milestone Sausage Grains,2,84
632383.0,Multi-grain Powder (C),1,83
635952.0,High-quality pork large intestine,2,83
637055.0,Qiao Rice (JD),12,82
87579.0,Chicken Wings,2,82
125736.0,Lettuce,21,82
830299.0,Yixiangzhai Green Mung Bean Cake Gift Box 200g,9,80
37459.0,Star Little Fried Buns,80,80
787957.0,Chicken Legs (C),21,80
446549.0,Culinary Bread Series,53,79
621005.0,Spicy Hand-Torn Chicken (C),9,79
679805.0,Kiwi (C),6,79
768222.0,Premium Pork Loin (C),2,78
694814.0,Handmade Noodles (C),12,78
272070.0,Premium Corn,26,78
772056.0,Dried Kelp Balls (C),1,76
639085.0,Shao Mai (C),4,76
337680.0,Blueberry Mousse,11,75
656413.0,Black Fungus (C),1,75
125739.0,Sweat Vegetables,6,74
669777.0,Tiger Skin Chicken Feet (C),2,73
757715.0,Premium Red Bell Pepper (C),6,73
354518.0,Dumpling Wrappers (C),8,73
346184.0,Imported Red Seedless Grapes (C),1,72
787522.0,Fried Chicken Legs (C),19,72
917905.0,Super Crystal Red Fuji 80#,4,72
70467.0,Chinese yam,10,71
353529.0,Summer Orange (C),9,71
830283.0,Yixiangzhai Packaged Dangshixin Gao 250g,9,70
782940.0,Fried Medium Wings (C),28,70
639315.0,Crispy Eight-Character Pastry (C),3,69
648948.0,Premium Green Pointed Chili,6,69
447718.0,Pineapple Bread,10,69
757712.0,Premium Mini Mushroom (C),5,69
900891.0,Xiangjia Fresh Indigenous Yellow Chicken (C),2,69
655070.0,Pork Tenderloin (C),2,69
632386.0,Processed Poria cocos (C),0,68
772016.0,Bailong Fire-Cured Fish (C),1,68
34148.0,Red bean twisted bun pastry,15,68
196612.0,Refined Front Leg (Raw Side Dish),2,67
377820.0,Nashi Pear (C),4,66
757720.0,Premium Eggplant (C),6,66
645757.0,Black Sesame (C),2,66
632385.0,Dried Red Dates (C),0,66
220329.0,Shenden Lead-free Duck Egg 12-piece,3,66
647818.0,Sticky Rice Chicken (C),13,65
272001.0,Premium Cucumber,5,65
125733.0,Bok Choy,34,65
638248.0,Premium Four-Season Beans (C),5,64
758559.0,Premium Front Leg Meat (C),2,64
684380.0,North-South Special French Cake,40,64
878742.0,Shen Shifu Tofu Skin (C),13,64
821293.0,Premium Crystal Red Fuji 85# (C),5,64
576709.0,Old Ferment Black Glutinous Rice Steamed Bun (C),0,63
830282.0,Yixiangzhai Packaged Black and White Charcoal Slices 250g,8,62
125751.0,Celery,20,62
214671.0,Meat Floss Bun,9,62
431768.0,Yongchun Ligan (C),10,62
772070.0,Premium Shrimp Skin (C),1,62
771998.0,Holy Dry (C),0,62
312891.0,Duck Feet A,3,61
900906.0,Xiangjia Xiantu Black Hen (C),1,61
648217.0,Super Premium Black Fungus (C),1,61
639278.0,Black and White Charred Slices (C),3,61
900904.0,Xiangjia Fresh Chicken Tenderloin (C),1,60
641796.0,Sichuan-style Chicken Strips (Raw Vegetables),2,60
729270.0,Pork Tripe (C),1,60
830314.0,Yi Xiangzhuang Six-in-One Gift Box Gift Box,3,59
69461.0,Bird King Pine Flower Duck Egg 405g (6+3),3,59
639110.0,Lanwei Xian (C),2,59
911785.0,Guangyikang Lean Pork (C),1,59
651973.0,Dried Kelp Knots (C),1,59
729269.0,Pork Ear Tip (C),1,59
471543.0,Kiwi Fruit (C),12,59
681485.0,Fresh Meat Buns (C),0,59
122846.0,Whole Wheat Square Bun,9,59
66312.0,Jelly,15,59
70469.0,Sichuan pepper,9,58
878764.0,Xiangzhong Pickles (C),2,58
362398.0,Processed bread,58,58
125773.0,Radish,30,58
426105.0,Beef Brisket (C),1,58
909043.0,"Lvefresh Red Dates (Ruoqiang, Xinjiang)",1,58
655067.0,Front Leg Meat (C),2,57
70486.0,Long Bean,10,57
878758.0,Country-style Dried Meat (C),3,57
768225.0,Premium Pork Ribs (C),2,57
816862.0,Canned Seasoned Green Beans (C),4,57
272042.0,Premium chili pepper,5,57
125745.0,Cabbage,11,56
816854.0,Sweet Potato Ball (C),2,56
195478.0,Premium Red Chili Pepper,5,55
904573.0,Milestone Sausage,1,55
757726.0,Premium Crab Flavor Enoki Mushroom (C),11,55
911782.0,Guangyikang Front Leg Meat (C),1,55
904559.0,Mile Spice Sichuan Flavor Sausage,1,55
768231.0,Braised Intestine (C),1,54
122884.0,Mini Cake,5,54
125746.0,Leek Flower,7,54
816846.0,Golden Hall (C),2,53
213389.0,Crawfish (C),2,53
669592.0,Lily Porridge (C),3,53
668717.0,Premium Cabbage (C),13,52
731810.0,Meat Filling (C),2,52
850763.0,Fiddlehead Fern Discount,0,52
911759.0,Guangyikang Snowflake Meat (C),1,52
207196.0,Premium Potato,7,52
884237.0,Yancun Home Pig Foreleg Meat (C),1,52
768236.0,Pig Tongue (C),1,51
346114.0,Golden Kumquat (C),3,51
654222.0,Nanjing Salted Duck (C),1,51
904572.0,Milestone Fresh Meat Sausage,1,51
125732.0,Bok Choy,10,51
234158.0,Sea Pepper Flour,1,51
772041.0,Frozen Snail Meat (C),1,51
456459.0,Shandan Fresh Quail Eggs 24 Pieces,4,50
623619.0,Egg Roll (C),20,50
779266.0,Duck Lock Bone,3,50
514165.0,"Shen Dan Niao Wang Xihuang Salted Duck Eggs, 9 pieces",2,50
39390.0,Shen Dan Oil Yellow Salted Duck Egg (Cooked),16,50
487689.0,Cheese Stick,11,49
668766.0,Premium Water Chestnut (C),4,49
816849.0,Seasoned Rice Cake Fish (C),2,48
122588.0,Long Chinese Cabbage,8,48
639105.0,Scallion Pancake (C),3,48
639194.0,Corn Kernels (C),3,48
272004.0,Premium Small Red Pepper,2,48
196616.0,Crisp Ham Hock (Raw Side Dish),1,48
639043.0,Cold Mixed Vegetables (C),2,48
729236.0,Pork Head Meat (C),1,47
412051.0,High-quality pig liver,2,47
159414.0,Coconut-flavored meal bun,8,47
632404.0,Multi-grain Coarse Fiber Powder (C),1,47
130775.0,Winter Cold Vegetable,3,46
911771.0,Guangyikang Pig Heart (C),1,46
324169.0,Octopus (C),772,46
122633.0,Chinese cabbage heart,8,46
32790.0,Caterpillar Bread,13,46
920311.0,Premium Milestone Sausage with Grains,1,45
442841.0,Perch (C),0,45
707707.0,Duck Intestine (C),1,45
677515.0,Premium Ginger (C),5,45
196609.0,Braised Pork Fillet (Raw Vegetables),1,45
487692.0,Red bean roll,10,45
695420.0,Freshly Chilled Mandarin Fish (C),1,45
655076.0,Pig Liver (C),1,45
272037.0,Premium Dutch Bean,2,44
15527.0,Chicken breast meat,2,44
788072.0,Crunchy Peanuts (C),1,44
878750.0,Vegetable-Bound Chicken (C),2,44
884246.0,Smoked Village Pork Loin (C),1,43
911793.0,Guangyikang Spare Ribs (C),1,43
147819.0,Eggplant,4,43
788071.0,Roast Duck Legs (C),6,42
645739.0,Red Rice (C),4,43
648177.0,Sweet Potato Starch (Wide) (C),2,43
122596.0,Leek,6,43
272035.0,Premium Four-Season Beans,3,42
196610.0,Refined Lean Meat (Raw Vegetables),1,42
696243.0,Barracuda (C),1,42
638277.0,Premium Fresh Wood Ear (C),4,42
638262.0,Premium Tea Tree Mushroom (C),2,42
757723.0,Premium Zhoutian Pepper (C),2,42
768226.0,Premium Dragon Bone (C),2,42
673853.0,Pig Heart (C),1,41
731833.0,Pig Kidney (C),1,41
817765.0,Xiang Flavor Sausage,1,41
757725.0,Premium High Mountain Baby Cabbage (C),0,41
128173.0,Butter Cake,7,41
18160.0,Sausage Strip,9,41
632402.0,Glutinous Water Chestnut (C),0,41
632397.0,Almond Powder (C),0,41
878751.0,Lili Ping Oil Tofu (C),2,40
749313.0,Red Bean Red Bean Paste 500g (C),2,40
639298.0,Cooling Jelly (C),2,40
749290.0,Desert Date 300g (C),2,40
679798.0,Huang Yuanshui (C),2,40
126447.0,Red chili pepper,7,39
652307.0,Premium peeled taro,4,39
830296.0,Yixiangzhai Packaged Law Biscuit 100g,26,39
681483.0,Traditional Steamed Cake (C),3,39
126259.0,Duck Kidney,1,39
150781.0,Bacon Intestine,0,39
488163.0,Snow Lotus Tuber (C),3,38
884236.0,Yancun Home Pig Hind Leg Meat (C),1,39
256530.0,God Dan Niao Wang's first egg production is 9 eggs.,3,30
911786.0,Guangyikang Pork Loin (C),1,38
272040.0,Premium Broccoli,2,38
125750.0,garlic sprout,5,38
707704.0,Duck Neck (C),0,38
772012.0,Salted Herring (C),2,37
668752.0,Premium Bitter Melon (C),3,37
772033.0,Yellow Croaker (C),3,37
639667.0,Almond Cookie (C),2,36
878743.0,Pig Blood Tofu (C),13,36
884232.0,Yancun Premium Pig Stomach (C),0,36
155264.0,Shen Dan Niao Wang Mature Salted Duck Egg 1 Piece,14,36
829326.0,Sugar Packet (C),0,36
639114.0,Soft Twist (C),2,36
685828.0,Frozen Large Hairtail Fillets (C),1,36
638246.0,Premium Lotus Root (C),3,36
253275.0,Cheese Dinner Roll,6,35
638259.0,Premium Sponge Gourd (C),3,35
878768.0,Premium Large Fermented Tofu (C),2,35
638273.0,Premium Green Bell Pepper (C),4,35
772017.0,Smelly Fire-roasted Fish (C),1,35
911768.0,Guangyikang High-quality Front Leg Meat (C),1,35
272039.0,Premium Luffa,2,35
251406.0,Red bean sand bun,5,35
94041.0,Goji Berry (C),0,34
451138.0,Starfruit (C),1,34
227146.0,Oat Rice (C),3,34
655071.0,Pork Tenderloin (C),1,34
668722.0,Premium Small Red Chili Pepper (C),3,34
878771.0,Salted Tofu (C),2,34
632403.0,Dried Goji Berries (C),0,34
151589.0,Golden Pumpkin,3,34
899315.0,Jiu Xiang Ju Black Sesame Oil 220ml (C),2,33
82100.0,Pig Trotter,1,33
672568.0,Frozen Sanma (C),1,33
638260.0,Premium Taro (C),3,33
907881.0,Pancake with Red Bean Paste (C),1,33
884249.0,Yancun Premium Ribs (C),0,33
700081.0,Premium Single Clove Garlic (C),1,33
878753.0,Tofu Skin Sheets (C),2,32
122875.0,Olive Cake,13,32
773323.0,Braised Pork Feet (C),1,32
639270.0,Spicy Rice Crackers (C),2,32
632400.0,C Assorted Noodles,0,32
638306.0,Premium Cauliflower (C),3,32
773330.0,Canned Pickled Fish (C),588,31
866045.0,Da Ziran Pickled Mustard Tuber (408g),8,31
39269.0,Chicken Wing Tips,1,31
878745.0,Xiaoxianggan (C),2,31
668711.0,Premium Leek Seedling (C),1,31
669593.0,Red Date (C),0,31
125749.0,Cilantro,3,31
757730.0,Premium Green Mung Bean (C),2,31
878765.0,Pickle Series (C),1,31
759105.0,White Cloud Beans (C),2,31
832758.0,Premium Japanese Green Cucumber,2,31
648947.0,Premium Garlic Cloves,3,31
638282.0,Premium Broccoli (C),2,31
195488.0,Premium Carrot,5,30
772054.0,Wide-leaf Kombu (C),1,30
694813.0,Wonton Wrappers (C),3,30
648208.0,Qiao Mai (C),2,30
620994.0,Pork Ear (C),1,30
574894.0,Blood Black Rice 500g (C),2,30
272057.0,Premium Tomato,3,30
253272.0,Coconut Red Bean Bun,7,29
682065.0,Red Bean Donuts,7,29
632406.0,Custard Apple (C),0,29
757707.0,Premium Water Bamboo Shoots (C),2,29
641799.0,Seasoned Fish Balls (C),1,29
639522.0,Pickle Chicken (C),0,29
683786.0,Hard-boiled egg with sauce,29,29
648175.0,Brown Sugar (C),2,29
679796.0,Yellow Cherry Tomato (C),2,29
83788.0,green onion sprout,5,29
899324.0,Jiu Xiang Ju Black Sesame Oil 400ml (C),1,29
632387.0,Rice with Job's Tears (C),0,29
89546.0,Canned Duck Wings (C),0,29
348052.0,Leek Flowers (C),0,28
731862.0,Pork Ribs (C),1,28
82870.0,Shenden Salted Duck Eggs 6-piece,2,28
125780.0,Snow pea,2,28
920313.0,Premium Mileage Spicy Sichuan Flavor Sausage,0,28
759315.0,Farmer's Country-style Brown Eggs (8 pieces),2,28
908457.0,Old Nanguo Grain Eggs,1,27
638292.0,Premium Green Garlic Stalks (C),2,27
216100.0,Mexican meal bag,7,27
272010.0,Premium Winter Melon,5,27
149566.0,Mung Bean Sprouts,7,27
313215.0,Blueberry Cake,6,27
272002.0,Premium Red Chili Pepper,2,27
830301.0,Yixiangzhai Fragrant Taro Cake Gift Box 200g,3,27
830305.0,Yixiangzhai Rice Cakes Gift Box 200g,3,27
617143.0,Sandy Valley Cereal Eggs,1,26
94040.0,Star Anise (C),0,26
771461.0,Red Sichuan Pepper (C),0,26
122609.0,Red Cabbage,7,26
645715.0,Sago (C),1,26
766613.0,Premium Qixin White (C),3,26
668713.0,Premium Shanghai Green (C),3,25
661704.0,Snake Skin Fruit (C),0,25
435113.0,Glutinous Small Millet (C),2,25
757716.0,Premium Cabbage (C),4,25
638286.0,Premium Tomatoes (C),3,25
39389.0,"Shendan Pine Flower Duck Egg, 8 pieces",1,25
638247.0,Premium Long Green Beans (C),2,25
700467.0,Shuma (C),1,25
816858.0,Seasoned Snail Meat (C),1,25
880621.0,Shengdile Green Eggs 20-piece,1,25
857348.0,Old Helmsman Pickled Green Pepper (200g),5,25
729262.0,Braised Pork (C),618,24
884248.0,Smoked Village Meat-filled Bone (C),0,24
639666.0,Pepper Cake (C),1,24
668750.0,Premium White Jade Mushroom (C),0,24
658828.0,Vegetable Bun (C),20,24
878759.0,Cured Tofu (C),1,24
125784.0,Celtuce,8,24
639675.0,Crispy Eight-Character Pastry (C),1,24
211682.0,Premium Large Headed Cabbage,4,24
348051.0,Cinnamon (C),1,24
757734.0,Premium Leek Flower (C),1,24
731324.0,Fried Three Delicacies Meatballs (C),1,24
18156.0,Tiger Skin Roll,3,23
189412.0,Raisin Bread Roll,6,23
387817.0,Premium Mung Beans,2,23
125742.0,Big苞菜 (Big Headed Cabbage),13,23
758558.0,Premium Hind Leg Meat (C),1,23
757722.0,Premium Red Cabbage (C),3,23
639643.0,Red Date (C),1,23
272003.0,Premium Green Pepper,3,23
884229.0,Yancun Premium Dragon Bone (C),1,23
639115.0,Malagao (C),2,23
819073.0,Black Forest Cake (Box),5,23
370791.0,Fresh Fruit Cubes,5,23
695516.0,Nori 60g (C),8,22
757729.0,Premium Xue Li Hong (C),1,22
194830.0,Corn Steamed Buns (C),1,22
354527.0,Alkali Noodles (C),2,22
648142.0,Brown Rice (C),2,22
239359.0,Dried chili pepper,1,22
574879.0,White Jade Glutinous Rice 500g (C),2,22
82866.0,Shendan Quail Egg Preserved Egg 12 Pieces,2,22
878744.0,Blood Cubes (C),3,22
904570.0,Milestone Hunan Cured Pork,0,21
641783.0,Seasoned Squid (C),0,21
399338.0,Green Mung Beans (C),2,21
440694.0,Shenden Salted Duck Eggs (8 pieces),1,21
161821.0,Coconut Scented Strip,3,21
900903.0,Hunan Excellence Duck Kidney (C),1,21
901506.0,Raisin stick,3,21
122618.0,Big Red Pepper,4,21
272006.0,Premium Pumpkin,3,21
684042.0,Xishi Meat Floss Cake,0,20
26562.0,Swiss Roll,3,20
294924.0,Color Stripe Swiss Roll,3,20
272041.0,Premium Bitter Melon,1,20
90950.0,Laughing Mouth,0,20
638268.0,Premium Japanese Green Cucumber (C),1,20
272038.0,Premium Cauliflower,2,19
648158.0,Dried Lychee (C),0,19
857350.0,Old Helmsman Pickled Cabbage (300g),4,19
633599.0,Huo Guo Canned Meatballs (C),1,19
11013.0,Mung Bean Sprouts,6,19
911794.0,Guangyikang Bone (C),1,19
24506.0,Premium Celery,2,19
648235.0,Corn Flakes (C),2,19
772031.0,Frozen Small Hairtail Segments (C),1,19
648136.0,White Sugar (C),2,19
622593.0,Salted Duck Liver (C),1,18
241632.0,Shengdile Green Eggs,1,18
648234.0,Corn Kernels (C),2,18
772058.0,Nori 20g (C),15,18
850633.0,Discounted Navel Orange,0,18
639107.0,Steamed Dumplings (C),1,18
830302.0,Yixiangzhai Chestnut Cake Gift Box 200g,2,18
830306.0,Yi Xiangzhai Spicy Cake Gift Box 200g,2,18
757706.0,Premium Cucumbers (C),2,18
918620.0,A-grade Mushroom,0,18
641813.0,Sichuan-style Chicken Gizzard Slices (C),0,18
652309.0,Premium Single Garlic Bulb,1,17
904224.0,Xiangjia Fresh Chicken Wings (C),0,17
900899.0,Xiangjia Duck Intestine (C),1,17
816851.0,Seasoned Grass Carp Stomach (C),1,17
669591.0,Wheat (C),2,17
320149.0,Big Taro,2,17
70497.0,Pumpkin,4,17
648180.0,Sweet Potato Noodle (C),1,17
40783.0,Soy Sauce Toast,3,17
772024.0,Chinese Eel (C),0,17
772051.0,Bulk Hot Pot Balls (C),0,16
911790.0,Guangyikang Meat Balls (C),0,16
69460.0,Shen Dan Niao Wang Xie Huang Xian Ya Dan 6 Mei,1,16
195493.0,Premium Noodles Flower,0,16
731450.0,Water-milled Tangyuan Flour 500g (C),2,16
872232.0,Tianshan Honey Jujube,1,16
830281.0,Yixiangzhai Packaged Caramel 250g,2,16
645759.0,Lily 50g (C),2,16
706776.0,White Sugar 250g (C),4,16
487681.0,Italian Pizza,4,16
70475.0,Celery,3,16
130169.0,Horned Leaf,1,15
495563.0,Twist (C),1,15
679817.0,Shatian Pomelo (0.75-1kg) (C),2,15
648211.0,Bulk Longkou Flour (C),1,15
679845.0,Yellow Mango (C),1,15
81974.0,Leek Yellow,1,15
132619.0,Cumin (C),0,15
878754.0,Millet Tofu (C),4,15
656451.0,Shrimp Chips (C),1,15
125734.0,Cai Xin,1,14
210986.0,Sunflower Pancake,0,14
830307.0,Yixiangzhuangosmanthus sugar gift box 200g,1,14
634298.0,Silver carp (C),1,14
830309.0,Yixiangzhai Cunjin Candy Gift Box 200g,1,14
885395.0,Star Anise 50g (C),2,14
164539.0,Sesame Strips,2,14
706818.0,Imperial Beauty Jujube 200g (C),2,14
885388.0,Three Fragrance Chili Powder 100g (C),2,14
830295.0,Yixiangzhai Packaged Black and White Jiao Qie 500,1,14
914282.0,Premium Country-Style Eggs (Boxed),1,14
639287.0,Peanut brittle (C),1,14
878772.0,Halal Tripe (C),1,14
899317.0,Jiu Xiang Ju Black Sesame Oil 165ml (C),1,14
650043.0,Farm Fresh Country Eggs 12-piece pack,1,14
125782.0,Scallion,3,14
278480.0,Tangren Shen Dazhong Yueji Sausage,0,14
638269.0,Premium Carrot (C),2,13
