Product ID,Commodity Name,Store Order Price,Shidacheng Acceptance Quantity,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
122587.0,Red Eggplant,5.141,0.0,,,Premium Four-Season Beans,"四季豆 translates to ""green beans"" in English.",7.24
125733.0,Bok Choy,4.894,33.0,,,Premium Luffa,Luffa,0.0
272001.0,Premium Cucumber,4.846,97.0,,,Premium Ginger,Ginger,3.0
125763.0,Potato,4.845,0.0,,,Premium green onion,Leek,5.0
70499.0,Lotus root,4.692,60.0,,,Premium lettuce,Lettuce,2.4
652307.0,Premium peeled taro,4.692,5.0,,,Premium Shanghai Green,Bok Choy,4.89
125745.0,Cabbage,4.499,0.0,,,Premium Japanese Green Cucumber,Japanese Green Cucumber,0.0
70473.0,corn,4.495,35.0,,,Premium peeled taro,Peel Taro,0.0
125760.0,Onion,4.488,0.0,,,Premium Green Pointed Chili,Green pointed chili pepper,7.34
125775.0,Tomato,4.477,73.0,,,Premium Cucumber,Cucumber,3.94
70467.0,Chinese yam,4.37,41.0,,,Premium Seven-Color Pepper,Premium Seven-Color Pepper,0.0
70507.0,Cucumber,3.94,0.0,,,Premium Burdock Root,burdock root,7.8
122630.0,Cucumbers,3.209,65.0,,,Premium Pumpkin,Pumpkin,2.03
146301.0,Green Pumpkin,3.147,104.0,,,Premium Lotus Root,Lotus root,4.69
81969.0,Red Radish,3.142,97.0,,,Premium Bitter Melon,Bitter Melon,6.3
122588.0,Long Chinese Cabbage,3.109,30.0,,,Premium Leek Seedling,Leek Yellow,12.44
70556.0,sweet potato,2.977,0.0,,,Premium Noodles Flower,Chive Flower,12.44
125731.0,Chinese cabbage,2.367,0.0,,,Premium Leek Flower,Leek Flower,4.71
125784.0,Celtuce,2.061,9.0,,,Premium Jing Bao Cabbage,Red Cabbage,1.8
11013.0,Mung Bean Sprouts,1.868,8.0,,,Premium Huai Mountain Yam,Chinese yam,4.37
125782.0,Scallion,1.867,8.0,,,Premium Peanut Seedlings,peanut sprout,0.0
149566.0,Mung Bean Sprouts,1.815,16.0,,,Premium Cauliflower,Cauliflower,3.86
125756.0,Winter Melon,1.715,0.0,,,Premium Sweet Potato,sweet potato,2.98
125773.0,Radish,1.438,61.0,,,Premium Red Eggplant,Red Eggplant,5.14
125742.0,Big苞菜 (Big Headed Cabbage),0.864,23.0,,,Premium Carrot,Red Radish,3.14
70475.0,Celery,0.204,6.0,,,Premium Red Chili Pepper,Red chili pepper,6.75
125732.0,Bok Choy,3.0,11.4,,,Premium Eggplant,Eggplant,6.4
122633.0,Chinese cabbage heart,3.6,35.4,,,Premium Dutch Bean,Snow pea,12.44
130775.0,Winter Cold Vegetable,4.0,5.2,,,Premium Baby Bok Choy,High Mountain Baby Cabbage,0.0
125751.0,Celery,2.4,66.6,,,Premium Single Garlic Bulb,Garlic Bulb,19.0
125736.0,Lettuce,2.4,20.3,,,Premium Winter Melon,Winter Melon,1.72
125749.0,Cilantro,5.6,2.3,,,Premium Red Chili Pepper,Big Red Pepper,8.12
,,,,,,Premium Scallion,Scallion,1.87
,,,,,,Premium Large Headed Cabbage,Big苞菜 (Big Headed Cabbage),0.86
,,,,,,Premium Cabbage,Chinese cabbage,2.37
,,,,,,Premium Long Green Beans,Long Bean,7.3
,,,,,,Premium Long Chinese Cabbage,Long Chinese Cabbage,3.11
,,,,,,Premium Tea Tree Mushroom,Tea Tree Mushroom,0.0
,,,,,,Premium Vegetable Core,Cai Xin,8.36
,,,,,,Premium Spinach,Spinach,4.4
,,,,,,Premium Radish,Radish,1.44
