Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Disability,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Income Ceiling,Other Criteria,Benefits Continue for Surviving Spouses,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 19,Unnamed: 20,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 23,Unnamed: 24
IL,Disabled Persons’ Homestead Exemption,6000,$ Exemption,,,,,,X,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,,,,IL110,IL111,,Applicant must be unable to engage in any substantial gainful activity due to physical or mental impairment which can be expected to result in death or to last for at least 12 months continuously.
IN,Deduction for Blind or Disabled Person,12480,$ Exemption,,,X,,,X,17000,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN105,IN104,,"Applicant are eligible if they are unable to engage in any substantial gainful activity due to physical or mental impairment which can be expected to result in death or to last for at least 12 months continuously, or they receive disability benefits under Social Security. "
MA,Blind Persons' Credit or Exemption (Clause 37s),437.5,$ Credit,,,X,,,,,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,,MA106,,"Benefit is greater of $437.50 credit or $5,000 exemption. Localities may opt to increase credit to $500.",Application deadline is later of April 1 or 3 months after tax bill is mailed.
MD,Exemption for Blind Individuals,15000,$ Exemption,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,,,,,,MD106,MD105,,
ME,Blind Exemption,4000,$ Exemption,,,X,,,,,,,,Shared,Prop Tax Exempt.,By Apr 1,Annual,,,,ME104,,,
MI,Credit for Blind People,7000,$ Exemption,,,X,,,,50000,X,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(e),M1103(a-d),"The max credit is $1,500. Claim may be made within 4 years of due date. ","Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MN,Special Classification for the Blind or Disabled,,Other,X,,X,,,,,X,,,Local,Prop Tax Exempt.,By Oct 1,Annual,,,,MN108,,"The benefit exempts 55% of the first $50,000 of assessed value.",Disability must be total and permanent and the applicant must be receiving disability payments from a public agency. Benefits extend to surviving spouses of disabled veterans. 
MS,Homestead Exemption for the Disabled,75000,$ Exemption,X,,,,,,,,Yes,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,MS102(b),MS102(a),Recipients of this benefit are also exempted from the forest acreage tax.,
NC,Homestead Exclusion for Disabled Citizens,0.5,% Exemption,X,,,,,,30200,,,,Local,Prop Tax Exempt.,By Jun 1,One time,,,,NC101(b),All other property tax relief,"Beneficiaries can take a $29,500 exemption from assessed value instead of the 50% exemption if it would result in greater tax savings (Applies if value < $59,000). Up to one acre of land is eligible for exemption.","Claimants continue to receive benefit if residence unoccupied for medical reasons, including nursing home care."
ND,Property Tax Exemption for Disabled Residents ,100000,$ Exemption,X,,,,X,X,,X,Yes,,Local,Prop Tax Exempt.,By Feb 1,One time,,,,ND103(a),"ND103(b,c)",,Applicants must be totally disabled and permanently confined to a wheelchair.
ND,Exemption for Disabled Residents (Low-Income),160000,$ Exemption,,,,,X,,42000,,Yes,,Local,Prop Tax Exempt.,By Feb 1,One time,,,,ND103(c) ,"ND103(a,b)",,Applicant must be a paraplegic disabled person whose income is less than the income ceiling for claiming the circuit breaker program Homestead Credit (ND101). 
ND,Property Tax Exemption for the Blind,160000,$ Exemption,,,X,,,,,,,,Local,Prop Tax Exempt.,By Feb 1,Annual,,,,ND106,,"
",
NJ,Annual Property Tax Deduction for Disabled Persons,250,$ Credit,X,,,,,,10000,,Yes,,Local,Prop Tax Credit,Oct 1 - Dec 31,Annual,,,,NJ103(b),NJ103(a),"After initial application year, required annual form is due by Mar 1.",
NJ,Property Tax Reimbursement (Disabled),,Other,,,,,,X,70000,X,,,State,Rebate Check,By Oct 31,Annual,,,,NJ104(b),NJ104(a),Credit equals the difference between property tax paid in the base year (i.e. first year eligible) and the amount paid in the current year.,"For 2018 benefit, 2017 income is subject to income limit of $70,000 and 2016 income may not exceed $87,000.  Applicant must be receiving Federal Social Security disability benefits, have owned homestead for past three years, and lived in the state since 2006. "
NV,Property Tax Exemption for Blind Persons,11571.4285714286,$ Exemption,,,X,,,,,X,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV101,,,Applicant must have resided in the state for at least 6 months. Only the first application requires an affidavit and certification from a licensed physican.
OH,Disabled Property Tax Homestead Exemption,25000,$ Exemption,X,,,,,,32200,,Yes,,State,Prop Tax Exempt.,Calendar Year,One time,,,,OH101(b),OH101(a),,Only individuals who became disabled after 2012 are subject to the income limit.
RI,Visually Impaired Exemption Program,6000,$ Exemption,,,X,,,,,,,,Local,Prop Tax Exempt.,Local Option,One time,,Inc.,,RI109,,,
SC,Homestead Exemption for Paraplegic Persons,1,% Exemption,,,,,,X,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,SC101,,Up to one acre of land is eligible.,"Paraplegic or hemiplegic is defined as a person who has paralysis of one lateral half of the body resulting from injury to the motor centers of the brain. Those with Parkinson's Disease, Multiple Sclerosis, or Amyotrophic Lateral Sclerosis (ALS) who have the same ambulatory difficulties as a person with paraparesis or hemiparesis are included."
SC,Homestead Exemption for Blind or Disabled Persons,50000,$ Exemption,X,,X,,,,,,Yes,,State,Prop Tax Exempt.,Unspecified,One time,,,,SC103(b),SC103(a),,
TN,Property Tax Relief for the Disabled,27600,$ Exemption,X,,,,,,29270,,,,State,Rebate Check,Other,Annual,,Inc.,,TN101(b),TN101(a),Claim must be submitted at least 35 days before taxes become delinquent.,
TX,"Homestead Exemption (School taxes, Disabled)",35000,$ Exemption,,,,,,X,,,,School,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX101(c),"TX101(a,b)",,"Applicants must be either 1) unable to engage in gainful work because of physical or mental disability, 55 years old and blind and unable to engage in previous work due to blindness, or 3) receive Social Security disability benefits."
UT,Blind Exemption,20909.0909090909,$ Exemption,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,By Sep 1,Annual,,,,UT104,,,Surviving minor orphans are eligible if their parent was blind and previously received this benefit.
WV,Disabled Homestead Property Tax Exemption,33333.3333333333,$ Exemption,X,,,,,,,X,,,Local,Prop Tax Exempt.,July 1 - Oct 1,One time,,,,WV101(b),WV101(a),,Applicant must have resided in state for at least two years. 
,,,,,,,,,,,,,,,,,,,,,,,,
,Local Option Programs,,,,,,,,,,,,,,,,,,,,,,,
CT,Local Option Tax Relief for Disabled,,Local Option,X,,,,,,Local Option,,,,State,Local Option,Feb 1 - May 16,2 Years,Yes,Both,Both,CT112(b),,"Relief under this program cannot exceed 10% of property value. If the total amount of tax relief provided by this program and other tax relief programs exceeds 75% of the taxes that would be owed without relief, then towns are required to put a lien on the property for the amount of tax relief exceeding 75%.",Municipalities can set their own eligibility criteria and income requirements.
HI,Homestead Exemption for Disabled People,,Local Option,X,,X,,,X,,Local Option,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI109,,"In Honolulu City and County and and Maui County, the exemption is $25,000. In Kaua'I County and Hawaii County, the exemption is $50,000. ",Eligibilty requirements may vary slightly from county to county.
NH,Exemption for Deaf Persons,15000,$ Exemption,,,,,,X,20400,X,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,Yes,Inc.,Inc.,NH101,,The value of property improvements to assist deaf or severly hearing impaired inhabitants can also be deducted from total assessed value of the property each year.,"Applicant must be deaf and have resided in the state for at least five consecutive years. Local government sets asset limit, which must be at least $35,000 and exclude home value. Income ceiling is $13,400 for individuals not married. Property can be owned by the deaf resident's spouse."
NH,Local Option Exemption for Disabled Persons,,Local Option,,,,,,X,20400,X,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,Yes,Both,Inc.,NH102,NH103,,"Applicant must have resided in the state for at least five years . Local government sets asset limit, which must be at least $35,000 and exclude home value. Income ceiling is $13,400 for individuals not married."
NH,Exemption for the Blind with Local Option,15000,$ Exemption,,,X,,,,,,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,Yes,Inc.,Inc.,NH106,,,
NY,Local Option Exemption for Person with Disabilities,0.5,% Exemption,,,,,,X,Local Option,,,,Local,Prop Tax Exempt.,By Mar 1,Annual,Yes,Inc.,Inc.,NY103,,Some localities may set a different application deadline.,"Localities may set income ceiling between $3,000 and $29,000. Localities using a $29,000 income ceiling may offer exemptions of less than 50% to applicants with incomes over $29,000 but under $37,400 using the ""sliding scale option."""
VA,Local Option Exemption for Disabled,,Local Option,X,,,,,,,,,,Local,Other,Local Option,Local option,Yes,Both,Both,VA101(b),,,No more than 10 acres of land eligible.
,,,,,,,,,,,,,,,,,,,,,,,,
,Legend,,,T: Total Disability,,,,,,Local Option: Local governments set criteria.,,,Excl: Excludes,,,,,Adpt: Program Adoption,,,,,,
,,,,P: Partial Disability,,,,,,,,,Blank: All taxes or unspecified,,,,,Ben: Benefit Levels,,,,,,
,,,,Bl: Blind,,,,,,,,,,,,,,Elig: Eligibility Criteria,,,,,,
,,,,LL: Loss of Limbs,,,,,,,,,,,,,,Inc: Can increase benefits or expand eligibility,,,,,,
,,,,Par: Paralysis,,,,,,,,,,,,,,Dec: Can decrease benefits or reduce eligibility,,,,,,
,,,,O: Other,,,,,,,,,,,,,,Both: Can increase or decrease benefits and eligibility,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Suggested Citation,,,,,,,,,,,,,,,,,,,,,,,
,Lincoln Institute of Land Policy. 2019. Significant Features of the Property Tax. Residential Property Tax Relief Programs: Summary Table on Exemptions and Credits in 2018.,,,,,,,,,,,,,,,,,,,,,,,
,https://www.lincolninst.edu/research-data/data-toolkits/significant-features-property-tax/topics/residential-property-tax-relief-programs,,,,,,,,,,,,,,,,,,,,,,,
