Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 10,Unnamed: 11,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 14,Unnamed: 15
LA,Homestead Exemption,75000,$ Exemption,Excl. municipal taxes,Shared,Prop Tax Exempt.,One time,One time,,,,LA101,,"Exemption includes general city taxes in Orleans Parish, and includes municipal taxes levied for school purposes elsewhere.",Mobile homes are eligible if used as a residence.
ME,Maine Resident Homestead Property Tax Exemption,20000,$ Exemption,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME105,,"$20,000 exemption subject to reduction in case of local assessment ratio greater than 100%.",Applicant must be permanent state resident who has owned homestead for the past year. 
MI,Principal Residence Exempt. for Local School Levy,,Other,School,Local,Prop Tax Exempt.,By Jun 1,One time,,,,MI104,,This program exempts up to 18 mills for school operating purposes.,Applications may be submitted after June 1 but before November 1 for a partial benefit.
MN,Homestead Market Value Exclusion,,Other,,Local,Prop Tax Exempt.,By Jan 2,One time,,,,MN107,,"The exclusion is 40% of the first $76,000 of market value, reduced by 9% of the value over $76,000, and phases out completely at $413,800 market value.",Farmstead property is eligible.
MS,Homestead Exempt. for Taxpayers Under 65 Years Old,,Other,,Shared,Prop Tax Credit,Jan 1 - Apr 1,Annual,,,,MS103,,"Tax credit is based on assessed value, with 50 brackets in $150 increments: $6 (Assessed value < $150) to $300 (Value > $7,350).",
NM,Head-of-Family Exemption,6000,$ Exemption,Excl. spec. assess.,Local,Prop Tax Exempt.,30 days after notice,One time,,,,NM102,,Applications are accepted from Jan. 1 to 30 days after the assessors mails the notice of value.,Only residential property owned by head of family or held in grantor trust by head of family is eligible. 
NY,STAR Exemption (Basic),30000,$ Exemption,School,State,Prop Tax Exempt.,,One time,,,,NY104(a),NY104(b),"The exemption amount on which the benefit is based is adjusted based on local housing prices, and is lower in the five largest cities (where it is applied to both general city taxes and school taxes). Savings from STAR cannot increase more than 2% per year. Residents of NYC are not eligible. The STAR exemption is now disbursed to new applicants as a rebate check (Starting in 2016), but homeowners who applied in prior years continue to receive STAR as a property tax exemption.",
NY,Property Tax Relief Credit,,Other,,State,Rebate Check,,,,,,NY114,,"This credit equals a percentage of a taxpayer's STAR exemption (NY104a), with the percentage depending on the homeowner's 2016 income: Income $75,000 or less (Credit = 60% of Basic STAR savings), Income $75,000 to $150,000 (42.5%), Income $150,000 to $200,000 (25%), Income $200,000 to $275,000 (Credit = 7.5% of Basic STAR Savings). For homeowner's that receive Enhanced STAR (NY104b), this credit equals 26% of their Enhanced STAR savings. This credit is disbursed automatically to qualifying taxpayers receiving STAR benefits. ",New York City property is ineligible. Credit unavailable in communities that have exceeded tax levy limit. 
OH,Two and Half Percent Rollback,0.025,% Credit,,State,Prop Tax Credit,By Jun 5,One time,,,,OH102,,,Applicants must be homeowners and occupy the residence. 
OH,Ten Percent Rollback,0.1,% Credit,,State,Prop Tax Credit,By Jun 5,One time,,,,OH103,,,
OK,Homestead Exemption,8000,$ Exemption,,Local,Prop Tax Exempt.,By Mar 15,One time,,,,OK103,,,Applicant must own and live in the home. Homeowners who have delinquent personal property taxes are not eligible. 
SC,School Property Tax Exemption for All Homeowners,1,% Exemption,School,State,Prop Tax Exempt.,,,,,,SC104,,The benefit is an exemption from school taxes for operating costs and does not include taxes levied to retire general debt.,Benefit applies to residential property and privately owned agricultural property. No application is required.
TX,"Homestead Exemption (School taxes, General exempt.)",25000,$ Exemption,School,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX101(a),"TX101(b,c)",,
TX,Homestead Exemption (County special taxes),3000,$ Exemption,Other,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,Inc.,,TX101(d),,Exemption is for county special taxes for farm-to-market roads or flood control. Localities may increase the exemption for the elderly or disabled.,
UT,Primary Residential Property Exemption,0.45,% Exemption,,Local,Prop Tax Exempt.,Local Option,Local option,,,,UT101,,,
WI,School Property Tax Credit for Renters/Homeowners,0.12,% Credit,,State,Income Tax Credit,On inc. tax return,Annual,,,,WI103,,The max credit is $300 (married filers) or $150 (single filers).,
WI,Homeowner Property Tax Relief (Lottery Credit),17000,$ Exemption,School,State,Prop Tax Credit,Jan 1 - Jan 31,Annual,,,,WI104,,,
WI,First Dollar Credit,6800,$ Exemption,School,State,Prop Tax Credit,,,,,,WI105,,,
WI,School Levy Tax Credit,,Other,School,State,Prop Tax Credit,,,,,,WI106,,The exemption varies by municipality. Each municipality's credit is calculated by multiplying the ratio of municipal school levies to statewide school levies by total state funding. The credit for individual properties is based on assessed value as a percent of total municipal assessed value. ,
,Local Option Programs,,,,,,,,,,,,,,
AK,Local Option Exemption for Special Assessments,,Local Option,Special assessment,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,AK106,,"Max benefit $20,000 per residence",
GA,Local Option Homestead Exemption,,Local Option,,Local,Prop Tax Exempt.,Jan 1 - Apr 2,One time,Yes,Both,Both,GA109,,"Counties may enact local homestead exemptions and/or valuation freezes. Exemption may apply to county, school, and/or municipal taxes.",Local governments may set eligibility criteria based on age and income.
HI,Basic Home Exemption,,Local Option,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI101,HI102,"Hawaii County exemption is $40,000. Kauai County exemption is $160,000. City and County of Honolulu exemption is $80,000. Maui exemption is $200,000. ",
MA,Local Option Exemption for Residential Properties,,Local Option,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,,MA111,,"The amount of the exemption may not exceed 35% of the average residential assessed value in the municipality, except by special legislation. Localities may select an exemption that is not income sensitive and is automatically applied before tax bills are sent out. Localities adopting low and moderate income exemption options require annual application.",
PA,School District Exemption for Homestead Property,,Local Option,School,Shared,Prop Tax Exempt.,By Mar 1,Annual,Yes,Both,,PA101,,Value of exemption must be less than 50% of the median assessed value of homestead property in the locality and must be applied uniformly to all homesteads.,Residents of Philadelphia are ineligible but qualify for a wage tax reduction and a city-specific homestead exemption.
PA,County or City Homestead Exemption (Act 50),,Local Option,County & municipal,Local,Prop Tax Exempt.,By Mar 1,One time,Yes,Both,,PA103,,Value of exemption must be less than 50% of the median assessed value of homestead property in the locality.,
TX,Homestead Exemption (Local options),,Local Option,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,Yes,Both,Both,TX101(e),,"Localities may exempt up to 20% of a property's appraised value, with a minimum exemption of $5,000.",
,,,,,,,,,,,,,,,
,Legend,,,Excl: Excludes,,,,,Adpt: Program Adoption,,,,,,
,,,,Blank: All taxes or unspecified,,,,,Ben: Benefit Levels,,,,,,
,,,,,,,,,Elig: Eligibility Criteria,,,,,,
,,,,,,,,,Inc: Can increase benefits or expand eligibility,,,,,,
,,,,,,,,,Dec: Can decrease benefits or reduce eligibility,,,,,,
,,,,,,,,,Both: Can increase or decrease benefits and eligibility,,,,,,
,,,,,,,,,,,,,,,
,Suggested Citation,,,,,,,,,,,,,,
,Lincoln Institute of Land Policy. 2019. Significant Features of the Property Tax. Residential Property Tax Relief Programs: Summary Table on Exemptions and Credits in 2018.,,,,,,,,,,,,,,
,https://www.lincolninst.edu/research-data/data-toolkits/significant-features-property-tax/topics/residential-property-tax-relief-programs,,,,,,,,,,,,,,
