Unnamed: 0,Click column heading for variable definition,Unnamed: 2,Exemption/Credit,Unnamed: 4,Age,Income Ceiling,Veteran Status,Other Criteria,Disability,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 23,Unnamed: 24,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 27,Unnamed: 28
AL,"Home Exemption (High Income Seniors, Local taxes)",Seniors,20000,$ Exemption,65,,,,,,,,,,,,County,Local,Prop Tax Exempt.,By Dec. 31,Annual,,Inc.,,AL402(c),"AL402(a,d,e)","Exemption of up to $2,000 assessed value ($20,000 market value) applies to county taxes only. Local governments may opt to exempt $4,000 from assessed value ($40,000 market value). Up to 160 acres of residential property eligible. ",
AL,"Homestead Exemption (Blind, State taxes)",Disabled,1,% Exemption,,,,,,,X,,,,,,State,State,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(d),AL402(a-c),Up to 160 acres of residential property eligible,
AL,"Homestead Exemption (Blind, Local taxes)",Disabled,50000,$ Exemption,,,,,,,X,,,,,,"County, School",Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(e),AL402(a-c),Up to 160 acres of residential property eligible.,
AR,Homestead Tax Credit (Amendment 79),General,350,$ Credit,,,,,,,,,,,,,,State,Prop Tax Credit,By Oct 15,One time,,,,AR101,AR102,,
AR,Homestead Property Tax Exemption for Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,X,X,X,,Yes,,,Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AR102,AR101,,
AZ,Disabled Exemption,Disabled,38940,$ Exemption,,32447,,X,X,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,AZ101(a),AZ101(b),,"The property's assessed value cannot exceed $26,458, market value ≈ $264,580. Income ceiling is $38,926 if children are present."
AZ,Widow and Widower Exemption,Other,38940,$ Exemption,,32447,,X,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,AZ101(b),AZ101(a),,"Applicant must be a widow or widower. The property's assessed value cannot exceed $26,458, market value ≈ $264,580. Income ceiling is $38,926 if children are present."
AZ,Elderly Assistance Fund: School Tax Reduction,Seniors,,Other,65,45000,,X,,,,,,,,,School,Local,Prop Tax Credit,By Sep 1,3 years,,,,AZ102,,"Benefit extends to homestead and up to 10 acres of land. Amount of benefit is based on the balance in the Elderly Assistance Fund; each year it is disbursed proportionately among all eligible property owners. Applicants must be enrolled in the Senior Valuation Protection Program (AZ 107). Income limit is $35,000 for a single individual.",This program is only available in Maricopa County. Claimant must have occupied property as primary residence for two years. Applicants must live in an organized school district and be eligible for the property assessment freeze (AZ 107). 
AZ,Homeowner Rebate for School Primary Levy,General,0.4719,% Credit,,,,,,,,,,,,,School,Shared,Prop Tax Credit,,,,,,AZ108,,The max credit is $600. State reimbursement to a county is capped at $1 million.,
CA,Homeowners' Exemption,General,7000,$ Exemption,,,,,,,,,,,,,,State,Prop Tax Exempt.,By Feb 15,One time,,,,CA103,,,Owner must own as of Jan. 1 of prior year. 
CA,Disabled Veteran's Exemption (Basic),Veterans,134706,$ Exemption,,,Disabled Vet,,X,,X,X,,,Yes,,,Shared,Prop Tax Exempt.,By Jan 1,One time,,,,CA104(a),"CA103, CA104(b), CA105",,
CA,Disabled Veteran's Exemption (Low income),Veterans,202060,$ Exemption,,60490,Disabled Vet,,X,,X,X,,,Yes,,,Shared,Prop Tax Exempt.,By Jan 1,Annual,,,,CA104(b),"CA103, CA104(a) CA105",,
CA,Veterans' Exemption,Veterans,4000,$ Exemption,,,All,X,,,,,,,Yes,,,State,Prop Tax Exempt.,By Jan 1,Obsolete,,,,CA105,"CA103, CA104",,"Assets including property cannot exceed $5,000 if single or $10,000 if married, so veterans who own a home are unlikely to qualify."
CO,Senior Property Tax Exemption,Seniors,0.5,% Exemption,65,,,X,,,,,,,Yes,,,State,Prop Tax Exempt.,By Jul 15,One time,,,,CO103,,"The 50% exemption is only applied to the first $200,000 of actual value.",Applicant must have owned homestead for the past ten years.
CO,Disabled Veteran Exemption,Veterans,0.5,% Exemption,,,Disabled Vet,X,X,,,,,,Yes,,,State,Prop Tax Exempt.,By Jul 1,One time,,,,CO105,,"The 50% exemption is only applied to the first $200,000 of actual value.",Applicant must have owned homestead for the past 10 years.
CT,Exemption for the Disabled with Local Option,Disabled,1428.57142857143,$ Exemption,,,,,X,,,,,,,,,State,Prop Tax Exempt.,By Oct 1,2 Years,,Inc.,,CT101,,"Localities have the option to exempt an additional $1,000 of assessed value ($1,429 market value), with the additional exemption only available to those whose income does not exceed $24,000 if married or $21,000 if single.",
CT,Exemption for Veterans w/Local Option (Basic),Veterans,2142.85714285714,$ Exemption,,,Warzone,,,,,,,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,,CT104(a),"CT105, CT106, CT104(b)",,Veterans who served for at least 90 days in war are eligible; those who retire after 30 years of service are also eligible. World War II veterans with certain Merchant Marine Service and military service with allied armies also qualify.
CT,Exemption for Veterans w/Local Option (Low income),Veterans,4285.71428571429,$ Exemption,,43900,Warzone,,,,,,,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,Inc.,CT104(b),"CT105, CT106, CT104(a)","Localities may offer optional additional exemption of up to $20,000 assessed value or 10% of assessed value and may increase income limits up to $25,000 higher than the state limit. Surviving spouses of service members who died as a result of their service while on active duty receive this exemption regardless of their income.","Veterans and active duty are eligible who served for at least 90 days in war; those who retire after 30 years of service are also eligible. World War II veterans with certain Merchant Marine Service and military service with allied armies also qualify. Income limit for unmarried veterans is $36,000. "
CT,Exemption for Disabled Veterans (Basic),Veterans,,Tied to Disability,,,Disabled Vet,,,0.1,,,,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,,CT105(a),"CT104, CT106, CT105(b,c)","Four exemption levels based on disability rating from VA: 10-25% ($2,250 exemption), 26-50% ($3,000), 51-75% ($3,750), 76%+ ($4,500). Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $3,214-$6,429. Exemption amounts include standard exemption (tax loss borne by local gov't, which is $1,500-$3,000) + additional 50% exemption (state reimbursement, which adds $750-$1,500).",
CT,Exemption for Disabled Veterans (Low income),Veterans,,Tied to Disability,,24000,Disabled Vet,,,0.1,,,,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,Inc.,CT105(b),"CT104, CT106, CT105(a,c,d)","Four exemption levels based on disability rating from VA: 10-25% ($4,500 exemption), 26-50% ($6,000), 51-75% ($7,500), 76%+ ($9,000). Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $6,429-$12,857. Exemption amounts include standard exemption (tax loss borne by local gov't, which is $1,500-$3,000) + additional 200% exemption (state reimbursement, which adds $3,000-$6,000).","Income ceiling is $21,000 for unmarried veterans. Localities may increase income limit to $25,000 higher than the state income limit. "
CT,Exemption for Disabled Vets (High Income Seniors),Veterans,6428.57142857143,$ Exemption,65,,Disabled Vet,,,0.1,,,,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,,CT105(c),"CT104, CT106, CT105(a,b,d)",,
CT,Exemption for Disabled Vets (Low Income Seniors),Veterans,12857.1428571429,$ Exemption,65,24000,Disabled Vet,,,0.1,,,,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,Inc.,CT105(d),"CT104, CT106, CT105(a,b,c)",,"Income ceiling is $21,000 for unmarried veterans. Localities may increase income limit up to $25,000 over state limit."
CT,Exemption for Severely Disabled Vets (Basic),Veterans,,Tied to Disability,,,Disabled Vet,,,,X,X,X,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,Inc.,CT106(a),"CT104, CT105, CT106(b)","Exemption is $15,000 for vets with loss of both legs, paralysis of one arm and one leg, blindness, or amputations of both legs/arms/hands/feet. Exemption is $7,500 for vets with loss of one arm or leg. Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $10,714-$21,429. Exemption amounts include standard exemption (tax loss borne by local gov't) + additional 50% exemption (state reimbursement).",
CT,Exemption for Severely Disabled Vets (Low income),Veterans,,Tied to Disability,,24000,Disabled Vet,,,,X,X,X,,Yes,,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,Inc.,CT106(b),"CT104, CT105, CT106(a)","Exemption is $30,000 market value for vets with loss of both legs, paralysis of one arm and one leg, blindness, or amputations of both legs/arms/hands/feet. Exemption is $15,000 for vets with loss of one arm or leg. Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $21,429-$42,857. Exemption amounts include standard exemption (tax loss borne by local gov't) + additional 200% exemption (state reimbursement). Localities have option to double or triple the additional exemption for 100% disabled applicants under income limit. Localities may increase income limit to $25,000 higher than state income limit. An optional exemption may exempt up to $10,000 or 10% of assessed value.","Income ceiling applies only to additional exemption (see note on benefit) and is $21,000 for unmarried veterans."
CT,Exemption for the Blind with Local Option,Disabled,4285.71428571429,$ Exemption,,,,,,,X,,,,,,,Local,Prop Tax Exempt.,By Jan 31,One time,,Inc.,,CT109,,"Municipalities may provide an additional exemption from assessed value of up to $2,000. Only married households with income under $16,000, or unmarried individuals with incomes under $14,000, qualify for this additional local exemption.
Municipalities may, with the approval of their legislative body, provide an additional exemption from assessed value of up to $2,000. Only married households with income under $16,000, or unmarried individuals with incomes under $14,000, qualify for this additional local exemption.",
DC,Homestead Deduction,General,73350,$ Exemption,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Oct 1 - Mar 31,One time,,,,DC102,,,Benefit applies to a single homestead lot with no more than 5 dwelling units.
DC,Lower Income Home Ownership Tax Abatement,Other,1,% Credit,,74400,,X,,,,,,,,,,Local,Prop Tax Credit,By Sep 30,5 Years,,,,DC103,,This is a five year abatement. ,"Purchase price of property cannot exceed $464,000. Income ceiling depends on household size: 1 person ($65,100), 2 ($74,400), 3 ($83,700), 4 ($92,940), 5 ($100,380), 6 ($107,820), 7 ($115,260), 8 ($122,700). Income ceilings are equal to 120% of the lower income guidelines for low-income housing assistance in the Washington MSA for 2018 (Source: DC Office of Tax and Revenue). Fair market value of the unit or residential property may not exceed 80% of the median sale price for homes within the District of Columbia in the prior year."
DC,DC Gov't Employees First Time Home Buyers Program,Other,,Other,,,,X,,,,,,,,,,Local,Prop Tax Credit,,One time,,,,DC104,,"Tax credit phases out over 5 years: 80% (Year 1), 60% (Year 2), 40% (Year 3), and 20% (Years 4-5). This tax credit is not available for homes acquired after March 30, 2015, and will be completely phased out by 2020.",Applicant must be a DC public employee or public charter school teacher and first-time homebuyer in DC.
DC,Senior Citizen Property Owner Tax Relief,Seniors,0.5,% Credit,65,133100,,,,,,,,,,,,Local,Prop Tax Credit,Oct 1 - Mar 31,One time,,,,DC106(a),DC106(b),"If a properly completed and approved application is filed from April 1 to September 30, the property will receive one-half (50%) of the deduction reflected on the second installment (and full deductions for all tax years in the future).",
DC,Disabled Property Owner Tax Relief,Disabled,0.5,% Credit,,133100,,,X,,,,,,,,,Local,Prop Tax Credit,Oct 1 - Mar 31,One time,,,,DC106(b),DC106(a),"If a properly completed and approved application is filed from April 1 to September 30, the property will receive one-half (50%) of the deduction reflected on the second installment (and full deductions for all tax years in the future).",
DC,Lower Income Long-Term Homeowner Credit,Other,,Other,,82040,,X,,,,,,,,,,Local,Income Tax Credit,By Dec 31,Annual,,,,DC110,,Credit is equal to the amount by which current tax liability exceeds 105% of previous year tax liability.,"Must have occupied property as primary residence for 7 consecutive years. Must also receive homestead deduction. Taxpayers receiving this credit cannot also claim the Targeted Housing Historic Credit. Income limit for a single household is $41,020"
FL,Exemption for Deployed Active Duty Military,Other,,Other,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,Annual,,,,FL006,,Exemption equals percentage of year the service member was deployed in military operations outside the 50 states.,Program is for military personnel deployed outside U.S. on active duty in prior year.
FL,Exemption for Totally Disabled (w/Income ceiling),Disabled,1,% Exemption,,28713,,,,,X,,X,X,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL101,,,Applicant must be paraplegic or other totally disabled person who uses a wheelchair for mobility or who is legally blind.
FL,Exemption for Disabled Ex-Service Members,Veterans,5000,$ Exemption,,,Disabled Vet,,,0.1,,,,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL102,,,
FL,Service Connected Total Disability Exemption,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,X,Yes,,,Local,Prop Tax Exempt.,By Mar 1,One time,,,,FL103(a),,,Applicant must have received specially adapted housing assistance and use a wheelchair.
FL,First Responders Total Disability Exemption,Other,1,% Exemption,,,,X,X,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,,,FL103(b),,,Applicant must have received specially adapted housing assistance and use a wheelchair. First responder eligible if impairment caused in the line of duty.
FL,Homestead Exemption (All taxes),General,25000,$ Exemption,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL104(a),,,
FL,Homestead Exemption (Excludes school taxes),General,25000,$ Exemption,,,,,,,,,,,,,Excl. school taxes,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL104(b),,"This exemption is only applied to assessed value greater than $50,000. Thus, assessed value must be $75,000+ to get the full exemption. Under the homestead exemption (FL104), the first $25,000 is exempt from all taxes (FL104a), and there is an additional $25,000 exemption on values above $50,000 for all taxes except school taxes (FL104b).",
FL,Exemption for Widows and Widowers,Other,500,$ Exemption,,,,X,,,,,,,,,,State,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL106(a),FL106(b),,Applicant must be a widow or widower. Homestead exemption (FL104) is required as a pre-condition to applying for this add-on exemption.
FL,Exemption for the Blind and the Disabled,Disabled,500,$ Exemption,,,,,X,,X,,,,,,,State,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL106(b),FL106(a),,Homestead exemption (FL104) is required as a pre-condition to applying for this add-on exemption.
FL,Discount for Senior Disabled Veterans,Veterans,,Tied to Disability,65,,Disabled Vet,,X,0.1,,,,,Yes ,,,State,Prop Tax Credit,Jan 1 - Mar 1,One time,,,,FL108(a),FL108(b),Credit reduces tax liability by a percentage equal to the claimant's disability rating from the VA.,
FL,Exempt. for Spouse of Vet who Died on Active Duty,Veterans,,% Exemption,,,Spouse Killed,,,,,,,,,,,State,Prop Tax Credit,Jan 1 - Mar 1,One time,,,,FL108(b),FL108(a),Surviving spouses may transfer the exemption to another property as long as it is used as the primary residence.,
GA,Home Exemption for Elderly (County taxes),Seniors,10000,$ Exemption,65,10000,,,,,,,,,,,County,Local,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,GA101,,,"Income ceiling excludes up to $66,912 in income from retirement sources, pensions, or disability payments."
GA,General Homestead Exemption,General,5000,$ Exemption,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,GA102,,,
GA,Homestead Exemption for Disabled Veterans,Veterans,202700,$ Exemption,,,Disabled Vet,,X,,X,X,X,,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,Inc.,,GA104,,,
GA,Exempt. for Spouses of Servicemen Killed in Action,Veterans,202700,$ Exemption,,,Spouse Killed,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,Inc.,,GA107,,,
GA,School Property Tax Exemption for Elderly,Seniors,25000,$ Exemption,62,10000,,,,,,,,,,,School,State,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,Inc.,,GA108,,,"Income ceiling excludes up to $66,912 in income from retirement sources, pensions, or disability payments."
GA,State Homestead Exemption for the Elderly,Seniors,1,% Exemption,65,,,,,,,,,,,,State,State,Prop Tax Exempt.,Local Option,One time,,,,GA110,,,Eligibility is limited to the primary residence and up to 10 acres of land surrounding the residence.
GA,Exempt. for Spouses of Police/Fire Killed in Duty,Other,1,% Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,,,GA111,,,Applicant must be the surviving spouse of a police officer or firefighter killed in the line of duty.
IA,Military Service Tax Exemption,Veterans,2351.74603174603,$ Exemption,,,All,,,,,,,,Yes,,,Shared,Prop Tax Exempt.,By Jul 1,Annual,,,,IA102,,Amount of benefit depends on state funding.,
IA,Homestead Credit,General,4850,$ Exemption,,,,,,,,,,,,,,State,Prop Tax Exempt.,By Jul 1,One time,,,,IA104,,Exemption is applied to actual value (market value) before rollbacks are applied. ,
ID,Homeowner's Exemption,General,0.5,% Exemption,,,,,,,,,,,,,,Local,Prop Tax Exempt.,By Apr 15,One time,,,,ID101,,"The maximum exemption is $100,000 of assessed value ($126,984 of market value). The Homeowner's Exemption (ID101) must be taken before a reduction in taxes under the Circuit Breaker program (ID103).",
IL,General Homestead Exemption with Local Option,General,,Local Option,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,,Both,Both,IL101,,"County assessors may determine the amount of the homestead exemption, up to a maximum of $10,000 assessed value in Cook County ($30,000 market value) and $6,000 of assessed value ($18,000 market value) in all other counties. ",
IL,Tax Credit for Residential Real Property Taxes,General,0.05,% Credit,,500000,,,,,,,,,,,,State,Income Tax Credit,On inc. tax return,Annual,,,,IL103,,,"Income ceiling is $250,000 for taxpayers who are not married."
IL,Senior Citizens Homestead Exemption,Seniors,15000,$ Exemption,65,,,,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,,,,IL108,,"Maximum exemption is $5,000 of assessed value ($15,000 market value) except for Cook County where maximum exemption is $8,000 of assessed value ($24,000 market value).",
IL,Returning Veterans Homestead Exemption,Veterans,15000,$ Exemption,,,Other,,,,,,,,,,,Local,Prop Tax Exempt.,End of Duty,1x per deployment,,,,IL109,,Exemption is only for the first two years after returning from active duty in armed conflict.,Applicants must be a veteran returning from active duty in an armed conflict.
IL,Disabled Persons’ Homestead Exemption,Disabled,6000,$ Exemption,,,,,,,,,,X,,,,Local,Prop Tax Exempt.,Local Option,Local Option,,,,IL110,IL111,,Applicant must be unable to engage in any substantial gainful activity due to physical or mental impairment which can be expected to result in death or to last for at least 12 months continuously.
IL,Disabled Veterans Homestead Exempt,Veterans,,Tied to Disability,,,Disabled Vet,,,0.3,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,Local Option,,,,IL111,IL110,"Exemption is $2,500 assessed value ($7,500 market value) for veteran with 30 to 40 % disability, $5,000 ($15,000 market value) for 50 to 60 percent disability, and 100% exemption for 70% or greater disability. ",Spouses of claimants who are nursing home residents are eligible if they received the exemption prior to residing in nursing home. Benefit also applies to unoccupied home owned by nursing home resident.
IL,Natural Disaster Homestead Exemption,Other,,Other,,,,X,,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,Annual,,,,IL113,,Exemption equals the difference in assessed value on the new house and value of the destroyed house in prior year (i.e. assessed value held constant under program).,Program is for people rebuilding homes destroyed by natural disasters. The rebuilt structure may not be more than 110% of the square footage of the original residential structure. The residence must be rebuilt within 2 years following the natural disaster. 
IL,Exempt. of Improvement following Catastrophic Event,Other,225000,Other,,,,X,,,,,,,,,,State,Prop Tax Exempt.,Date of Improvement,One time,,,,IL114,,"The value added to a homestead by new improvements after a catastrophic event (typically a natural disaster) is exempt for four years after the date of the improvement, up to a maximum exemption of $75,000.","This exemption applies to improvements made to a residential structure following a catastrophic event. A ""catastrophic event"" is one that arises (but not limited to) from fire, flood, earthquake, wind, storm, explosion etc. In the instance of flooding, residential structure must be located within local jurisdiction participating in the National Flood Insurance Program."
IL,Exempt. for Disabled Vets w/Specially Adapted House,Veterans,300000,$ Exemption,,,Disabled Vet,,,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,Annual,,,,IL115,"IL110, IL111",,Only residential property that is specially adapted to serve the needs of a disabled veteran qualifies for the program.
IN,Homestead Standard Deduction,General,45000,$ Exemption,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN101,,"The exemption is the lesser of $45,000 or 60% of assessed value. Thus, 60% exemption applies if value < $75,000. The Standard Homestead Deduction (IN101) must be taken before the Supplemental Homestead Deduction (IN109) and all other property tax relief programs.",Mobile homes eligible. 
IN,Exemption for Mortgage or Contract Deductions,Other,3000,$ Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN103,,"The exemption is the lesser of the balance of the mortgage or contract indebtedness (including a home equity line of credit), 50% of the assessed value of the real property, or $3,000.",Applicant must have an outstanding mortgage or home equity lines of credit. Mobile homes eligible.
IN,Exemption for Residents Over 65,Seniors,12480,$ Exemption,65,25000,,X,,,,,,,Yes,60,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN104,"IN105, IN106, IN107","The exemption is the lesser of  lesser of 50% of the assessed value of the real property, or $12,480. If co-owners are under 65 benefit reduced by a formula.","Property's assessed value cannot exceed $182,430. Must have owned homestead for at least one year."
IN,Deduction for Blind or Disabled Person,Disabled,12480,$ Exemption,,17000,,,,,X,,,X,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN105,IN104,,"Applicant are eligible if they are unable to engage in any substantial gainful activity due to physical or mental impairment which can be expected to result in death or to last for at least 12 months continuously, or they receive disability benefits under Social Security. "
IN,Deduction for Veterans with a Partial Disability,Veterans,24960,$ Exemption,,,Disabled Vet,,,0.1,,,,,Yes,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN106,,,Application deadline is March 31 for mobile home owners.
IN,Deduction for Totally Disabled Veteran,Veterans,12480,$ Exemption,,,Disabled Vet,X,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN107(a),IN107(b),,"Assessed value of tangible personal property may not exceed $175,000. Application deadline is March 31 for mobile home owners."
IN,Deduction for Veteran Age 62 & Partially Disabled,Veterans,12480,$ Exemption,62,,Disabled Vet,X,,0.1,,,,,Yes,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN107(b),IN107(a),,"Assessed value of tangible personal property may not exceed $175,000. Application deadline is March 31 for mobile home owners."
IN,Supplemental Homestead Deduction,General,0.35,% Exemption,,,,,,,,,,,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN109,,"The 35% exemption is only applied to the first $600,000 in assessed value; there is a 25% exemption on values greater than $600,000. The Supplemental Deduction (IN109) must be taken after the Standard Deduction (IN101), but before all other property tax relief programs.",Application deadline is March 31 for mobile home owners.
IN,Over 65 Credit - Circuit Breaker Credit,Seniors,,Other,65,40000,,X,,,,,,,,,,Local,Prop Tax Credit,Calendar Year,Annual,,,,IN110,,Credit equals the amount that the current year's tax liability exceeds a 2% increase from prior year's tax.,"Homestead's assessed value cannot exceed $160,000. Income ceiling is $30,000 for individuals not married. Application deadline is March 31 for mobile home owners. Income for eligibility is established as adjusted gross income (AGI)."
KS,Exemption from School Levy,General,20000,$ Exemption,,,,,,,,,,,,,Other,State,Prop Tax Exempt.,,,,,,KS101,,"This program exempts $20,000 of appraised value from the statewide portion of the school levy (equivalent to $46 property tax credit for homes worth $20,000+). ",
KS,Property Tax Relief for Low Income Seniors,Seniors,0.75,% Credit,65,19800,,,,,,,,,,,,State,Income Tax Credit,Jan 1 - Apr 15,Annual,,,,KS103,KS102,,
KS,Refund for Homestead Assessment Increases,Other,,Other,,,,X,,,,,,,,,,State,Rebate Check,Local Option,Local Option,,,,KS104,,"Three year credit offsets tax attributed to increases in appraised value: 80% (Year 1), 50% (Year 2), 25% (Year 3).","Appraised value must increase by more than 75%, and homeowner must complete an appeal of the appraisal."
LA,Homestead Exemption,General,75000,$ Exemption,,,,,X,,,,,,,,Excl. municipal taxes,Shared,Prop Tax Exempt.,One time,One time,,,,LA101,,"Exemption includes general city taxes in Orleans Parish, and includes municipal taxes levied for school purposes elsewhere.",Mobile homes are eligible if used as a residence.
