Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Veteran Status,Age,Income Ceiling,Other Criteria,Disability,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Benefits Continue for Surviving Spouses,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 21,Unnamed: 22,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 25,Unnamed: 26
FL,Exempt. for Spouse of Vet who Died on Active Duty,,% Exemption,Spouse Killed,,,,,,,,,,,,State,Prop Tax Credit,Jan 1 - Mar 1,One time,,,,FL108(b),FL108(a),Surviving spouses may transfer the exemption to another property as long as it is used as the primary residence.,
GA,Homestead Exemption for Disabled Veterans,202700,$ Exemption,Disabled Vet,,,,X,,X,X,X,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,Inc.,,GA104,,,
GA,Exempt. for Spouses of Servicemen Killed in Action,202700,$ Exemption,Spouse Killed,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,Inc.,,GA107,,,
IA,Military Service Tax Exemption,2351.74603174603,$ Exemption,All,,,,,,,,,,Yes,,Shared,Prop Tax Exempt.,By Jul 1,Annual,,,,IA102,,Amount of benefit depends on state funding.,
IL,Returning Veterans Homestead Exemption,15000,$ Exemption,Other,,,,,,,,,,,,Local,Prop Tax Exempt.,End of Duty,1x per deployment,,,,IL109,,Exemption is only for the first two years after returning from active duty in armed conflict.,Applicants must be a veteran returning from active duty in an armed conflict.
IL,Disabled Veterans Homestead Exempt,,Tied to Disability,Disabled Vet,,,,,0.3,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,Local Option,,,,IL111,IL110,"Exemption is $2,500 assessed value ($7,500 market value) for veteran with 30 to 40 % disability, $5,000 ($15,000 market value) for 50 to 60 percent disability, and 100% exemption for 70% or greater disability. ",Spouses of claimants who are nursing home residents are eligible if they received the exemption prior to residing in nursing home. Benefit also applies to unoccupied home owned by nursing home resident.
IL,Exempt. for Disabled Vets w/Specially Adapted House,300000,$ Exemption,Disabled Vet,,,,,,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,Annual,,,,IL115,"IL110, IL111",,Only residential property that is specially adapted to serve the needs of a disabled veteran qualifies for the program.
IN,Deduction for Veterans with a Partial Disability,24960,$ Exemption,Disabled Vet,,,,,0.1,,,,,Yes,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN106,,,Application deadline is March 31 for mobile home owners.
IN,Deduction for Totally Disabled Veteran,12480,$ Exemption,Disabled Vet,,,X,X,,,,,,Yes,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN107(a),IN107(b),,"Assessed value of tangible personal property may not exceed $175,000. Application deadline is March 31 for mobile home owners."
IN,Deduction for Veteran Age 62 & Partially Disabled,12480,$ Exemption,Disabled Vet,62,,X,,0.1,,,,,Yes,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN107(b),IN107(a),,"Assessed value of tangible personal property may not exceed $175,000. Application deadline is March 31 for mobile home owners."
MA,Veterans Exemption (Clause 22) (Disabled Veterans),,Tied to Disability,Disabled Vet,,,X,X,0.1,X,X,,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA103(a),"MA103(b), MA103(c)","Five credit levels depending on service-connected injuries: 1) 10-90% disability rating or Purple Heart ($400 credit), 2) Loss of one foot, hand, or eye, or Congressional Medal of Honor ($750), 3) 100% disabled ($1,000), 4) Loss of both feet/hands/eyes, or one foot and one hand ($1,250), 5) Totally disabled and has specially adapted housing ($1,500).",Applicant must have lived in the state at least 5 years prior to filing for the exemption or at least 6 months prior to enlisting.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Veterans Exemption (Clause 22) (Surviving Spouse),1,% Exemption,Spouse Killed,,,X,,,,,,,,,Shared,Prop Tax Exempt.,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA103(b),"MA103(a), MA103(c)",,Applicant must have lived in the state at least 5 years prior to filing for the exemption or at least 6 months prior to enlisting.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Veterans Exemption (Clause 22) (Surviving Parents),400,$ Credit,Other,,,X,,,,,,,,,Shared,Prop Tax Exempt.,Jul 1 - Apr 1,Annual,,,,MA103(c),"MA103(a), MA103(b)","Benefit is greater of $500 credit or $2,000 exemption.",Parent of veterans killed is service are eligible. Applicant must have lived in the state at least 5 years prior to filing for the exemption.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MD,Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,,,,,,MD105,MD106,,
ME,Veteran Exemption (62+),6000,$ Exemption,Warzone,62,,,,,,,,,Yes,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(a),ME103(b-d),,
ME,Veteran Exemption (Disabled),6000,$ Exemption,Disabled Vet,,,,X,,,,,,Yes,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(b),"ME103(a, c, d)",,
ME,Parent or Child of Wartime Veteran Exemption,6000,$ Exemption,Other,,,X,,,,,,,,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(c),"ME103(a, b, d)",,"A qualifying parent of a deceased veteran must be at least 62 years old, a qualifying child must be a minor. In all cases, the qualifying family member must be receiving a pension, or other compensation from the US Government based on the death of the qualifying veteran."
ME,Veteran Exemption (Specially Adapted Housing),50000,% Exemption,Disabled Vet,,,,,,,,X,X,Yes,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(d),ME103(a-c),,"Exemption applies to specially adapted housing units of veterans who served during a federally recognized war period and who are paraplegic, if they received a grant from the United States Government for their adapted housing. "
MI,Credit for Veterans (Disabled Vets),,Tied to Disability,Disabled Vet,,50000.0,X,,0.1,,,,,Yes,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(a),MI103(b-d),"Three exemption levels based on disability rating from VA: 10-50% ($3,500 exemption), 60-80% ($4,000), 90-100% (4,500). Exemption applies to taxable value. There is a 50% assessment ratio in MI, so market value of exemption is approximately $7,000-$9,000. The max credit is $1,500. Applicants can claim prior year benefits retroactively for up to four years. Thus, a taxpayer who was eligible for a 2016 income tax credit (Filed by April 18, 2017) but did not apply for it, could claim the 2016 income tax credit on their 2017, 2018, 2019, or 2020 income tax returns (Filed by April 15, 2021).","Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,Credit for Veterans (Spouse killed in service),9000,$ Exemption,Spouse Killed,,50000.0,X,,,,,,,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(b),"MI103(a,c,d)","The max credit is $1,500. Claim may be made within 4 years of due date. ","Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,"Credit for Veterans (Pensioned Vets, Active Duty)",7000,$ Exemption,Other,,50000.0,X,,,,,,,Yes,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(c),"MI103(a,b,d)","The max credit is $1,500. Claim may be made within 4 years of due date. ","Exemption is for non-disabled pensioned veterans and active military personnel. Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MN,Disabled Veteran Homestead Exempt. (100% disabled),300000,$ Exemption,Disabled Vet,,,,X,,,,,X,Yes,,Local,Prop Tax Exempt.,Jan 1 - Jul 1,One time,,,,MN106(a),"MN107, MN106(b)","Surviving spouse benefit ends after 8 years. If the disabled veteran is not a homeowner, then the primary family caregiver of the eligible veteran can receive the exemption.",
MN,Disabled Veteran Homestead Exempt. (70% disabled),150000,$ Exemption,Disabled Vet,,,,,0.7,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Jul 1,Annual,,,,MN106(b),"MN107, MN106(a)","If the disabled veteran is not a homeowner, then the primary family caregiver of the eligible veteran can receive the exemption.",
MS,Homestead Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,MS104,,,
NC,Disabled Veteran Homestead Property Tax Exclusion,45000,$ Exemption,Disabled Vet,,,,X,,,,,X,Yes,,Local,Prop Tax Exempt.,By Jun 1,One time,,,,NC104,All other property tax relief,Up to one acre of land is eligible for exemption.,Applicants are eligible if they have received specially adapted housing assistance.
ND,Property Tax Exemption for Disabled Veterans,120000,$ Exemption,Disabled Vet,,,X,,,,,X,,Yes,,Local,Prop Tax Exempt.,By Feb 1,One time,,,,ND103(b),"ND103(a,c)",,Applicant must be a paraplegic veteran who has been awarded specially adapted housing by the Department of Veterans Affairs.
ND,Property Tax Credit for Disabled Veterans,,Tied to Disability,Disabled Vet,,,,,0.5,,,,,Yes,Excl. spec. assess.,State,Prop Tax Credit,By Feb 1,One time,,,,ND104(a),ND104(b),"If taxable value of improvements is below $5,400 (market value ≈ $120,000), there's a percentage reduction in the taxable value of improvements equal to the veteran's disability rating. If taxable value exceeds $5,400, then the exemption equals the percentage disabled x $5,400. The maximum exemption is $6,750 of taxable value (market value = $150,000)",
ND,Prop. Tax Credit for Spouse of Vet Killed in Service,1,% Credit,Spouse Killed,,,,,,,,,,,Excl. spec. assess.,State,Prop Tax Credit,By Feb 1,One time,,,,ND104(b),ND104(a),,Surviving spouse who is receiving department of veterans' affairs dependency and indemnity compensation is eligible. 
NE,Homestead Exemption for Totally Disabled Veterans,1,% Exemption,Disabled Vet,,,X,X,,,X,X,X,Yes,,State,Prop Tax Exempt.,Feb 3 - Jun 29,Annual,,,,NE104,,,"Totally disabled veterans who have a full service-connected disability, surviving spouses of veterans who died of a service-connected disability while on active duty, and veterans who are paraplegic or multiple amputee and their widows whose home was contributed to by the DVA. Surviving spouses who remarry after reaching the age of 57 are eligible. "
NH,Veterans' Standard Tax Credit,50,$ Credit,All,,,X,,,,,,,Yes,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,Inc.,,NH105(a),NH109,"Localities may increase the veterans' tax credit up to $500, although surviving spouses are not eligible for a credit above $50 unless their spouse was killed in action. Localities must recertify eligibility at least once every 5 years.",Applicant must have resided in the state one year prior to April 1 of application year.
NH,Veterans' Surviving Spouse Tax Credit,700,$ Credit,Spouse Killed,,,,,,,,,,,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,Inc.,,NH105(b),,"Localities may increase benefit to up to $2,000.",
NH,Totally Disabled Veterans' Credit with Local Options,700,$ Credit,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,Inc.,,NH109(a),NH105,"Localities may increase credit up to $2,000. Localities must recertify eligibility at least once every 5 years.","Applicant must have a total and permanent service-connected disability, certified by the US Department of Veteran Affairs. Applicant must have resided in the state one year prior to April 1 of application year."
NH,Veterans' Tax Credits (Spec. Adapted Housing),1,% Exemption,Disabled Vet,,,,,,,,,X,Yes,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,,,NH109(b),,Localities must recertify eligibility at least once every 5 years.,
NJ,Property Tax Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,X,X,X,X,Yes,,Local,Prop Tax Exempt.,Calendar Year,One time,,,,NJ102,,Retroactive refunds permitted.,
NJ,Annual Deductions for Veterans,250,$ Credit,All,,,,,,,,,,Yes,,Local,Prop Tax Credit,Oct 1 - Dec 31,Annual,,,,NJ106,,Applicants must have resided in the state for one year prior to October 1 application year. ,
NM,Veteran Exemption,12000,$ Exemption,All,,,,,,,,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NM103,,,
NM,Disabled Veteran Exemption,1,% Exemption,Disabled Vet,,,X,X,,,,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NM104,,,
NV,Property Tax Exemption for Veterans,7714.28571428571,$ Exemption,All,,,X,,,,,,,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV102,,"The amount of the exemption is $2,800 in 2019.",Veteran must have served during specified periods of conflict. Applicant must have resided in the state for at least 6 months.
NV,Exemption for Disabled Veterans (100% disabled),77142.8571428571,$ Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV104(a),"NV102, NV104(b,c)",,
NV,Exemption for Disabled Veterans (80% disabled),57857.1428571429,$ Exemption,Disabled Vet,,,,,0.8,,,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV104(b),"NV102, NV104(a,c)",,
NV,Exemption for Disabled Veterans (60% disabled),38571.4285714286,$ Exemption,Disabled Vet,,,,,0.6,,,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV104(c),"NV102, NV104(a,b)",,
NY,Eligible Fund Veterans Exemption,7500,$ Exemption,All,,,,,,,,,,Yes,,Local,Prop Tax Exempt.,Local Option,One time,,,,NY105(a),NY105(b),Local application deadline is usually Mar 1.,
NY,Eligible Fund Seriously Disabled Exemption,1,% Exemption,Disabled Vet,,,,,,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,One time,,,,NY105(b),NY105(a),Local application deadline is usually Mar 1.,Applicant must be eligible for governmental grants for special equipment in residence to accommodate veteran's disability.
OH,Disabled Veteran Property Tax Homestead Exemption,50000,$ Exemption,Disabled Vet,,,,X,,,,,,Yes,,State,Prop Tax Exempt.,Calendar Year,One time,,,,OH105,,Up to 1 acre of land is eligible for exemption. ,
OK,Property Tax Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,Jan 1- Mar 15,One time,,,,OK102,,,
OR,Disabled Veterans' Exemption,25665,$ Exemption,Disabled Vet,,,,,0.4,,,,,Yes,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,,,OR103(a),OR103(b),,"Veterans whose disability is not service-connected are eligible for a $21,386 exemption, and are subject to an income ceiling if their disability was certified by a private practitioner rather than by the VA or armed force (Their income cannot exceed 185% of the Federal Poverty Level). "
OR,Veterans' Surviving Spouses Exemption,25665,$ Exemption,Spouse Killed,,,,,,,,,,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,,,OR103(b),OR103(a),,
PA,Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,88607.0,,X,,X,X,X,,Yes,,Local,Prop Tax Exempt.,Unspecified,Every two years,,,,PA104,,,
RI,Veterans Property Tax Exemption Program,1000,$ Exemption,All,,,,,,,,,,Yes,,Local,Prop Tax Exempt.,Local Option,One time,,Inc.,,RI108(a),,,
RI,Disabled Veterans Property Tax Exemption Program,10000,$ Exemption,Disabled Vet,,,,X,,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,RI108(b),,,Veterans who are totally disabled as a result of service and are awarded specially adapted housing assistance are eligible.
RI,Permanently Disabled Veterans Property Tax Exemption,1,% Exemption,Disabled Vet,,,,X,,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,RI108(c),,,Veterans who are permanently disabled as a result of service and own homesteads acquired or modified with a specially adapted housing grant are eligible.
RI,POW Property Tax Exemption Program,15000,$ Exemption,Other,,,,,,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,RI108(d),,Veterans who have been prisoners of war are eligible.,
SC,Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,Unspecified,One time,,,,SC102(a),SC102(b),,
SD,Property Tax Exemption for Paraplegic Veterans,1,% Exemption,Disabled Vet,,,,,,,X,X,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Nov 1,Annual,,,,SD102(a),,,
SD,Property Tax Exemption for Totally Disabled Veterans,100000,$ Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Nov 1,One time,,,,SD102(b),,,
TN,Property Tax Relief for Disabled Veterans,175000,$ Exemption,Disabled Vet,,,X,X,,X,X,X,,Yes,,State,Rebate Check,Other,Annual,,,,TN102,"TN101 (a,b)",Claim must be submitted at least 35 days before taxes become delinquent.,"Applicants who relocate to a health care facility or nursing home, or in the care of a friend or relative, will continue to qualify for this program. "
TX,Disabled Veterans Exemption (Partially disabled),,Tied to Disability,Disabled Vet,,,,,0.1,,,,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(a),TX103(b-d),"Four exemption levels based on disability rating from VA: 10-30% ($5,000 exemption), 31-50% ($7,500), 51-70% ($10,000), 71-99% ($12,000).",
TX,Disabled Veterans Exemption (Totally disabled),1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(b),"TX103(a,c,d)",,
TX,Disabled Veterans Exemption (Seniors),12000,$ Exemption,Disabled Vet,65,,,,0.1,X,X,,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(c),"TX103(a,b,d)",,
TX,Disabled Veterans Exemption (Surviving spouse),5000,$ Exemption,Spouse Killed,,,,,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(d),TX103(a-c),,Children under 18 of a veteran killed in duty are also eligible for this exemption.
TX,Exemption for Donated Homestead of Disabled Veteran,,Tied to Disability,Disabled Vet,,,X,,,,,,X,Yes,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX103(e),,The benefit is an exemption from appraised value equal to the percentage of the veteran's disability.,Partially disabled veterans are eligible if their home was donated by a charitable organization at no cost or up to half of the home's market value.
TX,100 Percent Disabled Veterans Exemption,1,% Exemption,Disabled Vet,,,X,X,,,,,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX105,,,
UT,Veterans Disability Exemption (Totally disabled),473400,$ Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,By Sep 1,One time,,,,UT103(a),"UT103(b,c)",,Surviving minor children are eligible to receive benefits of deceased disabled veteran.
UT,Veterans Disability Exemption (Partially disabled),,Tied to Disability,Disabled Vet,,,,,0.1,,,,,Yes,,Local,Prop Tax Exempt.,By Sep 1,One time,,,,UT103(b),"UT103(a,c)","Exemption amount equals the vet's disability rating multiplied by the adjusted taxable value limit for a veteran ($260,370 in 2018). There is a 55% assessment ratio for residential property in UT, so market value of exemption equals the vet's disability rating multiplied by $473,400.",Surviving minor children are eligible to receive benefits of deceased disabled veteran.
UT,Veterans Disability Exemption (Surviving Spouse),1,% Exemption,Spouse Killed,,,,,,,,,,,,Local,Prop Tax Exempt.,By Sep 1,One time,,,,UT103(c),"UT103(a,b)",,Exemption is also available for surviving minor children of veteran killed in duty and spouses of veterans who died as a result of service-connected injuries.
UT,Active Duty Armed Forces Exemption,1,% Exemption,Other,,,X,,,,,,,,,Local,Prop Tax Exempt.,By Sep 1,Annual,,,,UT107(a),,Includes up to a maximum of 1 acre of land. ,"Applicants must have been on active duty or reserve duty outside the state for 200 days in a calendar year, or 200 consecutive days in the year before the application is filed. "
UT,Active Duty Exemption (Surviving Spouse),1,% Exemption,Spouse Killed,,,,,,,,,,,,Local,Prop Tax Exempt.,By Sep 1,Annual,,,,UT107(b),,Includes up to a maximum of 1 acre of land. ,
VA,Exemption for Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,by April 15,One time,,Inc.,,VA103,,"If property has multiple owners besides the claimant's spouse, the benefit is based on percentage of ownership. Localities may opt to exempt more than one acre of land. Eligibility must be recertified annually. ","Suriving spouses of veterans who died on or after Jan 1, 2011 are eligible. Residents of hospitals or long term care facilities remain eligible."
VA,Exempt. for Spouses of Armed Forces Killed in Action,1,% Exemption,Spouse Killed,,,,,,,,,,,,Local,Prop Tax Exempt.,by April 15,One time,,Inc.,,VA104,,The maximum dollar amount for an exemption is the county's average assessed value for single family residences. Localities may opt to exempt more than one acre of land. ,Residents of long-term care facilities are eligible.
