Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Age,Income Ceiling,Other Criteria,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 15,Unnamed: 16,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 19,Unnamed: 20
GA,State Homestead Exemption for the Elderly,1,% Exemption,65,,,,,State,State,Prop Tax Exempt.,Local Option,One time,,,,GA110,,,Eligibility is limited to the primary residence and up to 10 acres of land surrounding the residence.
IL,Senior Citizens Homestead Exemption,15000,$ Exemption,65,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,,,,IL108,,"Maximum exemption is $5,000 of assessed value ($15,000 market value) except for Cook County where maximum exemption is $8,000 of assessed value ($24,000 market value).",
IN,Exemption for Residents Over 65,12480,$ Exemption,65,25000,X,Yes,60,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN104,"IN105, IN106, IN107","The exemption is the lesser of  lesser of 50% of the assessed value of the real property, or $12,480. If co-owners are under 65 benefit reduced by a formula.","Property's assessed value cannot exceed $182,430. Must have owned homestead for at least one year."
IN,Over 65 Credit - Circuit Breaker Credit,,Other,65,40000,X,,,,Local,Prop Tax Credit,Calendar Year,Annual,,,,IN110,,Credit equals the amount that the current year's tax liability exceeds a 2% increase from prior year's tax.,"Homestead's assessed value cannot exceed $160,000. Income ceiling is $30,000 for individuals not married. Application deadline is March 31 for mobile home owners. Income for eligibility is established as adjusted gross income (AGI)."
KS,Property Tax Relief for Low Income Seniors,0.75,% Credit,65,19800,,,,,State,Income Tax Credit,Jan 1 - Apr 15,Annual,,,,KS103,KS102,,
MA,Exemption for Persons Over Age 70 (Clause 17s),175,$ Credit,70,,X,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA101(a),"MA104, MA101(b)","Base benefit is the greater of $2,000 exemption of taxable value or $175. Localities may increase benefit annually by CPI.","Assets including real estate cannot exceed $20,000, although towns can increase asset limit to $40,000, exclude some home value, and adjust for inflation. Application deadline is later of April 1 or 3 months after tax bill is mailed."
MA,Exemption for Persons Aged 70 or Older (Clause 41),500,$ Credit,70,7000,X,Yes,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA104,MA101,"Benefit is greater of $500 credit or $4,000 exemption.","Net worth excluding value of primary home cannot exceed $17,000 if single or $20,000 if married. Must have lived in the state for at least 10 years and owned property in the state for at least 5 years. Income ceiling is $6,000 for individuals not married.  Application deadline is later of April 1 or 3 months after tax bill is mailed."
MS,Homestead Exemption for Seniors,75000,$ Exemption,65,,,Yes,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,MS102(a),MS102(b),Recipients of this benefit are also exempted from the forest acreage tax.,
NC,Homestead Exclusion for Senior Citizens,0.5,% Exemption,65,30200,,,,,Local,Prop Tax Exempt.,By Jun 1,One time,,,,NC101(a),All other property tax relief,"Beneficiaries can take a $29,500 exemption from assessed value instead of the 50% exemption if it would result in greater tax savings (Applies if value < $59,000). Up to one acre of land is eligible for exemption.","Claimants continue to receive benefit if residence unoccupied for medical reasons, including nursing home care."
NH,Local Option Elderly Exemption,5000,$ Exemption,65,20400,X,,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,,Inc.,Inc.,NH103,NH102,,"Applicant must have resided in the state for at least three years. Local government sets asset limit, which must be at least $35,000 and exclude home value. Income ceiling is $13,400 for individuals not married."
NJ,Annual Property Tax Deduction for Senior Citizens,250,$ Credit,65,10000,,Yes,55,,Local,Prop Tax Credit,Oct 1 - Dec 31,Annual,,,,NJ103(a),NJ103(b),"After initial application year, required annual form is due by Mar 1.",
NJ,Property Tax Reimbursement (Senior Freeze),,Other,65,70000,X,,,,State,Rebate Check,By Oct 31,Annual,,,,NJ104(a),NJ104(b),Credit equals the difference between property tax paid in the base year (i.e. first year eligible) and the amount paid in the current year.,"For 2018 benefit, 2017 income is subject to income limit of $70,000 and 2016 income may not exceed $87,000. Applicant must have owned homestead for past three years and lived in the state since 2006."
NY,STAR Exemption (Enhanced),65500,$ Exemption,65,86300,,Yes,62,School,State,Prop Tax Exempt.,,One time,,,,NY104(b),NY104(a),"The exemption amount on which the benefit is based is adjusted based on local housing prices, and is lower in the five largest cities (where it is applied to both general city taxes and school taxes). Savings from STAR cannot increase more than 2% per year. Residents of NYC are not eligible. The STAR exemption is now disbursed to new applicants as a rebate check (Starting in 2016), but homeowners who applied in prior years continue to receive STAR as a property tax exemption.",
OH,Senior Property Tax Homestead Exemption,25000,$ Exemption,65,32200,,Yes,59,,State,Prop Tax Exempt.,Calendar Year,One time,,,,OH101(a),OH101(b),,The income ceiling only applies to individuals who turned 65 after 2013. There is no income ceiling for taxpayers who received this exemption in 2013.
SC,Homestead Exemption for Senior Citizens,50000,$ Exemption,65,,,Yes,,,State,Prop Tax Exempt.,Unspecified,One time,,,,SC103(a),SC103(b),,
TN,Property Tax Relief for the Elderly,27600,$ Exemption,65,29270,,, ,,State,Rebate Check,Other,Annual,,Inc.,,TN101(a),TN101(b),Claim must be submitted at least 35 days before taxes become delinquent.,
TX,"Homestead Exemption (School taxes, Seniors)",35000,$ Exemption,65,,,Yes,55,School,Local,Prop Tax Exempt.,Jan 1 - Apr 30,One time,,,,TX101(b),"TX101(a,c)",This exemption is applied after the senior tax freeze (TX102).,
UT,Homeowner Valuation Reduction,0.2,% Exemption,66,33530,X,Yes,,,Local,Prop Tax Credit,Other,Other,,,,UT106,,The additional tax relief is granted to qualifying taxpayers who have applied for the Homeowner's credit circuit breaker.,
WV,Senior Citizens' Homestead Property Tax Exemption,33333.3333333333,$ Exemption,65,,X,,,,Local,Prop Tax Exempt.,Jul 1 - Oct 1,One time,,,,WV101(a),WV101(b),,Applicant must have resided in state for at least two years.
WV,Senior Citizens' Tax Credit (Low income),33333.3333333333,$ Exemption,65,24690,,,,,State,Income Tax Credit,By Apr 15,Annual ,,,,WV102,WV101,,"Income ceiling depends on household size: 1 person ($18,090), 2 ($24,360), 3 ($30,630), 4 ($36,900), 5 ($43,170), 6 ($49,440), 7 ($55,710), 8 ($61,800). Income ceilings are equal to 150% of federal poverty guidelines for 2017 (Source: HHS)."
,Local Option Programs,,,,,,,,,,,,,,,,,,,
CT,Local Option Tax Relief for Seniors,,Local Option,65,Local Option,,,,,State,Local Option,Feb 1 - May 15,2 Years,Yes,Both,Both,CT112(a),,"Relief under this program cannot exceed 10% of property value. If the total amount of tax relief provided by this program and other tax relief programs exceeds 75% of the taxes that would be owed without relief, then towns are required to put a lien on the property for the amount of tax relief exceeding 75%.",Municipalities can set their own eligibility criteria and income requirements.
DE,Home Exemption for Elderly (Non-municipal taxes),,Local Option,65,6000,X,,,Excl. municipal taxes,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,,DE101,,"Counties determine the amount of the credit, with a max benefit of $5,000. Kent County Levy Court provides up to a 100% exemption to applicants 65 or older or 100% disabled with income up to $22,000 if married ($16,000 if unmarried).","Applicant must have lived in the state for at least three years. Income ceiling is $3,000 if unmarried."
DE,Home Exemption for Elderly (Municipal taxes),,Local Option,65,,,,,Municipal,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,DE102,,,Statute does not prescribe type of exemption (percentage or dollar amount)
DE,Senior School Property Tax Credit,0.5,% Credit,65,,,,,School,State,Prop Tax Credit,By  April 30,Annual,Yes,,,DE103,,The max credit is $500. State will mail rebate checks directly to individuals who qualify for the program.,Applicant must have lived in the state 10 years.
FL,Local Option Exemption for Seniors ($50k Exemption),50000,$ Exemption,65,29454,,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,Annual,Yes,,,FL107,,Localities may offer instead of or in addition to FL107(b). The exemption applies only to taxes levied by the unit of government granting the exemption. ,
FL,Local Opt. Exemp. for Seniors w/Long-Time Residency,1,% Exemption,65,29454,X,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,Annual,Yes,,,FL109,,Localities may offer instead of or in addition to FL107(a). The exemption applies only to taxes levied by the unit of government granting the exemption.,"To be eligible for a 100% exemption, the homeowner must have lived in the homestead for at least 25 years, and the value of the property must be less than $250,000 in the first year that the tax owner applies and is eligible for exemption."
HI,Homestead Exemption for the Elderly,,Local Option,Local Option,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI102,HI101,"In Hawaii County, exemption is $80,000 for claimants age 60-69 and $100,000 for age 70+. In Kauai County, exemption is $180,000 for ages 60-70 and $200,000 for 71 and older. In the City and County of Honolulu, exemption is $120,000 for age 65+. Maui County does not offer an exemption based on age.",Age criteria set locally.
IL,Local Option Senior Citizen Property Tax Refund,,Local Option,65,,X,,,Municipal,Local,Rebate Check,Local Option,Annual,Yes,Both,,IL106,,,No co-owner may be under 60 years of age.
MD,Tax Credit for Elderly with Limited Incomes,,Local Option,65,Local Option,Local Option,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,Both,MD112,,,Applicants must be 65 and have limited income but other criteria set locally.
ME,Municipal Property Tax Assistance (Senior Work Off),,Local Option,60,,,,,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Dec.,Both,ME106,,Maximum benefit is $750.,Program allows localities to offer tax abatements to senior citizens who provide volunteer services. Additional criteria set locally.
NY,Local Option Senior Citizen Homestead Exemption,0.5,% Exemption,65,Local Option,X,Yes,62,,Local,Prop Tax Exempt.,By Mar 1,Annual,Yes,Both,Inc.,NY102,,Some localities may set a different application deadline.,"Applicant must have owned property for at least one year. Localities may set income ceiling between $3,000 and $29,000. Localities using a $29,000 income ceiling may offer exemptions of less than 50% to applicants with incomes over $29,000 but under $37,400 using the ""sliding scale option."" Income limit is $50,000 for NYC."
UT,Local Option Low-Income Deferral or Abatement,984,$ Credit,65,33530,X,,,,Local,Prop Tax Credit,By Sep 1,Annual,Yes,Both,Inc.,UT102,,"Counties have option to grant either a $984 credit (maximum benefit for lowest income threshold for state circuit breaker program) or a 50% credit to low-income seniors, whichever is lower. ","To be eligible, claimants must have lived in the state 10 months. Benefit may be extended to applicants who are disabled and/or who demonstrate extreme hardship."
VA,Local Option Exemption for Seniors,,Local Option,65,,,,,,Local,Other,Local Option,Local option,Yes,Both,Both,VA101(a),,,No more than 10 acres of land eligible.
,,,,,,,,,,,,,,,,,,,,
,Legend,,,Local Option: Local governments set criteria.,,,,,Excl: Excludes,,,,,Adpt: Program Adoption,,,,,,
,,,,,,,,,Blank: All taxes or unspecified,,,,,Ben: Benefit Levels,,,,,,
,,,,,,,,,,,,,,Elig: Eligibility Criteria,,,,,,
,,,,,,,,,,,,,,Inc: Can increase benefits or expand eligibility,,,,,,
,,,,,,,,,,,,,,Dec: Can decrease benefits or reduce eligibility,,,,,,
,,,,,,,,,,,,,,Both: Can increase or decrease benefits and eligibility,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Suggested Citation,,,,,,,,,,,,,,,,,,,
,Lincoln Institute of Land Policy. 2019. Significant Features of the Property Tax. Residential Property Tax Relief Programs: Summary Table on Exemptions and Credits in 2018.,,,,,,,,,,,,,,,,,,,
,https://www.lincolninst.edu/research-data/data-toolkits/significant-features-property-tax/topics/residential-property-tax-relief-programs,,,,,,,,,,,,,,,,,,,
