Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Age,Income Ceiling,Veteran Status,Other Criteria,Benefits Continue for Surviving Spouses,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 14,Unnamed: 15,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 18,Unnamed: 19
IL,Exempt. of Improvement following Catastrophic Event,225000,Other,,,,X,,State,Prop Tax Exempt.,Date of Improvement,One time,,,,IL114,,"The value added to a homestead by new improvements after a catastrophic event (typically a natural disaster) is exempt for four years after the date of the improvement, up to a maximum exemption of $75,000.","This exemption applies to improvements made to a residential structure following a catastrophic event. A ""catastrophic event"" is one that arises (but not limited to) from fire, flood, earthquake, wind, storm, explosion etc. In the instance of flooding, residential structure must be located within local jurisdiction participating in the National Flood Insurance Program."
IN,Exemption for Mortgage or Contract Deductions,3000,$ Exemption,,,,X,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN103,,"The exemption is the lesser of the balance of the mortgage or contract indebtedness (including a home equity line of credit), 50% of the assessed value of the real property, or $3,000.",Applicant must have an outstanding mortgage or home equity lines of credit. Mobile homes eligible.
KS,Refund for Homestead Assessment Increases,,Other,,,,X,,State,Rebate Check,Local Option,Local Option,,,,KS104,,"Three year credit offsets tax attributed to increases in appraised value: 80% (Year 1), 50% (Year 2), 25% (Year 3).","Appraised value must increase by more than 75%, and homeowner must complete an appeal of the appraisal."
LA,Spouse of Military or First Responder Killed in Action,1,% Exemption,,,Spouse Killed,X,,State,Prop Tax Exempt,By Dec 31,Annual,,,,LA106,,"If the eligible spouse moves to a different homestead, the benefit is limited to the amount of the exemption claimed on the prior homestead.","The unmarried surviving spouse of a member of the Armed Forces, Louisiana National Guard, state police, law enforcement or fire protection officer medical responder, technician, or paramedic who died while on duty is eligible. "
MA,Exemption for Surviving Spouses & Minor Children,175,$ Credit,,,,X,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA101(b),MA101(a),"Base benefit is the greater of $2,000 exemption of taxable value or $175. Localities may increase benefit annually by CPI.","Applicant must be a surviving spouse or minor child of a deceased parent. Assets including real estate cannot exceed $20,000, although towns can increase asset limit to $40,000, exclude some home value, and adjust for inflation. Application deadline is later of April 1 or 3 months after tax bill is mailed. "
MA,Exempt. for Spouses of Fire/Police Killed in Duty,1,% Exemption,,,,X,,Local,Prop Tax Exempt.,Jul 1 - Apr 1,Annual,,,,MA109,,,Applicant must be the surviving spouse or child of a police officer or firefighter killed in the line of duty.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Tax Exemption for Poverty or Financial Hardship,,Local Option,,,,X,,Local,Prop Tax Exempt.,Local Option,Local Option,,Both,Both,MA112,,Local boards of assessors may exempt any portion of taxes owed based on qualifying hardship.,"Eligibility extends to homeowners facing hardship due to being called into active military duty or being older and suffering from a physical or mental illness, disability, or impairment. "
MI,Poverty Exemption,,Local Option,,Local Option,,Local Option,,Local,Prop Tax Exempt.,Calendar Year,Annual,,Both,Both,MI101,,Local governments may grant a full exemption or a partial exemption equal to a percentage of a home's taxable value.,"Local governments must set some income limit (no lower than the federal poverty level) and asset limit (excludes the value of the principal residence), but the levels are chosen by local governments. Additional eligibility criteria may also be set by the local government."
MI,Credit for Veterans (Spouse of WWII/Korea Vet),5000,$ Exemption,,50000,,X,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(d),MI103(a-c),"The max credit is $1,500. Claim may be made within 4 years of due date. ","This program is for surviving spouses of nondisabled veterans of WWI, WWII or the Korean War. Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MN,Taconite Credit (In city w/taconite mine),315.1,$ Credit,,,,X,,State,Prop Tax Credit,Unspecified,Unspecified,,,,MN101(a),MN101(b),"If applicant's property tax bill is less than $478, then the receive a 66% reduction in their tax bill instead of the flat $315 credit. ","Applicant must live in a city where taconite is mined or quarried, or where there is a taconite concentrating plant. Nonhomestead property is eligible."
MN,Taconite Homestead Credit (Near taconite mine),289.8,$ Credit,,,,X,,State,Prop Tax Credit,Unspecified,Unspecified,,,,MN101(b),MN101(a),"If applicant's property tax bill is less than $509, then the receive a 57% reduction in their tax bill instead of the flat $290 credit.",Applicant must live in a school district whose boundaries are within 20 miles of a taconite mine or plant. Nonhomestead property is eligible.
MN,Refund for Significant Property Tax Increases,,Other,,,,X,,State,Rebate Check,By Aug 15,Annual,,,,MN102,,"The benefit is equal to 60% of taxes that exceed a 12% increase from the prior year if that amount is over $100. The maximum benefit is $1,000.",The benefit does not extend to increases in taxes due to improvements that increase the value or due to termination of valuation exclusions for older homes or natural disasters.
MN,Agricultural Homestead Market Value Credit,,Other,,,,X,,State,Prop Tax Credit,By Dec 15,Unspecified,,,,MN105,,"The credit is equal to 0.3 percent of the first $115,000 of the property's agricultural credit market value plus 0.1 percent of the property's agricultural credit market value in excess of $115,000. The maximum benefit is $490 at $260,000 market value.","To be eligible, a property must be classified as an agricultural homestead, must be class 2a agricultural land or any vacant class 2b land contiguous with the agricultural land and owned by the same party. "
NV,Property Tax Exemption for Surviving Spouses,3857.14285714286,$ Exemption,,,,X,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV103,,,
NY,Exemption for Clergy,1500,$ Exemption,,,,X,Yes,Local,Prop Tax Exempt.,Local Option,Annual,,,,NY112,,Local application deadline is usually Mar 1.,Applicant must be a member of the clergy or a surviving spouse of clergy.
OK,Additional Homestead Exemption,8000,$ Exemption,,20000,,X,,State,Prop Tax Exempt.,Jan 1 - Mar 15,Annual,,,,OK104,,,Veterans disability compensation is excluded from income computation. Eligible applicants age 65 or older do not need to reapply.
OK,Credit for Natural Disaster Damage,,Other,,,,X,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,OK106,,"The base credit is the difference between the property taxes paid per square foot before the natural disaster and after the residence is rebuilt following the damage. The credit is available for 5 years, with the base credit reduced by 20% each year.",The property must have been destroyed or damaged by a natural disaster after 12/31/2011. The property must be primary residence in years prior to and after the natural disaster and homeowner must be eligible for the homestead exemption in the same years. 
OR,Homestead Exemption for Active Duty Military,88112.0228070938,$ Exemption,,,,X,Yes,Shared,Prop Tax Exempt.,Jan 1 - Aug 1,Annual,,,,OR102,,"Exemption was $60,000 in 2005 and has increased 3% each year beginning in 2006, so the 2018 exemption was $88,112.",Program is for members of Armed Services on active duty for 179+ consecutive days.
RI,Gold Start Parents Property Tax Exemption Program,3000,$ Exemption,,,Other,X,,Local,Prop Tax Exempt.,Local Option,One time,,Both,,R108(e),,Parents of servicemen killed in duty are eligible.,
SC,Exemption for Former Police/Firefighters,1,% Exemption,,,,X,Yes,Local,Prop Tax Exempt.,Unspecified,One time,,,,SC102(b),SC102(a),,"Applicant must be a former police officers or fire fighter with a permanent service-connected disability, or their surviving spouse."
WY,Property Tax Refund for Low Income Homeowners,0.5,% Credit,,46778,,X,,State,Rebate Check,By Jun 3,Annual,,,,WY102,,"The rebate equals the lesser of 50% of the applicant's 2018 property tax liability or 50% of the median property tax liability in their county, and may be prorated depending on available state funds. Wyoming's FY20 budget appropriated $650,000 for this program in 2019; it had not been funded since 2016.","Applicant must have resided in the state for the past five years. Applicant's income cannot exceed three-quarters of the median household income for the state or county where they reside, whichever is higher (3/4 of statewide median income was $46,778). The applicant's total household assets cannot exceed $120,339 per adult member of the household, excluding the value of their home, retirement accounts, and one car per adult."
,,,,,,,,,,,,,,,,,,,
,Local Option Programs,,,,,,,,,,,,,,,,,,
CO,Local Option Property Tax Work-Off Program,,Other,60,,,X,,Local,Rebate Check,Local Option,Local Option,Yes,,Dec.,CO104,,This programs allows localities to offer eligible homeowners work in lieu of property tax payment at the federal minimum wage rate up to the total amount of property taxes owed. Benefit reduces taxes for applicant's homestead if it is non-income producing. ,Applicants must be 60+ or disabled. Localities may restrict definition of disability for eligibility.
CT,Local Option for Firefighters & Emergency Personnel,,Local Option,,,,X,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,,CT113,,"Municipalities may provide either an exemption of assessed value up to an amount equal to $1 million divided by the mill rate, or an abatement of up to $1,000. Localities may enter into interlocal agreements to provide relief to volunteers who live in one municipality and volunteer in another.","For individuals who volunteer their services such as firefighters, EMTs, paramedic, search and rescue, ambulance drivers. Retired personnel are also eligible if they volunteered their services for at least 25 years."
CT,Local Option for Surv. Spouses of Police/Firefighters,,Local Option,,,,X,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,,CT114,,"In adopting the program, a municipality may choose full or partial abatement.","Must be a surviving spouse of a police officer, firefighter or EMT who dies while performing duties."
HI,Person Affected with Hansen's Disease (Leprosy),,Local Option,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI106,,"Benefits vary by county. Max exemption is $25,000 in Maui and Honolulu counties and $50,000 in Kauai and Hawaii counties.",Applicant must have leprosy. Specific criteria vary by county.
HI,Additional Homestead Exemption (Low-Income),,Local Option,,Local Option,,,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Both,Both,HI107,,"In Honolulu, benefit ranges from $140,000 to $200,000 based on age. In Kauai County, the exemption is $120,000.",Honolulu and Kauai Counties set income limit at 80% of median household income.
IL,Long-time Occupant Homestead Exemption (LOHE),,% Exemption,,100000,,X,,Local,Prop Tax Exempt.,Calendar Year,Annual,Yes,,,IL112,"IL101, IL102","This program is only for Cook County. This program provides tax relief for homeowners with a large year-over-year increase in assessed values, with tax relief offsetting any taxes due to an increase in A.V. greater than 7% (If income up to $75,000) or greater than 10% (If income $75,001-$100,000).","To qualify for the benefit, the property must be occupied by the claimant for 10 continuous years or 5 continuous years if the person receives assistance to acquire the property as part of a government or non-profit housing program. Qualifying taxpayers must opt in to Alternative General Homestead Exemption in order to apply."
LA,Head of Family Local Option Tax Relief,,Local Option,,,,X,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Dec.,Both,LA104,,"Maximum exemption is $2,000 assessed value ($20,000 market value).",The homeowner must be head of a family and/or have dependents.
MA,Work-Off Abatement for Persons Over Age 60 & Vets,,Local Option,60,,,X,Yes,Local,Prop Tax Credit,Local Option,Local Option,Yes,Dec.,,MA107,,"The max credit is $1,500 for homeowners 60 years or older and $1,000 for disabled veterans. Hourly rate equivalent may not exceed minimum wage. Localities may adopt lower maximum benefits. Cities and towns may reduce the property tax bills of veterans up to a credit of $1,000.",Program allows localities to offer tax abatements to senior citizens and veterans with a service-connected disability who provide volunteer services.
MA,Local Option Exemp. from Community Preservation Act,,Local Option,,,,X,,Local,Prop Tax Exempt.,By Apr 1,Annual,Yes,Both,Both,MA113,,"The benefit is an exemption or partial exemption from the surcharges applied to real property if the city or town has adopted a Community Preservation Plan ordinance. The Community Preservation Act, which must be adopted by a local ballot measure, allows localities to impose a surcharge of up to 3% of the property tax levy to support open space protection, historic preservation, affordable housing, and outdoor recreation. ",Eligibility criteria are determined locally and may be based on ability to qualify for housing assistance.
MD,Credit for Residential Prop. in Airport Noise Zone,,Local Option,,,,X,,Local,Prop Tax Credit,,,Yes,Both,,MD109,,,Home must be within the 75 LDN noise contour surrounding BWI Airport.
MD,Credit for Disabled Police and Rescue Workers,,Local Option,,,,X,Yes,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,,MD110,,,"Program is for police officers, rescue workers (fire, EMS), and correctional officers who became totally disabled in the course of their work. In addition to surviving spouses, certain qualifying co-habitants are also eligibible."
MD,Credit on Rentals for Elderly/Disabled Tenants,,Local Option,,,,X,,Local,Prop Tax Credit,Feb 1 - Sept 1,Annual,Yes,Both,,MD111,,,Program is for owners of rental units that provide reduced rent for elderly (65+) or disabled tenants.
MD,Tax Credit for Family Assistance Dwellings,,Local Option,,,,X,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,,MD113,,,"Must be owner of a family assistance dwelling, defined as: 1) not a vacation home, 2) not homeowner's residence but used for personal purposes for 14 days or 10% of the days during a year in which the unit is rented at a fair rental, and 3) the only residence of a family-member who makes rental payments that are less than 90% of a fair rental price and is entitled to low income assistance benefits under a federal or state program."
MD,Property Tax Credit for Acquired Dwellings,,Local Option,,,,X,,Local,Prop Tax Credit,Local Option,Local Option,Yes,Both,Both,MD115,,,Must have owned a home that was acquired by the State for public use and that had previously been eligible for the homestead tax credit.
ND,Local Option Exemption for New Residential Property,,Local Option,,,,X,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,Dec.,Both,ND105,,"Maximum benefit is $150,000 of full (market) value.",New single-family residential property is eligible for first two taxable years after the construction is completed and the residence is owned and occupied for the first time. Local governing body may limit or impose conditions upon exemptions.
NY,Volunteer Firefighter & Ambulance Worker Exempt.,0.1,% Exemption,,,,X,Yes,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,Both,NY107,,"Local governments choose the maximum dollar amount of the exemption, which can range from $500 to $3,000 in most counties. In Montgomery, Nassau, Suffolk, and Westchester counties there is no maximum dollar amount for the exemption. Local application deadline is usually Mar 1.",Applicant must be member of a volunteer fire department or ambulance service.
VA,Exempt. For Spouses of Police/Fire Killed in Duty,1,% Exemption,,,,X,,Local,Prop Tax Exempt.,Unspecified,One time,Yes,Inc.,,VA105,,The maximum dollar amount for an exemption is the county's average assessed value for single family residences. Localities may opt to exempt more than one acre of land.,This local option exemption is for surviving spouses of public service officers or firefighters killed in the line-of-duty. Residents of long-term care facilities are eligible.
,,,,,,,,,,,,,,,,,,,
,Legend,,,Local Option: Local governments set criteria.,,,,,,,,,Adpt: Program Adoption,,,,,,
,,,,,,,,,,,,,Ben: Benefit Levels,,,,,,
,,,,,,,,,,,,,Elig: Eligibility Criteria,,,,,,
,,,,,,,,,,,,,Inc: Can increase benefits or expand eligibility,,,,,,
,,,,,,,,,,,,,Dec: Can decrease benefits or reduce eligibility,,,,,,
,,,,,,,,,,,,,Both: Can increase or decrease benefits and eligibility,,,,,,
,,,,,,,,,,,,,,,,,,,
,Suggested Citation,,,,,,,,,,,,,,,,,,
,Lincoln Institute of Land Policy. 2019. Significant Features of the Property Tax. Residential Property Tax Relief Programs: Summary Table on Exemptions and Credits in 2018.,,,,,,,,,,,,,,,,,,
,https://www.lincolninst.edu/research-data/data-toolkits/significant-features-property-tax/topics/residential-property-tax-relief-programs,,,,,,,,,,,,,,,,,,
