Digital Learning Resources List,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Offline,Touchable Earth,hhttps://www.touchableearth.org/ ,Primary,"Geography, culture",English and local languages,"Where kids teach kids about the world. Taught entirely by school-age children in short videos, Touchable Earth promotes tolerance for gender, culture, and identity.",FREE,Other,
Offline,Unite for Literacy,https://www.uniteforliteracy.com/,Primary,LITERACY,English,Free texts for primary students to read. It also has the option for students to have the text read to them.,FREE This website is always free,All Rights Reserved,
Offline,UNRWA TV,https://www.youtube.com/user/unrwatv,Secondary,OTHER,Arabic,"Series of videos - some academic, some life skills. Initially, the channel will focus on lessons in math and Arabic for grades 4 to 9.","FREE youtube
",All Rights Reserved,
Offline,World101,https://world101.cfr.org/,Secondary,OTHER,English,World101 from the Council on Foreign Relations offers a growing library of multimedia resources that explain international affairs and foreign policy issues for students through entertaining and interactive storytelling.,FREE,All Rights Reserved,
Offline,Worldreader,https://www.worldreader.org/worldreader-kids/,Secondary,OTHER,Arabic,App needed for 100 titles then cost for premium packages,,Multiple Licenses (including open),
Offline,Worldreader Kids App,https://www.worldreader.org/our-solution/products/worldreader-kids/,Primary,LITERACY,"Arabic, English, Hindi","App must be downloaded from Google Play.  Free. Content in arabic, Hindi and English",FREE,,
Offline,You Tube,https://learnathome.withyoutube.com/,Tool,OTHER,"English, ASL (American sign language, japanese",Huge repository of educational voices ,FREE,All Rights Reserved,
Offline ,100 Educational YouTube Channels for Home Schooling,https://wheredmysanitygo.com/educational-YouTube-channels-for-homeschooling/?fbclid=IwAR3tUpsqLgnwnBGxAHTMo-0129W9ZP4P4uCVQwPeutR6ZONfO3V5UebbHcw,Primary,OTHER,English,YouTube channels across many different subjects for at-home learning.  free printables library,FREE you tube,unclear,
ONLINE,,,,,,,,,
Online,450 Ivy League MOOCs,https://www.freecodecamp.org/news/ivy-league-free-online-courses-a0d7ae675869/?fbclid=IwAR1a29FaGltRZ1KZlcD2uG6O1nnDftCC7ZrDm4ZkO0L4r8wbUGFSbYwFH4I,Tertiary,OTHER,English,A free list of over 400 Massive Open Online Courses from top universities.,FREE,All Rights Reserved,
Online,Academics,https://www.arcademics.com/,Primary,OTHER,English,"Boost student engagement & fact fluency with our free multiplayer educational games, math games, language arts games, and more!",FREE Always Free. Available as Applications.,All Rights Reserved,
Online,Accurate Learning Systems Corporation,http://www.mathscore.com,Primary,STEM,English,Individuals that sign up for free home version accounts can master their math facts for free. This is an important area of focus often neglected by schools. Teachers that want free full access to all of the topics for the remainder of this school year can inquire here: http://www.mathscore.com/products/online-math-practice/signup/quote/,"Not all free, but some aspects are. ",All Rights Reserved,
Online,Acessibyte,https://www.accessibyte.com/stay-safe,"Primary, Teachers, Tool",OTHER,"Vision Impaired, English","Accessibyte Online is offering free access to its entire cloud platform of apps for blind, low vision, deaf and reading impaired students. Highly visual and fully audible typing tutor, games, flash cards and study apps.","FREE Access, requires login",All Rights Reserved,
Online,"ActivEd, Inc.",http://info.activedinc.com/covid,"ECE, Primary",OTHER,English,"ActivEd, Inc. offers Walkabouts, web-based lessons for pre-K to second-grade students that integrate movement with language arts, math, and reading content and correlate to your state’s standards.",FREE Temporary access still available,All Rights Reserved,
Online,Aflatoun,https://www.aflatoun.org/goals/sustainable-development/?gclid=Cj0KCQjwjcfzBRCHARIsAO-1_Or6NCWssIVdP3G6jJctjDxy1hfsbIIOoFu-k9TSwkKoKBIvyjzEhK0aAkZREALw_wcB,Secondary,OTHER,"English, French",Aflatoun International offers social & financial education to children and young people worldwide empowering them to contribute to a more equitable future.,FREE,CC BY,
Online,African Storybook,https://www.africanstorybook.org/,"Primary, Secondary",LITERACY,Multiple,"43 Languages. Open access to picture storybooks in the many different languages of the world. For children's literacy, enjoyment, and imagination.",FREE,CC BY,
Online,Al Hakawati,http://al-hakawati.net/english/,Secondary,OTHER,Arabic,"al-hakawati is a free educational resource and reference, made possible by the Arab Cultural Trust. Our goal is to reach as wide a readership as possible, to provide each visitor to the website with a virtual library of Arab heritage, to make learning and knowledge about the Arab world available to all, and to promote understanding of Arab culture in the Arabic speaking world and in the West.",FREE,All Rights Reserved,
Online,Alawael,http://awa2el.net/ar,Secondary,OTHER,Arabic,"This is an open platform that hosts free online video lessons for grade 12 in Jordan. However, there are a few lessons found in different subjects for upper middle and lower secondary grades.",FREE,Other,
Online,Alephbeta,https://www.alephbeta.org/,Teachers,OTHER,English,"Bring the Torah to life with Aleph Beta's videos. Be excited by learning Torah, and find relevant meaning for modern-day life.",FREE,All Rights Reserved,
Online,Alison,https://alison.com/,Tool,OTHER,English,Online courses from experts,FREE Massive Online Open Course Platform,All Rights Reserved,
Online,Aljazeera/ Learning Arabic,http://learning.aljazeera.net/en,Secondary,OTHER,Arabic,This is Aljazeera's initiative for providing resources for Arabic as a foreign language learners.,FREE Free content,All Rights Reserved,
Online,All Kids Network,https://www.allkidsnetwork.com/,"ECE, Primary",OTHER,English,"We offer FREE educational resources, worksheets, writing prompts, themed coloring pages, craft and snack ideas for parents, teachers & caregivers.",FREE educational resources,All Rights Reserved,
Online,American Archive of Public Broadcasting,https://americanarchive.org,Teachers,OTHER,English,"The American Archive of Public Broadcasting (AAPB) is a collaboration between the Library of Congress and the WGBH Educational Foundation to coordinate a national effort to preserve at-risk public media before its content is lost to posterity and provide a central web portal for access to the unique programming that public stations have aired over the past 70 years. To date, over 110,000 digital files of television and radio programming contributed by more than 130 public media organizations and archives across the United States have been preserved and made accessible for long-term preservation and access. The entire collection is available on location at the Library of Congress and WGBH, and more than 52,000 files are available online at americanarchive.org.",FREE Access to thousands of historic public television and radio programs.,All Rights Reserved,
Online,American Chemistry Society,https://www.acs.org/content/acs/en/education/resources/highschool/chemmatters/articles-by-topic.html,Secondary,STEM,English ,"The American Chemical Society has ChemMatters magazines, targeted for high schoolers, available online. In addition to chemistry, there are article that are biographies of chemists, and historical articles.",FREE All The Time,All Rights Reserved,
Online,American Panorama,https://dsl.richmond.edu/panorama/,"Secondary, Teachers",OTHER,English ,Digital Atlas of America uses online GIS to explore and visualize data with maps.,FREE,All Rights Reserved,
Online,Arab Online and Computerized Exams,https://www.arab-exams.com/,Secondary,OTHER,Arabic,Platform for exams in Arabic language,FREE,All Rights Reserved,
Online,3asafeer,https://3asafeer.com/,"Primary,Secondary",OTHER,Arabic ,"Arabic  Learning Resources. App to download on PC or Ipad/Iphone. Need to be online to download lessons, which can then be played offline ",FREE,CC BY-NC-SA,
Online,Asafeer,http://3asafeer.com/,Secondary,OTHER,Arabic,Asfeer is a platform that adopts the latest research and studies in the field of Arabic language education to bring together the distinctive content of children and the useful sources of teachers to help them set all students on the path of success.,FREE,,
Online,BBC Learning,https://www.bbc.co.uk/bitesize,Secondary,OTHER,English ,"This site is old and no longer updated and yet there's so much still available, from language learning to BBC Bitesize for revision. No TV license required except for content on BBC iPlayer.",FREE,,
Online,Be Strong Online,https://www.vodafone.com/our-purpose/operating-responsibly/child-online-safety/be-strong-online,Secondary,OTHER,English,A new set of peer to peer resources to teach students how to use the internet safely and be digitally resilient.,FREE,Multiple Licenses (including open),
Online,Beed,https://www.beed.world/,Teachers,OTHER,English,"BeED is a Finnish certified pedagogically-focused platform designed to meet your school’s curricular and teaching needs. Some of the BeED features include a mobile experiential learning app, multi-blocking Curriculum Builder and interactive mapping for an engaging and flexible learning experience. A mobile platform enables educators to move beyond the closed walls of schools to conduct lessons remotely, giving students the support they need, through continual learning. Through their own mobile devices, students and teachers can carry on with their lessons, grading and personalized interaction, all from the comfort and safety of their own homes.",Free resources for schools affected by Covid-19,,
Online,"BFW - Bedford, Freeman & Worth HS Publishers",https://www.bfwpub.com/high-school/us/content/covid19,Primary,LITERACY,English,Information about viruses,FREE,All Rights Reserved,
Online,Big History Project,https://school.bighistoryproject.com/bhplive,Secondary,OTHER,English ,Online history course,FREE Always Free.,All Rights Reserved,
Online,Biology Simulations,www.biologysimulations.com,Secondary,STEM,English ,"Simulations and virtual labs for biology topics including evolution, ecology, and cellular energetics.",FREE All materials are free,CC BY-NC-SA,
Online,Blockly Games,https://blockly.games,"Secondary, Tool",OTHER,Multiple,"56 Languages. Seven levels of gamified coding and logic projects in multiple languages, produced by Google to nurture young programmers' critical thinking skills.","FREE, online resource",Public Domain,
Online,Bravo Bravo App,http://www.bravobravoapp.com/?fbclid=IwAR19pJMlFzNe0zMOqvjfzONoddmEQVvlWuz7HjeXr8FJ3Fx-_Q42qt-lLlU,TOOL,OTHER,Arabic,BravoBravo is a mobile phone and web application designed to reach a new generation of students that is increasingly immersed in technology in order to facilitate learning the Arabic language in its very important classical form. ,FREE APP,All Rights Reserved,
Online,British Council Montenegro,https://www.britishcouncil.me/en/english/mooc,"Primary, Secondary, Tertiary",LITERACY,English,MOOCs for learning English language,FREE,All Rights Reserved,
Online,Bunk History,https://www.bunkhistory.org/,Primary,OTHER,English,"Digital archive of a variety of media produced about current events, public history and government. Bunk shows connection both spatially and across historic eras.",FREE,All Rights Reserved,
Online,Campus Difusion,https://www.difusion.com/campus/,Primary,LITERACY,Spanish,"free resources for Spanish teachers and resourcesWith a free account, students and teachers can access 100% of videos, online activities, proyectable materials for the classroom, and sample units and audios of all books",FREE,All Rights Reserved,
Online,CanFigureIt Geometry,https://www.canfigureit.com/,Primary,STEM,English,"Created by teachers, this highly interactive tool provides an easy-to-use workspace where students can practice proofs while exercising their deductive reasoning muscles.",FREE,All Rights Reserved,
Online,Career Girls,https://www.careergirls.org,Secondary,OTHER,English,"CareerGirls.org is a comprehensive video-based career exploration tool for girls. It contains the largest online collection of career guidance videos focusing exclusively on diverse and accomplished women. The Career Girls collection includes video clips featuring women role models who work in hundreds of wide-ranging careers with an emphasis on Science, Technology, Engineering, and Math (STEM).","FREE, online resource",Other,
Online,CaroneLearning,https://caronelearning.com/covid-19/,Primary,OTHER,English,K-12 Health and Physical Education courses. Online Health and PE courses  for a variety of grade levels.,FREE ,All Rights Reserved,
Online,CHALK Academy,https://chalkacademy.com/,Primary,OTHER,"Cantonese, Mandarin","I have a lot of Chinese learning activities, including printable",FREE,All Rights Reserved,
Online,Choices Program's Teaching with the News,https://www.choices.edu/teaching-with-the-news/,"Primary, Teachers",OTHER,English,Many two or three-day free lessons on breaking news stories.,FREE,All Rights Reserved,
Online,Chrome Music Lab,https://musiclab.chromeexperiments.com/,Primary,OTHER,English,"Chrome Music Lab is a website that makes learning music more accessible through fun, hands-on experiments.",FREE,Other,
Online,CK-12,www.ck12.org,Secondary,OTHER,"English, Spanish","CK-12 Foundation provides a library of free online textbooks, videos, exercises, flashcards, and real world applications for over 5000 concepts from arithmetic to history.",FREE,Multiple Licenses (including open),
Online,Club SciKidz MD,http://www.clubscikidzmd.com/blog/,Primary,OTHER,English,"Daily free science or cooking experiment to do at home. Each day we will be posting a daily activity for parents and kids to do at home, mostly using things the already have at home. We’ll also include videos and other resources to extend the experiment.",FREE,All Rights Reserved,
Online,CMU CS Academy,https://academy.cs.cmu.edu/splash,Secondary,STEM,English,"We provide a free, online, interactive textbook for high school and middle school teachers to use to teach computer science in their classrooms",FREE,Other,
Online,Coloring Nature,https://www.coloringnature.org/,Primary,OTHER,English,"Coloring Nature is for children and adults. We have more than 675 FREE printable coloring pages . Our coloring categories include serious science: biomes, anatomy, animals, plants and more, plus some pure whimsy – just for fun.",FREE Always,All Rights Reserved,
Online,CommonLit (online),https://www.commonlit.org/,Primary,LITERACY,English,"Reading passages for grades 3-12, with reading comprehension and discussion questions. Also has highlighting and notes tools embedded on its passages, as well as most passages have a read aloud function. Once students are signed up on here you can track which students have completed the assignments, and what they are having trouble on. Can easily link to Google Classroom.",FREE Always,All Rights Reserved,
Online,Conjugemos,https://conjuguemos.com/,Primary,LITERACY,"Spanish, French, Greman, Portuguese, Korean, Latin","""Use without account"" option has vocabulary, grammar, listening activities and games in Spanish, French, Italian, German, Portuguese, Korean, and Latin. Also  teacher and institutional options which are paying.",FREE,All Rights Reserved,
Online,CountryReports,https://www.CountryReports.org,Teachers,OTHER,English,"CountryReports delivers unique content on Culture, Countries and Travel from around the world. Students, tourists, libraries, business and researchers appreciate our ability deliver hard to find, fun and current information. Teacher resources to do activities on countries","FREE Access to entire online database on culture, countries and travel.",All Rights Reserved,
Online,Coursera,https://www.coursera.org/,Tool,OTHER,English,Online courses taught by instructors from well recognized universities. Massive Online Open Course Platfrom,FREE,All Rights Reserved,
Online,Coursera for Refugees,https://refugees.coursera.org/,Secondary,OTHER,"Arabic, English","Coursera for Refugees provides over 1,000 live classes including hundreds of specializations and career-relevant courses such as English for Business & Entrepreneurship (University of Pennsylvania), Career Success (University of California, Irvine), and Python for Everybody (University of Michigan). ",FREE,All Rights Reserved,
Online,Crest Awards,https://www.crestawards.org,Secondary,STEM,English ,Science projects you can complete from home. Free resources for teachers at  https://library.crestawards.org/,FREE resources,CC BY-NC-ND,
Online,Curriculum Associates,https://www.curriculumassociates.com/supporting-students-away-from-school,Teachers,OTHER,English,"Free resource in the library - whitepapers, webinars, guides for teachers. (available in English and Spanish) and guidance for teachers and families to support learning at home",FREE printable K-8 Reading and Math activity packs ,All Rights Reserved,
Online,Curriki,https://www.curriki.org/,Teachers,OTHER,English,"Curriki revolutionized the way digital learning content is distributed and shared. For over 10 years we have made the best curriculum, lessons and on-demand content free, open, and accessible to all.  CurrikiStudio, a free full-service learning content authoring suite designed to help educators create dynamic and engaging curriculum online. Without any coding knowledge required, CurrikiStudio makes every aspect of the process simpler, faster, and affordable. We aim to empower educators to create, publish and evaluate immersive learning experiences online in an effort to engage students in a more meaningful way. The early success of Curriki Studio has introduced the opportunity to expand this open source project to businesses looking to engage employees and customers.",FREE Always Free,CC BY-NC,
Online,Deck.Toys,https://deck.toys/,ECE,OTHER,English,Deck.Toys is an online classroom platform that allows you to teach and engage students interactively. Your lessons become Learning Paths for Lesson Adventures! Free plan and also a paying plan,FREE,All Rights Reserved,
Online,Defined Learning,https://www.definedstem.com/elearning-projects/,Primary,STEM,English,Our hands-on projects are based on situations in STEM careers to help learners discover their passions and choose a pathway to a promising future.,FREE. A free real-world project at every grade-band.,All Rights Reserved,
Online,DeltaMath,https://deltamath.com/overview,Primary,STEM,English,"Delta Math is a free website for teachers and students covering a wide range of math content from middle school through AP Calculus. There is a Delta ""light"" which is free offering: Unlimited assignments; Unlimited student practice; 1800+ premade problem types; Autograding; Detailed student data, including: time-stamps; Evidence of student progress/learning ; Cheat prevention tools; Copy and share assignments; Google Single Sign-On (SSO)",FREE  also paying version for more options,All Rights Reserved,
Online,Devie,https://deviecoach.com/,ECE,OTHER,English,"A digital coach that supports parents to help their children grow in the early years. Devie understands parent hopes and challenges, explains relevant concepts in early childhood development, and recommends daily research-based activities parents can do at home with their little ones to keep them occupied, and support their learning.","FREE Because we are in beta, Devie is completely free",All Rights Reserved,
Online,Dictionary.com,https://www.dictionary.com/e/apps/,Secondary,LITERACY,English,"Dictionary.com's apps are free for iPhone and Android with more than 2 million definitions and synonyms, spelling and grammar tips, and more.",FREE,All Rights Reserved,
Online,Digital Learning Academy,https://schools.digitalmediaacademy.org/teachers/#signupteachers,"Primary, Teachers",STEM,English,"An online learning platform with 32 STE(A)M courses that come with lesson plans, instructions, online materials, quizzes, worksheets, and more. Digital Media Academy for Educators provides free access to their curriculum",FREE,All Rights Reserved,
Online,Digital School Syria,https://www.digitalschoolsy.com/,Secondary,OTHER,Arabic,Youtube videos in Arabic,FREE you tube,All Rights Reserved,
Online,Dingtalk,https://www.dingtalk.com/static/en/download,Tool,OTHER,English,"Communication platform that supports video conferencing, task, and calendar management, attendance",FREE,All Rights Reserved,
Online,Discovery Education,https://www.discoveryeducation.com/,"Primary, Tool ",LITERACY,English,Discovery Education Experience is an online K-12 service combining curated curriculum resources with on-demand teaching strategies. Its standards-aligned content is assignable and meets the varying needs of diverse student populations in a safe and secure environment.,FREE,All Rights Reserved,
Online,Discovery K12?,http://discoveryk12.com/dk12/,Primary,LITERACY,English,"Discovery K12 provides a complete online curriculum for pre-k to 12th grade. All main subjects are covered, plus extra curriculum courses.",FREE,All Rights Reserved,
Online,Ditch That Textbook,https://ditchthattextbook.com/,Primary,OTHER,English,Practical teaching ideas and resources that are downloadable,Some free Resources,,
Online,Doroob,https://www.doroob.sa/en/,Secondary,OTHER,Arabic,"Saudi government supported site. Free online courses for job skills. This program aims to prepare and qualify the national workforce and develop their professional skills and capabilities to enter the labor market, in accordance with its needs and requirements.",FREE,All Rights Reserved,
Online,DreamScape,https://www.squigglepark.com/dreamscape/,Primary,LITERACY,English,"Engaging reading game for grades 2-8 that combines strategy, engagement, and imaginative reading passages to create a fun, curriculum-aligned literacy game.",FREE Always ,All Rights Reserved,
Online,Duolingo,https://www.duolingo.com/,"Primary, Secondary",LITERACY,"Arabic, Spanish, French, German, Portuguese,Korean,Latin and many others",Language Learning ,"FREE paid options, but base content always free",All Rights Reserved,
Online,Dyslexia Gold,https://dyslexiagold.co.uk/supportforschools,"ECE, Primary",OTHER,English,Dyslexia Gold teaches children to read. Spelling Tutor teaches all children to spell.,FREE school license for Dyslexia Gold / Spelling Tutor,,Special ed
Online,EarlyLearn,https://www.earlylearn.co.uk,"ECE, Primary",OTHER,English,"EarlyYears Software We create independent, objective focused educational games specifically for use by children aged 3-5 in Primary School/Nursery settings. We have a wide range of educational games available which help all kinds of pupils to discover, nurture, train, shape and sharpen their young imaginative minds.","FREE resources availalbe, seem to be able to use it online but there are no instructions",All Rights Reserved,
Online,Edmodo,https://go.edmodo.com/distancelearning/,"Secondary, Teachers, Tools",OTHER,English,Edmodo gives your organization a blended learning and remote learning platform with communication and collaboration capabilities,FREE,All Rights Reserved,
Online,EdPuzzle,https://edpuzzle.com/,"Teachers, Tool",OTHER,English,"Video lesson creation software, Tool to create digital learning content; basic plan for students and teachers", FREE ,All Rights Reserved,
Online,Edraak (العربيّة),https://www.edraak.org/,"Secondary, Tool",OTHER,Arabic,Arabic & English language online education resources for school teachers and learners (MOOCs - but no certification) The Edraak platform for school education provides free educational materials in the Arabic language to support school students of all age groups,FREE,CC BY-NC-SA,
Online,EdReady,https://edready.org/home,"Primary, Secondary",OTHER,English,"EdReady offers a low-stakes knowledge inventory to personalize a learner’s path to math and English mastery within the context of a specific goal, from algebra review, to college readiness and more. EdReady™ lets you assess your readiness for college math and English, see target options, and get a personalized study path to fill in knowledge gaps.",FREE Always,All Rights Reserved,
Online,Edsitement,https://edsitement.neh.gov/,Secondary,OTHER,English,"An online repository of web materials for humanities education, developed and maintained by the National Endowment for the Humanities, a federal government agency, for the benefit of parents, students, and teachers. The text, images and other materials in the websites linked to EDSITEment were reviewed by a panel of experts and found to be educationally appropriate for users of all ages.",FREE,CC BY,
Online,EdTechTeam Free On Demand Course Bundle,https://www.edtechteam.online/distance-learning,Teachers,OTHER,English,"EdTechTeam wants to support teachers and school administrators by offering a curated collection of our On Demand Courses to help educators develop the skills and strategies required to implement learning at a distance. For schools around the world impacted by COVID-19, EdTechTeam wants to support teachers and school administrators by offering our popular On Demand Courses at no cost to help educators develop the skills and strategies required to implement learning at a distance.",FREE Online On Demand Courses,All Rights Reserved,
Online,Education Development Center (online),"https://www.edc.org/audio-now 
https://www.edc.org/sites/default/files/EDC-Audio-Now.pdf",Tool,OTHER,English,"Using audio resources/radio to respond to COVID crisis;From professional development materials for teachers to research reports for policymakers, EDC has produced hundreds of useful, innovative resources. This library contains a selection of some of our materials, including: Apps, Books, Curricula, Digital games, Reports/studies/white papers, Resource libraries, Toolkits. List of audio resources in different countries using radio ",FREE. ,,
Online,Education Galaxy,https://educationgalaxy.com/,Primary,OTHER,English,"Education Galaxy provides award-winning online assessment for students to help prepare them for state testing. Education Galaxy is built 100% to your state standards and provides a highly-engaging and amazingly effective way for students to master all their state standards. Education Galaxy is a great tier 1 solution for practice, instruction, and assessment.",FREE basic plan for teachers,All Rights Reserved,
Online ,Educational Research Center - International Arab Baccalaureate,http://www.educationalrc.org/IAB/aboutus.php#,Secondary,OTHER,Arabic,"Educational Research Center is a division of the Sayegh Company, an educational publisher based in Lebanon. The International Arab Baccalaureate (IAB) is a high-standard secondary school degree that Educational Research Center (ERC) is developing for students attending general education schools all over the Arab World. Design and delivery of IAB assessments benefit from latest advances in measurement research and technology, including an electronic assessment platform, online assessment and eventually, on-screen marking of paper tools.",UNKNOWN,All Rights Reserved,
Online,Educators 4SC,educators4sc.org,Teachers,OTHER,English,A website with compilations on how to teach using digital resources and how to teach about various difficult topics are all compiled for teachers to quickly peruse.,FREE,All Rights Reserved,
Online,Edulastic,https://edulastic.com/,Teachers,OTHER,English,"Edulastic is an online k-12 assessment tool. It allows teachers to make their own assessments and assignments or choose from over 35,000 pre-made assessments. Teachers get immediate feedback, can provide feedback to students, and can tie questions to learning standards.",FREE  lite version for teacher accounts. ,All Rights Reserved,
Online,EdX,https://www.edx.org/,"Tertiary, Tool",OTHER,English,"Take free online courses from the best universities and institutions in the world — Harvard, MIT, UC Berkeley, Microsoft, Tsinghua University, The Smithsonian and more.",FREE - Massive Online Open Course Platform,All Rights Reserved,
Online,Elementari,https://elementari.com/plans,Teachers,OTHER,English,"Elementari is a K-12 online platform to read, write, code, share, and remix interactive stories using professional illustrations and sounds",FREE lite access,All Rights Reserved,
Online,Emile,https://www.emile-education.com/learning-resources/fun-maths-games-app/,"Teacher, App",OTHER,English,Educational-games based on robust pedagogy that help build happier more engaged students who learn more efficiently ,FREE math games; fees for other materials for schools,All Rights Reserved,
Online,Empatico,https://empatico.org/,Teachers,OTHER,English,"Empatico is a free tool for educators of students ages 6-11 to connect their classrooms with others around the world. It is an all-in-one platform that has everything you need to virtually connect: live video, file sharing, a partner classroom, and activities. Great for schools that may still be in session or ones that might have had to cancel planned field trips - it is a way to connect with other classrooms around the world without having to leave the four walls of the building!",FREE It is also 100% free and always has been.,All Rights Reserved,
Online ,Enchanted Learning,http://www.EnchantedLearning.com,ECE,OTHER,English,"The Enchanted Learning website has over 35,000 K-12 pages (with a focus on elementary school) covering a wide range of topics -- information pages, printable worksheets, crafts, coloring pages, etc. Free printable materials and access to other materials for free. $20 for access to full website for one year",FREE,All Rights Reserved,
Online,Engage NY,https://www.engageny.org/resource/translated-modules,Secondary,OTHER,"English, Spanish","The New York State Education Department worked with partners to develop curriculum materials for Pre-K to 12 in both Mathematics and English Language Arts (ELA), aligned to the U.S. Common Core.",FREE access to download materials,CC BY-NC-SA,
Online,Epic!,https://www.getepic.com/,Teachers,OTHER,English,"Unlimited access to thousands of books, videos and quizzes from leading publishers to help kids everywhere read, learn and grow. Monthly fee to access the books etc.",FREE basic access - one book a day,All Rights Reserved,
Online,Et3alem,http://et3alem.com/,Secondary,OTHER,Arabic,Business courses online in Arabic and English , FREE some courses are free,All Rights Reserved,
Online,Everyday Earth,https://www.everyday-earth.com/,Primary,STEM,English,Everyday Earth is an interactive video earth science based curriculum supplement.,FREE,All Rights Reserved,
Online,Explain Everything,https://explaineverything.com/,Primary,OTHER,English,"interactive whiteboard platform. Draw, present, animate, create videos and collaborate. Explain Everything is a feature-rich powerhouse that works on virtually any device and is so easy a child could use it.",FREE basic version,All Rights Reserved,
Online,Exploratorium,https://www.exploratorium.edu/learn,Primary,STEM,English,"Science tools and experiences helping students become active explorers: hundreds of explore-for-yourself exhibits, activities, videos, and much more. Appropriate for all ages of students, as supplementary, hands-on demonstration of scientific principles.",FREE,All Rights Reserved,
Online,Exploring Nature Educational Resource,www.exploringnature.org,Primary,STEM,English,"ExploringNature.org is a science education website with more than 6,000 pages of illustrated Life Science, Earth Science, Physical Science, Biology, Anatomy, Ecology resources for K-12. Subscribers can access science content, activities, investigations, posters, diagrams, worksheets, testing and Next Generation Science Standard integration. Our science store also sells picture books, posters, flip charts, science kits, and downloadable bundles.","FREE Most resources can be accessed without a subscription, but email for a FREE 30-day trial any time as well. The subscription is annual and minimal",All Rights Reserved,
Online,FeedbackFruits,https://feedbackfruits.com/home,"Teachers, tools",OTHER,English,FeedbackFruits Interactive Video tool allows teachers (university level) to ask questions or start discussions at any point of a video that they upload in the tool within the LMS. The video can be self-recorded or found on platforms such as Youtube and Vimeo. The students can interact with each other and work in groups within the tool.,FREE ACCESS: Lifelong free access to FeedbackFruits tool suite for passionate educators if selected,All Rights Reserved,
Online,Floop,https://www.floopedu.com/,Secondary,STEM,English,"Floop is a web-based tools for providing fast, effective teacher and peer feedback on digital and paper-based work. It's an English language based app designed for 5-12th grade students.",FREE Basic version ; institutions have to pay,All Rights Reserved,
Online,Fluent Key - Colombe,https://fluentkey.com/blog/coronavirusinformation/,Teachers,OTHER,English,"FluentKey helps language teachers make listening fun and meaningful by turning real-life videos into an interactive game. They have hundreds of authentic videos in Chinese, English, French, and Spanish. You can play FluentKey Live with your students in real time or create assignments for them to complete on their own time. Made by language teachers for language teachers . Free version and also a pro subscription version.",FREE ,All Rights Reserved,
Online,Formative,https://goformative.com/,Teachers,OTHER,English,"Formative enables teachers to build their own assessments and assignments, or pull and customize “formatives” from our Library of thousands of pre-made materials. Educators can act on live student responses to intervene as needed; give feedback and auto-grade students’ work; track student growth over time; visualize student performance across assignments/assessments; and easily integrate supportive tools, like Google Classroom, Flipgrid, Desmos, Padlet and other resources.  Free version and paying partner option also",FREE ,All Rights Reserved,
Online,Fortune Cookie Mom,https://fortunecookiemom.com/chinese-resource-library/,Teachers,OTHER,English,"This is a FREE Chinese Resource Library that contains different Chinese Theme Packs, crafts, and printable for anyone to use.",FREE ,All Rights Reserved,
Online,Freckle,https://www.freckle.com/,Teachers,OTHER,English,"Self-paced exercises that meet students exactly where they are.
K-12 coverage of standards and skills; Math: Accelerate literacy equitably with differentiated resources.
ELA: Over 1,000 nonfiction and fiction passages. Free and premium options",FREE  ,All Rights Reserved,
ONLINE,Free Online Ivy League Courses,https://www.classcentral.com/collection/ivy-league-moocs?page=2,Tertiary,OTHER,English,Over 500 college level courses free to the public,FREE,All Rights Reserved,
ONLINE,Funzi,https://www.funzi.fi/,Tool,OTHER,English,Software that gives smartphones capabilities to smart phones ,,All Rights Reserved,
Online,Fun Based Learning,FunBasedLearning.com,"Primary, Teachers",STEM,English,"Former math & science teacher makes story tutorials and fun games to teach the hard concepts. Can you pick the right (x,y) coordinate for Whack-A-Mole? Fly a dragon to get gems with y=mx+b? Or balance chemical equations? Used by teachers since 1995, 60 million pageviews. Math, science, chemistry.",FREE,All Rights Reserved,
Online,FutureLearn For Refugees ,https://www.futurelearn.com/courses/collections/refugees-displaced-people,Tool,OTHER,English/Arabic,"Free online courses for refugees, internally displaced people and the communities supporting them. English with Arabic translation support. Massive Online Open Course Platfrom",FREE ,,
Online,Gamilab (Tool),https://gamilab.com/,Secondary,OTHER,English,It is a platform where anyone can find or create their own simple learning games and the version we have now are always free for schools.,FREE Always ,All Rights Reserved,
Online,Geeksie,https://www.geekie.com.br/,Tool,OTHER,English,Portugues language web based platform providing personalized education ,FREE,All Rights Reserved,
Online,Genially,https://doitgenially.com/en/premium-templates-now-available-for-free-for-everyone-forever-genially-aims-to-facilitate-remote-and-distance-learning/,Secondary,OTHER,English,"Create stunning presentations, infographics, and more in just seconds. premium templates now available for everyone",FREE   ,All Rights Reserved,
Online,Global Voices Arabic Lingua,https://ar.globalvoices.org/,Secondary,OTHER,Arabic,Stories from around the world translated into Arabic by a volunteer translator community.,FREE,CC BY,
Online,Global Youth Communities,https://www.globalcommunities.org/ylc,Secondary,OTHER,Multiple,"Started in the West Bank and Gaza, this toolkit is designed to support the facilitation of Local Youth Councils, groups of young leaders from ages 15-20 who can organize to facilitate self-governance in their communities. Around the world, Youth Local Councils are helping youth build a better future and advance the stability of their communities by promoting democratic and good governance practices, holding their elected local officials accountable and ensuring transparent government practices.",FREE,All Rights Reserved,
