"MonthlyReportonEngineeringQualityStatus-ReportingUnit:ChongqingXiushanLongyangConstructionCo.,Ltd.-EngineeringProjectName-UnitProjectName",MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName,MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName.1,MonthlyReportonEngineeringQualityStatus-Maininspectionitems-Maininspectionitems,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%.1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections,MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections.1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Qualifiedquantity,MonthlyReportonEngineeringQualityStatus-2012.6.30-Qualifiedquantity,MonthlyReportonEngineeringQualityStatus-2012.6.30-First-timepassrate%-First-timepassrate%,MonthlyReportonEngineeringQualityStatus-2012.6.30-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.1,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.2
,,,Roof Waterproofing Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Indoor Water Supply and Drainage Pipeline Installation Project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Indoor electrical wiring installation project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Spherical Tank Engineering,Spherical Tank Engineering,Spherical Shell Plate Arrival Inspection and Non-Destructive Testing,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Welding Material Delivery Inspection and Re-inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Sphere Tank Assembly Geometric Dimension Inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Sphere Tank Welding Quality Inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Spherical Tank Heat Treatment,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pressure Test,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Foundation Settlement Observation,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Painting and thermal insulation inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Ladder platform and accessories inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,"11# Building, 6# Building, 10# Building, 8# Building Foundation Project","11# Building, 6# Building, 10# Building, 8# Building Foundation Project",Wall protection quality,100,100 ,288,288 ,268,268 ,91.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,"11# Building, 6# Building, 10# Building, 8# Building Foundation Project","11# Building, 6# Building, 10# Building, 8# Building Foundation Project","8# Building, 11# Building, 6# Building Rock Embedment",100,100 ,220,220 ,210,210 ,93.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,"11# Building, 6# Building, 10# Building, 8# Building Foundation Project","11# Building, 6# Building, 10# Building, 8# Building Foundation Project","8# Building, 11# Building 6# Building Core Sampling",10,10 ,220,220 ,220,220 ,100.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,"11# Building, 6# Building, 10# Building, 8# Building Foundation Project","11# Building, 6# Building, 10# Building, 8# Building Foundation Project","8# Building, 10# Building Reinforcement Cage",100,100 ,136,136 ,134,134 ,98.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,"11# Building, 6# Building, 10# Building, 8# Building Foundation Project","11# Building, 6# Building, 10# Building, 8# Building Foundation Project",8# and 10# Building Pile Core Concrete Pouring,100,100 ,136,136 ,136,136 ,100.0,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,"11# Building, 6# Building, 10# Building, 8# Building Foundation Project","11# Building, 6# Building, 10# Building, 8# Building Foundation Project",,,,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,,,,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,,,,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,,,,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
Monthly Quality Evaluation Status of Unit Engineering Projects,Serial Number,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,Construction area,Construction area,Installation quantity,Installation quantity,Unit Project Start and Completion,Unit Project Start and Completion,Unit Project Start and Completion,Quality Evaluation Grade,Quality Evaluation Grade,Evaluation Date,Remark
Monthly Quality Evaluation Status of Unit Engineering Projects,Serial Number,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,（m2）,（m2）,"(10,000 yuan)","(10,000 yuan)",Time,Time,Time,Quality Evaluation Grade,Quality Evaluation Grade,Evaluation Date,Remark
Monthly Quality Evaluation Status of Unit Engineering Projects,1,"Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop","Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop","Chongqing Xiushan Industrial Park 200,000 Square Meter Standard Workshop",,,,,,,,,,,
Monthly Quality Evaluation Status of Unit Engineering Projects,2,,,,,,,,,,,,,,
Monthly Quality Evaluation Status of Unit Engineering Projects,3,,,,,,,,,,,,,,
Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,Prepared by:                         Reviewed by:,,
Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,Project Leader:                       Project Manager:,,
