"MonthlyReportonEngineeringQualityStatus-ReportingUnit:GuangxiJiaxunPipelineEngineeringCo.,Ltd.-EngineeringProjectName-UnitProjectName",MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName,MonthlyReportonEngineeringQualityStatus-Sub-projectName-Sub-projectName.1,MonthlyReportonEngineeringQualityStatus-Maininspectionitems-Maininspectionitems,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%,MonthlyReportonEngineeringQualityStatus-InspectionRatio%-InspectionRatio%.1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections-(Unit),MonthlyReportonEngineeringQualityStatus-RecordTime:-Numberofinspections-(Unit).1,MonthlyReportonEngineeringQualityStatus-RecordTime:-Qualifiedquantity-(Unit),MonthlyReportonEngineeringQualityStatus-2011.6.1-Qualifiedquantity-(Unit),MonthlyReportonEngineeringQualityStatus-2011.6.1-First-timepassrate%-First-timepassrate%,MonthlyReportonEngineeringQualityStatus-2011.6.1-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-FinalPassRate%-FinalPassRate%,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.1,MonthlyReportonEngineeringQualityStatus-MonthlyQualityTrendsandMajorQualityIssues-MonthlyQualityTrendsandMajorQualityIssues.2
,,,Sacrificial Anode Cathodic Protection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Station and Valve Room Engineering,Station and Valve Room Engineering,Trench Excavation,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipeline Installation,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipeline Welding,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipe Splicing and Repair,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pipe trench backfilling,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Valve chamber installation and waterproofing,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Buildings with a construction area less than 60 m²,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Construction Engineering,Construction Engineering,Earthwork Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Foundation Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Cast-in-place Reinforced Concrete Main Structure Project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Masonry Work,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Indoor preliminary decoration project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Window and Door Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Roof Waterproofing Engineering,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Indoor Water Supply and Drainage Pipeline Installation Project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Indoor electrical wiring installation project,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Spherical Tank Engineering,Spherical Tank Engineering,Spherical Shell Plate Arrival Inspection and Non-Destructive Testing,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Welding Material Delivery Inspection and Re-inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Sphere Tank Assembly Geometric Dimension Inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Sphere Tank Welding Quality Inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Spherical Tank Heat Treatment,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Pressure Test,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Foundation Settlement Observation,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Painting and thermal insulation inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,,,Ladder platform and accessories inspection,100,100 ,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Yard Engineering,Yard Engineering,Trench Excavation,100,100 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Yard Engineering,Yard Engineering,Pipeline Welding,100,100 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Yard Engineering,Yard Engineering,Overhead pipe installation,80,80 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Yard Engineering,Yard Engineering,Pipe Splicing and Repair,,,,,,,,,,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Yard Engineering,Yard Engineering,Pipe trench backfilling,100,100 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Yard Engineering,Yard Engineering,"Pigging, blowing, and pressure testing",100,100 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Household Engineering,Household Engineering,Installation Quality Inspection,45,45 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Household Engineering,Household Engineering,Tightness Test Inspection,100,100 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
,Household Engineering,Household Engineering,Pipeline Anti-Corrosion Quality,35,35 ,,,,,,100,100 ,"The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues.","The quality this month is excellent or above, with no major quality issues."
Monthly Quality Evaluation Status of Unit Engineering Projects,Serial Number,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,Construction area,Construction area,Installation quantity,Installation quantity,Unit Project Start and Completion,Unit Project Start and Completion,Unit Project Start and Completion,Quality Evaluation Grade,Quality Evaluation Grade,Evaluation Date,Remark
Monthly Quality Evaluation Status of Unit Engineering Projects,Serial Number,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,Engineering Name and Unit Engineering Name,（m2）,（m2）,"(10,000 yuan)","(10,000 yuan)",Time,Time,Time,Quality Evaluation Grade,Quality Evaluation Grade,Evaluation Date,Remark
Monthly Quality Evaluation Status of Unit Engineering Projects,,Siyuan South Road,Siyuan South Road,Siyuan South Road,,,0,0 ,Completed on 2011.05.26,Completed on 2011.05.26,Completed on 2011.05.26,,,,
Monthly Quality Evaluation Status of Unit Engineering Projects,,Wuhua Avenue,Wuhua Avenue,Wuhua Avenue,,,23,23 ,Start of construction: 2011.05.08,Start of construction: 2011.05.08,Start of construction: 2011.05.08,,,,
Monthly Quality Evaluation Status of Unit Engineering Projects,,,,,,,,,,,,,,,
Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,Prepared by: Liu Meitong                       Reviewed by: Zhao Haibo,,
Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,Project Leader: Wang Libo                      Project Manager: Zhao Kaiqian,,
