Unnamed: 0,Unnamed: 1,"PRC 181
TOTAL ALLOTMENT","PRC 181
TOTAL EXPENDITURES",Unnamed: 4,Unnamed: 5,"PRC 181
OVERSPENT","PRC 181
REQUIRED SET-ASIDE","PRC 181
EXPENDITURES","PRC 181
EXPENDITURES.1",Unnamed: 10,"Activities or interventions the PSU implemented to satisfy the PSU'S required 20% Set-Aside for Learning Loss
PRC 181 LEARNING LOSS ONLY
FROM 7/1/2023 TO 3/31/2025",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
13B,Cabarrus Charter Academy,594190.42,230210.66,248074.46,115905.3,0,0,0,0,0,,,,,,,,,,,,,,,,
13C,Ace Academy,464311.27,393429.94,70881.33,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13D,Concord Lake Steam Academy,584444.43,77223.07,389279.61,117941.75,0,0.132130611630604,77223,77223,0,,,,,,,,,,,,,,,,
140,Caldwell County,20442543.01,7889427.73,10807294.69,1745820.59,0,0.0883635171571543,1806375,1806375,0,,,,,,,,,,,,,,,,
150,Camden County,1123421.51,833974.87,179944.29,109502.35,0,0.073593810750517,82676.87,82676.87,0,,,,,,,,,,,,,,,,
160,Carteret County,13905022.13,8116456.10999999,5132092.64,656473.38,0,0.207605638668624,2886761,2886761,0,,,,,,,,,,,,,,,,
16B,Tiller School,214303.22,214303.22,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
170,Caswell County,6494381.79,3824544.71,1835091.77,867423.65,-32678.339999998,0.116078793082474,753860,753860,0,,,,,,,,,,,,,,,,
180,Catawba County,27208702.04,20601894.34,6606807.7,0,0,0.0569815861749207,1550395,1550395,0,,,,,,,,,,,,,,,,
181,Hickory City,8578220.23,3225788.43,3640906.89,1766306.27,-54781.3599999994,0.249171266613657,2137446,2137446,0,,,,,,,,,,,,,,,,
182,Newton-Conover,5522918.6,2618654.41,2888014.19,16250,0,0.068258293721729,376985,376985,0,,,,,,,,,,,,,,,,
190,Chatham County,12091322.51,12091322.51,0,0,0,0.167890319551157,2030016,2030016,0,,,,,,,,,,,,,,,,
200,Cherokee County,8055472.14,6173813.71,919876.02,961782.41,0,0.0105226606866522,84765,84765,0,,,,,,,,,,,,,,,,
20A,The Learning Center,365722.1,365722.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
210,Chowan County,5074853.45,2414786.3,2471841.98,188225.17,0,0.134417083512037,682147,682147,0,,,,,,,,,,,,,,,,
220,Clay County,2951408.35,1898094.11,1024322.24,28992,0,0.0109185162398826,32225,32225,0,,,,,,,,,,,,,,,,
230,Cleveland County,38458471.69,13323522.41,22491783.98,2643744.75,-579.450000010431,0.092454557962181,3555661,3555661,0,,,,,,,,,,,,,,,,
23A,Pinnacle Classical Academy,714323.58,203729.94,416831.4,93762.24,0,0.0555056575340828,39649,39649,0,,,,,,,,,,,,,,,,
240,Columbus County,18107756.1,8664161.1,6539549.36,2904022.54,23.1000000089407,0.0576710076186635,1044292.54,1044292.54,0,,,,,,,,,,,,,,,,
241,Whiteville City,8210113.87,4118709.85,3395472.19,695931.83,0,0.203909230311321,1674118,1674118,0,,,,,,,,,,,,,,,,
24B,Thomas Academy,256517.68,226571.35,29946.33,0,0,0,0,0,0,,,,,,,,,,,,,,,,
24N,Classical Char Sch Of Whitev,2795559.47,1426575.34,1368984.13,0,0,0,0,0,0,,,,,,,,,,,,,,,,
250,New Bern-Craven,34679729.75,20938098.24,12938740.1,802891.41,0,0.129827885985761,4502396,4502396,0,,,,,,,,,,,,,,,,
260,Cumberland County,127241239,77429820.04,33982754.82,15826750.32,1913.82000000775,0.220782383296346,28092624,28092624,0,,,,,,,,,,,,,,,,
26B,Alpha Academy,1951379.12,178987.02,832138.95,940253.15,0,0.0917233346229512,178987,178987,0,,,,,,,,,,,,,,,,
26C,The Capitol Encore Academy,737051.31,737051.31,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
270,Currituck County,4032268.78,2041104.46,1770026.54,220276.09,861.689999999944,0.133351973625131,537711,537711,0,,,,,,,,,,,,,,,,
280,Dare County,5227460.33,2899687.83,2153064.87,174707.63,0,0.269515579470691,1408882,1408882,0,,,,,,,,,,,,,,,,
290,Davidson County,29488001.28,21178993.9,5185578.87,3123428.51,0,0.118532482646447,3495286,3495286,0,,,,,,,,,,,,,,,,
291,Lexington City,10490620.25,7104101.3,1903620.16,1476002.47,6896.31999999657,0.162971298098413,1709670,1709670,0,,,,,,,,,,,,,,,,
292,Thomasville City,9685093.36,4772167.91,2269470.08,2643506.03,-50.660000000149,0,0,0,0,,,,,,,,,,,,,,,,
295,Innovative School District,712088.15,712088.15,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
29A,Davidson Charter Academy Cfa,370152.1,370152.1,0,0,0,0.552008215001347,204327,204327,0,,,,,,,,,,,,,,,,
300,Davie County,8071621.19,5184809.27,2475497.29,411327.89,-13.2600000007078,0.136784417158705,1104072,1104072,0,,,,,,,,,,,,,,,,
310,Duplin County,26237894.05,13084533.72,5991051.64,7162309.07,-0.379999991506338,0.023671373884521,621087,621087,0,,,,,,,,,,,,,,,,
320,Durham Public Sch,104576010.18,42637803.89,52007094.3,10326021.99,-394910,0.0479965146056024,5019284,5019284,0,,,,,,,,,,,,,,,,
32A,Maureen Joy Charter School,1772797.26,1155719.49,617077.77,0,0,0,0,0,0,,,,,,,,,,,,,,,,
32B,Durham Charter School,1698119.57,1625235.3,72884.27,0,0,0.0582279373884137,98878,98878,0,,,,,,,,,,,,,,,,
32C,Carter Community School,922122.42,620964.82,301157.6,0,0,0.250011272906693,230541,230541,0,,,,,,,,,,,,,,,,
32D,Kestrel Heights School,685097.1,282717.1,346675.09,55704.91,0,0,0,0,0,,,,,,,,,,,,,,,,
32H,Research Triangle Charter Ac,1234248.83,341216.72,203848.97,689183.14,0,0.0466340324584306,57558,57558,0,,,,,,,,,,,,,,,,
32K,Central Park School For Child,363663.85,363663.85,0,0,0,0.550978602904853,200371,200371,0,,,,,,,,,,,,,,,,
32L,Voyager Academy Charter,500026,211057.63,288968.37,0,0,0.152626063444701,76317,76317,0,,,,,,,,,,,,,,,,
32M,Global Scholars Academy Chart,814976.25,542901.61,272074.64,0,0,0.0736217773217318,60000,60000,0,,,,,,,,,,,,,,,,
32P,The Institute For The Develop,1138379.06,8555,472878.2,656945.86,0,0,0,0,0,,,,,,,,,,,,,,,,
32Q,Reaching All Minds Academy,256512.43,22000,190578.18,43934.25,0,0.0857658242916337,22000,22000,0,,,,,,,,,,,,,,,,
32S,Kipp Durham College Prep,1279275.64,739386.84,539888.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
32T,Discovery Charter School,237037.2,217584.21,19452.99,0,0,0.592830998678688,140523,140523,0,,,,,,,,,,,,,,,,
330,Edgecombe County,19510650.46,10872642.75,6373895.64,2334315.32,-70203.25,0.0706651478804669,1378723,1378723,0,,,,,,,,,,,,,,,,
33A,North East Carolina Prep,1701365.81,1171506.25,529859.56,0,0,0.146940768722748,250000,250000,0,,,,,,,,,,,,,,,,
340,Forsyth County,148917276.46,102881057.38,45117519.63,4462985.72,-3544286.27000004,0.278955511324827,41541295,41541295,0,,,,,,,,,,,,,,,,
34B,Quality Education Academy,2089341.82,1033811.56,753689.92,301840.34,0,0,0,0,0,,,,,,,,,,,,,,,,
34D,Carter G Woodson Schl Challg,1455977.7,1254655.34,1633.3,27504.66,172184.4,0,0,0,0,,,,,,,,,,,,,,,,
34F,Forsyth Academies,1534878.87,687001.75,435091.12,412786,0,0.00680965788525058,10452,10452,0,,,,,,,,,,,,,,,,
34G,Arts-Based Elementary,207814.97,207814.97,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
34Z,Appalachian St Univ Academy,1276098,705306.28,476657.51,95924.73,-1790.52000000002,0.260943125057793,332989,332989,0,,,,,,,,,,,,,,,,
350,Franklin County,20286397.41,10837996.72,9297442.48,150958.21,0,0.121188693601561,2458482,2458482,0,,,,,,,,,,,,,,,,
35A,Crosscreek Charter,399374.32,278736.37,96538.18,24099.77,0,0,0,0,0,,,,,,,,,,,,,,,,
360,Gaston County,69745828.32,44759267,24985958.47,0,602.849999964237,0.139235323945752,9711083,9711083,0,,,,,,,,,,,,,,,,
36B,Piedmont Community School,1246807.17,649748.48,581138.25,15920.44,0,0,0,0,0,,,,,,,,,,,,,,,,
36C,Mountain Island Charter Sch,237031.95,156213.81,80818.14,0,0,0.199998354652189,47406,47406,0,,,,,,,,,,,,,,,,
36F,Ridgeview Charter School,881994.47,516845.59,365148.88,0,0,0,0,0,0,,,,,,,,,,,,,,,,
370,Gates County,2629965.6,1642608.76,783976.76,203380.08,0,0.099776970466838,262410,262410,0,,,,,,,,,,,,,,,,
380,Graham County,2816446.62,1859034.58,820169.25,150626.34,-13383.5499999998,0.0128154390513533,36094,36094,0,,,,,,,,,,,,,,,,
390,Granville County,13396556,5530757.19,7215387.42,647713.07,2698.31999999657,0.101730922484854,1362844,1362844,0,,,,,,,,,,,,,,,,
39A,Falls Lake Academy,168847.75,168847.75,0,0,0,0.520759086218205,87929,87929,0,,,,,,,,,,,,,,,,
400,Greene County,12741987.89,5947068.63,6337620.05,457299.21,0,0.127170031394528,1620399,1620399,0,,,,,,,,,,,,,,,,
410,Guilford County,199263097.93,77366442.4699997,109148309.9,12461613.77,286731.79000029,0.0931139392729806,18554172,18554172,0,,,,,,,,,,,,,,,,
41B,Greensboro Academy,133132.03,132917,215.030000000001,0,0,0,0,0,0,,,,,,,,,,,,,,,,
41C,Guilford Charter School,1191610.96,790316.68,376008.01,25286.27,0,0,0,0,0,,,,,,,,,,,,,,,,
41D,Phoenix Academy,748513.93,90674.96,57.29,657781.68,0,0.0220891012676277,16534,16534,0,,,,,,,,,,,,,,,,
41F,Triad Math And Science,2681919.8,1475666.56,1051220.96,155032.28,0,0.33842473589255,907628,907628,0,,,,,,,,,,,,,,,,
41H,The College Preparatory & Lea,2665685.57,2079851.67,585833.9,-40,39.9999999995343,0.431286800265794,1149675,1149675,0,,,,,,,,,,,,,,,,
41J,Summerfield Charter Academy,106720.62,113651.55,0,-6930.93,0,0,0,0,0,,,,,,,,,,,,,,,,
41K,Piedmont Classical High Sch,399374.32,308702.89,90671.43,0,0,0.000250391662638699,100,100,0,,,,,,,,,,,,,,,,
41L,Gate City Charter Academy,1038575.73,590397.1,21126.49,427052.14,0,0.0634609476191014,65909,65909,0,,,,,,,,,,,,,,,,
41M,Next Generation Academy,928615.91,928615.91,0,0,0,0.0612869103222666,56912,56912,0,,,,,,,,,,,,,,,,
41R,Summit Creek Academy,698901.98,78307.86,225741.26,394852.86,0,0.0655914581898881,45842,45842,0,,,,,,,,,,,,,,,,
420,Halifax County,15494031.37,2495505.32,6776420.02,5816941.67,405164.359999996,0,0,0,0,,,,,,,,,,,,,,,,
421,Roanoke Rapids City,7071071.9,4538521.14,1801943.01,730607.75,0,0.0685473160016942,484703,484703,0,,,,,,,,,,,,,,,,
422,Weldon City,5659287,3123415.92,2221551.6,314322.81,-3.32999999914318,0.113995455611281,645133,645133,0,,,,,,,,,,,,,,,,
42A,Kipp Halifax College Preparat,1704613.06,835303.23,869309.83,0,0,0,0,0,0,,,,,,,,,,,,,,,,
42B,Hobgood Charter School,162354.26,162354.26,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
430,Harnett County,48271740.42,21658076.65,18812556.12,7801107.65,0,0.176563428744093,8523024,8523024,0,,,,,,,,,,,,,,,,
43D,Achievement Charter Academy,84434.57,84434.57,0,0,0,0.178966979994095,15111,15111,0,,,,,,,,,,,,,,,,
440,Haywood County,14110867.7,4299914.65,6423516.86,3387436.19,0,0.133295771740529,1880919,1880919,0,,,,,,,,,,,,,,,,
44A,Shining Rock Classical Acad,337683.62,273144.42,64539.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
450,Henderson County,22351404.31,8367582.96,6981813.74999999,7002007.6,0,0.0843100493313031,1884448,1884448,0,,,,,,,,,,,,,,,,
45B,Fernleaf Community Charter,146120.02,146120.02,0,0,0,0.508041266350771,74235,74235,0,,,,,,,,,,,,,,,,
460,Hertford County,9350970.13,3478842.47,4491884.14,1380243.52,0,0.110381274418636,1032172,1032172,0,,,,,,,,,,,,,,,,
470,Hoke County,20498030.38,15917080.84,2995000.68,1585948.86,0,0,0,0,0,,,,,,,,,,,,,,,,
480,Hyde County,1789031.5,901448.22,779329.98,108253.3,0,5.65222020964975e-05,101.12,101.12,0,,,,,,,,,,,,,,,,
490,Iredell-Statesville,32449122,23874331.63,7300449.56,1274340.81,0,0.05847643581851,1897509,1897509,0,,,,,,,,,,,,,,,,
491,Mooresville City,5224208.83,4592141.76,632022.91,44.16,0,0.120352386449299,628746,628746,0,,,,,,,,,,,,,,,,
49B,American Renissance Middle Sch,321454.63,235011.16,61686.92,24756.55,0,0,0,0,0,,,,,,,,,,,,,,,,
49D,Success Institute,366905.85,349560.61,17345.24,0,0,0,0,0,0,,,,,,,,,,,,,,,,
49F,Langtree Charter Academy,152613.51,11730.15,94163.28,46720.08,0,0.0768608231342035,11730,11730,0,,,,,,,,,,,,,,,,
49G,Iredell Charter Academy,480545.51,161391.54,334295.05,59103.47,-74244.5499999999,0.181350149333411,87147,87147,0,,,,,,,,,,,,,,,,
500,Jackson County,7802217.84,5483319.93,2222187.18,97407.56,-696.829999997281,0.0783241396910292,611102,611102,0,,,,,,,,,,,,,,,,
50Z,Catamount School,6505.3,4306,1910.96,288.34,0,0,0,0,0,,,,,,,,,,,,,,,,
510,Johnston County,65765175.16,12801413.7,32136469.46,20827292,0,0,0,0,0,,,,,,,,,,,,,,,,
51A,Neuse Charter School,594190.42,124005.76,470184.66,0,0,0.1135090666726,67446,67446,0,,,,,,,,,,,,,,,,
51B,Johnston Charter Academy,162354.26,162354.26,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
520,Jones County,3578050.11,1993217.76,1071301.59,513530.76,0,0.205071471176238,733756,733756,0,,,,,,,,,,,,,,,,
530,Lee County,18997204.34,15031109.08,3966283.83,-188.57,0,0.0554567388519231,1053523,1053523,0,,,,,,,,,,,,,,,,
53B,Ascend Leadership Aca: Lee Co,64844,64844,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
53C,Mina Charter School Of Lee Co,743540.56,743540.56,0,0,0,0.643675712862255,478599,478599,0,,,,,,,,,,,,,,,,
540,Lenoir County,31586243.98,5347674.32,16162862.6,9823826.65,251880.41,0.000289651406662756,9149,9149,0,,,,,,,,,,,,,,,,
54A,Children'S Village Academy,694837.85,694837.85,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
550,Lincoln County,15666114.49,10651128.53,4426376.46,591673.52,-3064.02000001259,0,0,0,0,,,,,,,,,,,,,,,,
55A,Lincoln Charter School,360412.35,204310.13,156102.22,0,0,0.2697243865256,97212,97212,0,,,,,,,,,,,,,,,,
55B,West Lake Preparatory Academy,178588.49,81401.47,86525.48,10661.54,0,0.455802050848854,81401,81401,0,,,,,,,,,,,,,,,,
560,Macon County,10510095.49,5573587.83,4936507.65999999,-31.0600000000001,31.0600000061095,0.0240152908448979,252403,252403,0,,,,,,,,,,,,,,,,
570,Madison County,5626823.77,4739077.17,887746.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
580,Martin County,9155072.39,2879702.76,3907945.88,2367423.75,0,0.0108350863624356,99196,99196,0,,,,,,,,,,,,,,,,
58B,Bear Grass,224049.21,190846.88,33202.33,0,0,0,0,0,0,,,,,,,,,,,,,,,,
590,Mcdowell County,13065376.76,6289856.18,3743429.64,3032090.94,0,0.18205116038307,2378567,2378567,0,,,,,,,,,,,,,,,,
600,Charlotte-Meck,319133949.54,156590175.31,138305878.23,24237896,0,0.120541694343235,38468947,38468947,0,,,,,,,,,,,,,,,,
60B,Sugar Creek Charter School,4613801.31,3170586.19,1443215.12,0,0,0,0,0,0,,,,,,,,,,,,,,,,
60G,Queens Grant Community School,467517.59,360622.55,0,106895.04,0,0,0,0,0,,,,,,,,,,,,,,,,
60J,Socrates Academy,87676.57,82707.43,4969.14,0,0,0,0,0,0,,,,,,,,,,,,,,,,
60K,Charlotte Secondary,363663.85,330312.08,28682.92,4668.85,0,0,0,0,0,,,,,,,,,,,,,,,,
60L,Kipp Charlotte Charter School,3126738.71,1304358.66,1487630.54,334749.51,0,0,0,0,0,,,,,,,,,,,,,,,,
60N,Aristotle Preparatory Academy,487039.01,198034.08,141460.24,130424.21,17120.48,0,0,0,0,,,,,,,,,,,,,,,,
60P,Eastside Stream Academy,359822.31,359822.31,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
60Q,Invest Collegiate,1135490.54,1135490.54,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
60U,Commonwealth High School,1302003.37,396072.71,415990.48,489940.18,0,0.102837675450871,133895,133895,0,,,,,,,,,,,,,,,,
60Y,Pioneer Springs Community Sch,58455.34,58455.34,0,0,0,0.00160806523407442,94,94,0,,,,,,,,,,,,,,,,
60Z,Niner University Elementary,324696.63,319455.52,5241.11,0,0,0,0,0,0,,,,,,,,,,,,,,,,
610,Mitchell County,4013133.52,718997,3294136.52,0,0,0,0,0,0,,,,,,,,,,,,,,,,
61K,United Community School,165600.5,165600.5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
61L,Stewart Creek High School,490291.5,257912.86,216119.72,16258.92,0,0.206438414698195,101215,101215,0,,,,,,,,,,,,,,,,
61M,Charlotte Lab School,133132.03,133132.03,0,0,0,0.359057095426247,47802,47802,0,,,,,,,,,,,,,,,,
61N,The Math & Science Acad,360412.35,327315.62,15599.51,17497.22,0,0.308796299571865,111294,111294,0,,,,,,,,,,,,,,,,
61P,Veritas Community School,250018.94,240951.21,9094.43,0,-26.6999999999825,0,0,0,0,,,,,,,,,,,,,,,,
61Q,Mallard Creek Stem Academy,487044.25,465217.96,21826.29,0,0,0.345506594113369,168277,168277,0,,,,,,,,,,,,,,,,
61R,Matthews Charter Academy,445433.82,290466.08,22512.18,132455.56,0,0.0127920237399127,5698,5698,0,,,,,,,,,,,,,,,,
61T,Movement School,1461099.5,1095163.73,354681.21,11254.56,0,0,0,0,0,,,,,,,,,,,,,,,,
61U,Uproar Leadership Academy,332706.07,332706.07,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
61V,Bonnie Cone Classical Academy,435094.29,256895.32,152268.79,25940.24,-10.0599999999977,0.000229835238701937,100,100,0,,,,,,,,,,,,,,,,
61W,East Voyager Academy,120145.04,120145.04,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
61X,Jackson Day School,103910.8,103910.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
61Y,Steele Creek Preparatory Aca,1643817.86,44435.62,803361.22,817683.79,-21662.77,0.0138531163057201,22772,22772,0,,,,,,,,,,,,,,,,
620,Montgomery County,9480844.03,5818306.9,2802978.67,861582.08,-2023.62000000104,0.0691208502034602,655324,655324,0,,,,,,,,,,,,,,,,
62A,Tillery Charter Academy,263005.93,167443.47,87851.95,7710.51,0,0,0,0,0,,,,,,,,,,,,,,,,
62J,Southwest Charlotte Stem Acad,551975.96,275210.37,276765.59,0,0,0,0,0,0,,,,,,,,,,,,,,,,
62K,Movement School Eastland,782507.78,761271.39,21236.39,0,0,0,0,0,0,,,,,,,,,,,,,,,,
630,Moore County,17592884.31,10857482.34,1751027.75,4973566.87,10807.3499999978,0.281278493782126,4948500,4948500,0,,,,,,,,,,,,,,,,
63B,Sandhills Theater Arts (Stars),451323.28,451323.28,0,0,0,0.000221570666596237,100,100,0,,,,,,,,,,,,,,,,
640,Nash County,36975176.3,22220425.59,13691517.32,818133.09,245100.299999997,0.140059102301021,5178710,5178710,0,,,,,,,,,,,,,,,,
64A,Rocky Mount Public Charter,2402690.52,1178045.78,1112570.37,112074.37,0,0,0,0,0,,,,,,,,,,,,,,,,
