EquipmentLubricationOilInjectionCycleTable-EquipmentNumberorName,EquipmentLubricationOilInjectionCycleTable-LubricationPointName,EquipmentLubricationOilInjectionCycleTable-Numberofoilingpoints,EquipmentLubricationOilInjectionCycleTable-LubricatingOilGrade,EquipmentLubricationOilInjectionCycleTable-LubricationCycle,EquipmentLubricationOilInjectionCycleTable-OilChangeCycle,EquipmentLubricationOilInjectionCycleTable-Usage,EquipmentLubricationOilInjectionCycleTable-Notes
Milling Machine: X6232CX16,Milling Head,1,2# Special Lubricating Grease,12 months,,,
Four-column hydraulic press: YR32-200,Working Oil,1,N46# hydraulic oil,,6 months,,The operating temperature should be between 15-65℃.
Four-column hydraulic press: YR32-200,Pillar pump piston external leakage,5,20# to 60# engine oil,each time,,,
Four-column hydraulic press: YR32-200,Moving Beam,4,3# Calcium-based Grease,6 months,,Fill up to the top.,
Air Hammer: C41-75,Compressor Cylinder,1,20# to 60# engine oil,Continuous,,,Centralized lubrication pneumatic oil pump
Air Hammer: C41-75,Working Cylinder,1,20# to 60# engine oil,Continuous,,,Centralized lubrication pneumatic oil pump
Air Hammer: C41-75,Piston pin,1,20# to 60# engine oil,Continuous,,,Centralized lubrication pneumatic oil pump
Air Hammer: C41-75,Crankshaft bearings and connecting rod heads,2,4# Calcium Grease,January,,,Use a grease gun
Roller Thread Machine: ZA28-25,Cooling Oil Tank,1,N22 or N32 machine oil,,12 months,40L,
Roller Thread Machine: ZA28-25,Worm Gear Box,1,N46 or N68 Machine Oil,,6 months,20L,
Roller Thread Machine: ZA28-25,Gearbox for speed change,1,N46 or N69 mechanical oil,,6 months,2.5L,
Roller Thread Machine: ZA28-25,Hydraulic Oil Tank,1,L-HM32 or 46# hydraulic oil,,18 months,280L,
Roller Thread Machine: ZA28-25,Rear Spindle Bearing,1,N22 or N32 machine oil,2 times per shift,,,
Roller Thread Machine: ZA28-25,Center Distance Adjustment Worm Gear and Leadscrew,2,N22 or N33 Machine Oil,2 times per shift,,,
Roller Thread Machine: ZA28-25,Center Distance Adjustment Worm Shaft,1,N22 or N34 mechanical oil,2 times per shift,,,
Roller Thread Machine: ZA28-25,Guide rail,1,N22 or N35 mechanical oil,2 times per shift,,,
Roller Thread Machine: ZA28-25,Universal joint,2,N22 or N36 mechanical oil,2 times per shift,,,
Roller Thread Machine: ZA28-25,Front Spindle Bearing,2,3# Lithium-based Grease,2 times per shift,,,Use a grease gun
"Crane: 5T, 20T",Wire rope,1,Calcium-based lubricating grease,1 month,,,
"Crane: 5T, 20T",Reducer,2,N46# Machine Oil/N32# Machine Oil,,12 months,,Adjust according to the season
"Crane: 5T, 20T",Gear Coupling,1,3# Calcium-based Grease,3 months,,,
"Crane: 5T, 20T",Rolling Bearings,10,3# Calcium-based Grease,,6 months,,
"Crane: 5T, 20T",Cylinder large gear disk,1,3# Calcium-based Grease,,,,Fill up during major maintenance
"Crane: 5T, 20T",Motor Bearing,3×2,4# Calcium Grease,,12 months,,
Drilling Machine: ZN3040,Main Spindle Upper and Lower Bearings,2,2# Calcium Grease,1 month,,,
Drilling Machine: ZN3040,Spindle Box Clamping Shaft Bearing,3,40# Machine Oil,1 month,,,
Drilling Machine: ZN3040,Lifting Mechanism Box Oil Sump,1,10# Machine Oil,1 month,3 months,,
Drilling Machine: ZN3040,"Column head of the table:  
Row 1: Equipment Lubrication Oil Injection Cycle Table,,,,,,,,,,,  
Row 2: ,,,,,,,,,,,,  
Row 3: Equipment Number or Name, Oil Injection Position Name, Number of Oil Injection Points, Lubricating Oil Grade, Oil Injection Cycle, Oil Change Cycle, Quantity, Remarks,,,,,,,,  
Row 4: ,,,(pieces/unit),,,,,,,,,,,  
Row 5: Lathe: CA6136, CD6140A, J1C6132, CD6263, Oil Cup, 17, 46# Machine Oil, Once per shift,,,,,,,,,  

Text to translate:  
Swing Arm Clamping Bearing Oil Storage Tank",1,40# Machine Oil,1 week,,,
Drilling Machine: ZN3040,Column Guide Rail,1,40# Machine Oil,Once per shift,,,Check the oil level at any time and add oil in time.
Drilling Machine: ZN3040,Lifting lead screw,1,40# Machine Oil,Once per shift,,,
Drilling Machine: ZN3040,Arm Guide Rail,,40# Machine Oil,Once per shift,,,
Drilling Machine: ZN3040,Spindle Box Oil Storage Tank,,10# Machine Oil,1 month,3 months,,
Drilling Machine: ZN3040,Gearbox,,10# Machine Oil,1 month,3 months,,
Drilling Machine: ZN3040,Dial Scale,,40# Machine Oil,Once per shift,,,
"All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work.","All units in the mine: For equipment not covered in this table, each unit shall formulate equipment lubrication records based on the equipment manuals. In principle, no unit shall exceed the lubrication cycle range specified in this table. We hope that all units will strictly carry out equipment lubrication work."
,,,,,,,
"Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table""","Note: Instructions for the preparation of the ""Equipment Lubrication Oil Injection Cycle Table"""
"This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:","This ""Equipment Lubrication Oil Injection Cycle Table"" is compiled based on equipment maintenance manuals, carefully combined with on-site actual conditions, and particularly considers the following points:"
1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.,1. The types of oil used for equipment lubrication should be unified as much as possible.
2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points,2# Extreme Pressure Lithium Grease: All grease lubrication points
"2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance.","2. Except for high-voltage electric motors which require oiling once every 3 months, other motors should be cleaned and have their oil replaced once a year during core inspection and maintenance."
"3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning.","3. The head, tail, and tensioning main roller bearings of the belt conveyor should be oiled once a week, and cleaned and oiled once a year; general guide rollers should be oiled once a week, without the need for cleaning."
5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.,5. Check the oil level in the gear reducer oil sump and pump station oil tank at any time and add oil.
"6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil.","6. For all parts requiring oil replacement, the inner cavity must be cleaned when replacing the oil."
"7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings.","7. For parts without oiling holes in the drive roller bearings of the 650 belt, 800 belt conveyor, etc., the reducer should be removed every 3 months to provide sufficient oiling to the roller bearings."
