时间,网络编号,站点编号,收费路径,ETC流量,总流量,1类车流量,2类车流量,3类车流量,4类车流量,5类车流量,6类车流量,7类车流量,8类车流量,9类车流量,10类车流量,11类车流量,其他车流量,ETC收费流量,1类车收费流量,2类车收费流量,3类车收费流量,4类车收费流量,5类车收费流量,6类车收费流量,7类车收费流量,8类车收费流量,9类车收费流量,10类车收费流量,11类车收费流量,其他类车收费流量,收费总流量
2012/4/1,3101,300001,1,2,20,7,0,0,0,1,1,3,0,6,0,2,0,38,123,0,0,0,20,5,100,0,330,0,20,0,598
2012/4/1,3101,120001,3,13,133,2,0,0,0,0,0,0,0,0,0,0,131,0,10,0,0,0,0,0,0,0,0,0,0,0,10
2012/4/1,3101,90001,1,33,366,152,7,2,3,37,31,3,2,9,0,8,112,585.5,2608.25,79.5,42.75,80,715,910,155,120,530,0,415,0,5655.5
2012/4/1,3101,340008,1,2,8,1,0,0,0,2,0,1,0,0,0,3,1,50,35,0,0,0,40,0,35,0,0,0,75,0,185
2012/4/1,3101,300003,1,0,10,4,0,0,0,2,3,0,0,0,0,1,0,0,70,0,0,0,45,60,0,0,0,0,10,0,185
2012/4/1,3101,50005,1,4,53,24,2,0,0,6,3,4,1,11,0,0,2,38.75,313.75,35,0,0,65,75,95,35,380,0,0,0,998.75
2012/4/1,3101,50001,1,4,35,19,0,0,0,5,4,1,0,3,0,2,1,33.25,289,0,0,0,124.75,114.5,70,0,75,0,50,0,723.25
2012/4/1,3101,50004,1,2,20,12,1,0,2,3,0,0,1,1,0,0,0,42.75,159.5,15,0,68.25,80,0,0,50,65,0,0,0,437.75
2012/4/1,3101,80003,2,1,4,2,0,0,0,0,0,1,0,0,0,1,0,9.5,29.5,0,0,0,0,0,15,0,0,0,15,0,59.5
2012/4/1,3101,20004,1,1,16,7,0,0,1,0,2,0,0,5,0,1,0,14.25,144.25,0,0,20,0,40,0,0,175,0,35,0,414.25
2012/4/1,3101,150008,1,0,6,2,0,0,0,1,1,1,0,1,0,0,0,0,65,0,0,0,5,30,70,0,5,0,0,0,175
2012/4/1,3101,330001,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,23.75,43.75,0,0,0,0,0,0,0,0,0,0,0,43.75
2012/4/1,3101,50007,1,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,60
2012/4/1,3101,160002,248,9,32,20,2,0,1,3,2,1,0,0,0,1,2,270,455,55,0,35,75,60,40,0,0,0,20,0,740
2012/4/1,3101,90002,1,21,271,11,0,0,0,2,2,0,1,1,0,1,253,54.25,184.25,0,0,0,70,75,0,40,50,0,35,0,454.25
2012/4/1,3101,340007,1,6,36,32,0,0,0,3,0,0,0,0,0,1,0,90.25,480.25,0,0,0,115,0,0,0,0,0,15,0,610.25
2012/4/1,3101,120001,1,14,284,3,1,0,0,0,1,0,0,0,0,0,279,0,15,5,0,0,0,5,0,0,0,0,0,0,25
2012/4/1,3101,40001,1,26,223,158,9,0,2,6,8,5,0,15,0,2,18,342.5,2138.75,187.75,0,19.5,69.75,145,120,0,675,0,115,0,3470.75
2012/4/1,3101,150003,1,7,36,30,1,0,0,1,4,0,0,0,0,0,0,85.5,320.75,5,0,0,4.75,115,0,0,0,0,0,0,445.5
2012/4/1,3101,330001,1,3,23,6,0,0,0,3,2,0,0,7,0,3,2,263,155,0,0,0,75,60,0,0,563,0,50,0,903
2012/4/1,3101,210002,1,3,33,28,0,0,0,1,0,2,0,2,0,0,0,211.5,1926.5,0,0,0,80,0,280,0,90,0,0,0,2376.5
2012/4/1,3101,150001,1,1,18,16,2,0,0,0,0,0,0,0,0,0,0,38,458,55,0,0,0,0,0,0,0,0,0,0,513
2012/4/1,3101,310001,14,2,49,17,0,1,0,4,4,3,2,11,0,3,4,39,210,0,20,0,39.5,95,60,44,340,0,59,0,867.5
2012/4/1,3101,310002,13,4,151,30,0,1,1,2,3,4,1,4,5,96,4,121.5,573.25,0,33.25,25,50,105,160,55,220,80,1460,0,2761.5
2012/4/1,3101,120003,1,3,20,10,0,0,5,0,1,3,0,0,0,0,1,30,50,0,0,50,0,10,30,0,0,0,0,0,140
2012/4/1,3101,320001,1,13,204,81,7,0,1,7,3,3,2,6,2,85,7,372.5,2450,149,0,15,145,180,110,185,604,20,1039.5,0,4897.5
2012/4/1,3101,90004,1,2,15,12,0,0,0,2,1,0,0,0,0,0,0,33.25,203.25,0,0,0,30,15,0,0,0,0,0,0,248.25
2012/4/1,3101,110002,240,6,47,34,0,0,0,3,0,0,0,0,0,0,10,67.25,507.25,0,0,0,45,0,0,0,0,0,0,0,552.25
2012/4/1,3101,80002,1,18,120,67,4,0,2,10,11,8,4,7,0,6,1,273,572.5,39,0,55,190,222.5,99,160,305,0,105,0,1748
2012/4/1,3101,320005,1,2,92,22,2,0,0,2,1,2,2,0,0,6,55,117,352,15,0,0,35,5,20,40,0,0,60,0,527
2012/4/1,3101,40010,248,3,149,44,1,0,1,11,8,23,3,34,0,23,1,112.5,1593.75,20,0,75,405,160,1375,120,2588.75,0,755,0,7092.5
2012/4/1,3101,110002,1,7,50,35,1,0,0,2,1,8,0,1,0,0,2,87.75,477.75,35,0,0,30,20,310,0,80,0,0,0,952.75
2012/4/1,3101,340003,1,1,14,9,0,0,0,1,0,1,0,0,2,0,1,9.5,194.5,0,0,0,45,0,55,0,0,40,0,0,334.5
2012/4/1,3101,20001,1,8,90,51,2,0,0,6,5,4,1,6,0,7,8,135.5,715.5,30,0,0,175,140,140,55,340,0,335,0,1930.5
2012/4/1,3101,330001,4,0,11,1,0,0,0,3,3,1,0,1,0,1,1,0,15,0,0,0,110,130,55,0,50,0,10,0,370
2012/4/1,3101,300004,1,2,20,18,0,0,0,0,0,0,0,1,0,1,0,29.75,154.75,0,0,0,0,0,0,0,50,0,25,0,229.75
2012/4/1,3101,150004,1,0,17,11,0,0,0,2,1,0,0,0,0,3,0,0,285,0,0,0,40,30,0,0,0,0,140,0,495
2012/4/1,3101,20003,1,1,13,7,2,0,0,0,4,0,0,0,0,0,0,14.25,70,20,0,0,0,64.25,0,0,0,0,0,0,154.25
2012/4/1,3101,320003,1,1,20,7,0,0,0,3,1,0,0,0,0,9,0,4.75,64.75,0,0,0,95,130,0,0,0,0,90,0,379.75
2012/4/1,3101,340004,1,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,60,0,0,0,0,0,0,0,85
2012/4/1,3101,20005,2,0,9,6,0,0,0,0,1,0,0,2,0,0,0,0,100,0,0,0,0,30,0,0,140,0,0,0,270
2012/4/1,3101,320007,1,0,11,3,1,0,0,1,5,0,0,0,0,1,0,0,60,5,0,0,50,25,0,0,0,0,5,0,145
2012/4/1,3101,40005,1,1,11,7,1,0,0,0,2,0,0,0,0,1,0,20,125,55,0,0,0,45,0,0,0,0,40,0,265
2012/4/1,3101,50009,1,0,7,3,0,0,0,3,0,0,0,1,0,0,0,0,60,0,0,0,65,0,0,0,105,0,0,0,230
2012/4/1,3101,90003,1,6,50,39,5,0,0,1,1,0,0,0,0,1,3,62,607,80,0,0,20,20,0,0,0,0,10,0,737
2012/4/1,3101,80002,2,9,94,80,3,0,2,3,2,0,0,2,0,0,2,96,891,30,0,45,30,40,0,0,60,0,0,0,1096
2012/4/1,3101,140001,1,5,45,20,0,0,1,3,4,0,0,4,0,5,8,244.5,999.5,0,0,45,180,295,0,0,1015,0,625,0,3159.5
2012/4/1,3101,110002,248,67,640,327,5,0,6,44,88,46,23,49,3,33,16,1053.75,4575.75,65,0,130,695,1523.5,900,744,1755,80,495,0,10963.25
2012/4/1,3101,80003,1,2,24,15,0,0,0,0,3,2,1,0,0,2,1,24.25,189.25,0,0,0,0,65,40,25,0,0,40,0,359.25
2012/4/1,3101,340002,1,1,16,10,1,0,0,1,1,0,0,1,0,2,0,23.75,198.75,15,0,0,19,30,0,0,100,0,20,0,382.75
2012/4/1,3101,340005,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,14.25,24.25,0,0,0,0,75,0,0,0,0,0,0,99.25
2012/4/1,3101,140002,1,6,55,37,1,0,1,3,0,0,0,0,0,1,12,114,810,19,0,30,85,0,0,0,0,0,70,0,1014
